Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	183
Voc (V)= 	0.8389
Jsc (mA/cm²)= 	31.58
FF (%)= 	76.83
Eff (%)= 	20.35
Vmpp (V)= 	0.72
Jmpp (mA/cm²)= 	28.27
Pmpp (mW/cm²)= 	20.35
Rp (Ohmcm²)= 	4210.2
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-31.71386
-0.48	-31.71297
-0.46	-31.71502
-0.44	-31.71108
-0.42	-31.70979
-0.4	-31.7055
-0.38	-31.69946
-0.36	-31.69313
-0.34	-31.68747
-0.32	-31.68043
-0.3	-31.67867
-0.28	-31.66998
-0.26	-31.66577
-0.24	-31.65917
-0.22	-31.65075
-0.2	-31.64454
-0.18	-31.63682
-0.16	-31.63116
-0.14	-31.62417
-0.12	-31.61724
-0.1	-31.61114
-0.08	-31.60276
-0.06	-31.59419
-0.04	-31.58786
-0.02	-31.57765
0	-31.57048
0.02	-31.56056
0.04	-31.55201
0.06	-31.54228
0.08	-31.53284
0.1	-31.52326
0.12	-31.51373
0.14	-31.50377
0.16	-31.4938
0.18	-31.48205
0.2	-31.469
0.22	-31.45498
0.24	-31.43925
0.26	-31.42426
0.28	-31.40571
0.3	-31.38707
0.32	-31.36593
0.34	-31.34162
0.36	-31.31463
0.38	-31.28711
0.4	-31.25529
0.42	-31.21942
0.44	-31.17714
0.46	-31.13147
0.48	-31.08037
0.5	-31.01952
0.52	-30.9517
0.54	-30.87075
0.56	-30.77703
0.58	-30.6639
0.6	-30.52232
0.62	-30.34583
0.64	-30.11861
0.66	-29.82821
0.68	-29.45158
0.7	-28.95195
0.72	-28.269
0.74	-27.28133
0.76	-25.74484
0.78	-23.17909
0.8	-18.71667
0.82	-11.45966
0.84	0.6634433
0.86	16.43619
0.88	36.21828
0.9	56.33172
0.92	77.94643
0.94	100.7511
0.96	125.1527
0.98	153.428
1	208.8652
1.02	249.9614
1.04	288.9465
1.06	288.9465
1.08	288.9496
1.1	288.9548
1.12	288.9539
1.14	288.9554
1.16	288.9579
1.18	288.962
