Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	283
Voc (V)= 	0.672
Jsc (mA/cm²)= 	32.36
FF (%)= 	71.9
Eff (%)= 	15.63
Vmpp (V)= 	0.548
Jmpp (mA/cm²)= 	28.53
Pmpp (mW/cm²)= 	15.63
Rp (Ohmcm²)= 	959.8
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-32.87859
-0.48	-32.86538
-0.46	-32.84788
-0.44	-32.82521
-0.42	-32.80759
-0.4	-32.78846
-0.38	-32.76538
-0.36	-32.746
-0.34	-32.72434
-0.32	-32.70008
-0.3	-32.68154
-0.28	-32.65853
-0.26	-32.63807
-0.24	-32.61523
-0.22	-32.59153
-0.2	-32.57236
-0.18	-32.54807
-0.16	-32.52523
-0.14	-32.50382
-0.12	-32.48008
-0.1	-32.45878
-0.08	-32.43517
-0.06	-32.41077
-0.04	-32.38753
-0.02	-32.36058
0	-32.33388
0.02	-32.30751
0.04	-32.27919
0.06	-32.25015
0.08	-32.22075
0.1	-32.18981
0.12	-32.15668
0.14	-32.11965
0.16	-32.08271
0.18	-32.04201
0.2	-31.9966
0.22	-31.95108
0.24	-31.89994
0.26	-31.84401
0.28	-31.78467
0.3	-31.71892
0.32	-31.64857
0.34	-31.56857
0.36	-31.48154
0.38	-31.38243
0.4	-31.26768
0.42	-31.13506
0.44	-30.97486
0.46	-30.77214
0.48	-30.50772
0.5	-30.15106
0.52	-29.65562
0.54	-28.9478
0.56	-27.90519
0.58	-26.34902
0.6	-23.9806
0.62	-20.36654
0.64	-14.90726
0.66	-6.872083
0.68	4.620986
0.7	20.8339
0.72	41.57073
0.74	68.36622
0.76	102.1868
0.78	144.1868
0.8	195.8633
0.82	265.0687
0.84	288.9867
0.86	288.9876
0.88	288.9975
0.9	288.9897
0.92	289.0056
0.94	289.0081
0.96	289.0089
0.98	289.0154
1	289.0187
1.02	289.0328
1.04	289.0301
1.06	289.0341
1.08	289.04
1.1	289.0341
1.12	289.0448
1.14	289.044
1.16	289.0536
1.18	289.0513
