Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	243
Voc (V)= 	0.7419
Jsc (mA/cm²)= 	31.98
FF (%)= 	74.18
Eff (%)= 	17.6
Vmpp (V)= 	0.62
Jmpp (mA/cm²)= 	28.39
Pmpp (mW/cm²)= 	17.6
Rp (Ohmcm²)= 	1757
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-32.27623
-0.48	-32.27369
-0.46	-32.26731
-0.44	-32.25643
-0.42	-32.24689
-0.4	-32.23721
-0.38	-32.22344
-0.36	-32.21464
-0.34	-32.20475
-0.32	-32.18948
-0.3	-32.17865
-0.28	-32.16083
-0.26	-32.1501
-0.24	-32.13915
-0.22	-32.12593
-0.2	-32.11712
-0.18	-32.10191
-0.16	-32.08898
-0.14	-32.07296
-0.12	-32.05626
-0.1	-32.04191
-0.08	-32.02803
-0.06	-32.01429
-0.04	-32.00008
-0.02	-31.98444
0	-31.96853
0.02	-31.9512
0.04	-31.9316
0.06	-31.91465
0.08	-31.89869
0.1	-31.88073
0.12	-31.8629
0.14	-31.83954
0.16	-31.81684
0.18	-31.79081
0.2	-31.76475
0.22	-31.73699
0.24	-31.70409
0.26	-31.6712
0.28	-31.63384
0.3	-31.594
0.32	-31.54983
0.34	-31.50139
0.36	-31.44635
0.38	-31.38643
0.4	-31.32208
0.42	-31.24955
0.44	-31.16805
0.46	-31.07305
0.48	-30.96083
0.5	-30.82531
0.52	-30.65342
0.54	-30.43261
0.56	-30.13708
0.58	-29.73658
0.6	-29.17948
0.62	-28.39172
0.64	-27.24083
0.66	-25.50317
0.68	-22.78983
0.7	-18.46987
0.72	-11.79171
0.74	-1.463844
0.76	13.57133
0.78	34.51469
0.8	60.60622
0.82	93.98193
0.84	135.4026
0.86	184.9714
0.88	252.4052
0.9	288.9805
0.92	288.9805
0.94	288.9896
0.96	289.0002
0.98	289.0027
1	289.0075
1.02	289.0075
1.04	289.0089
1.06	289.0181
1.08	289.0158
1.1	289.0231
1.12	289.0238
1.14	289.0239
1.16	289.032
1.18	289.0238
