SAMPLE_B_3LayerMo_f2__V	SAMPLE_B_3LayerMo_f2__J	SAMPLE_B_3LayerMo_f2__I	SAMPLE_B_3LayerMo_f2__Param	SAMPLE_B_3LayerMo_f2__ParamDescr
-0.3	-32.21133	-18.36046	0.7143	Voc (V)
-0.2798	-32.21837	-18.36447	32.21	Jsc (mA/cm²)
-0.25965	-32.24239	-18.37816	75.99	FF(%)
-0.23945	-32.24109	-18.37742	17.48	Eff (%)
-0.2193	-32.25031	-18.38268	0.57	Cell Area (cm²)
-0.199125	-32.26661	-18.39197	0.5877	Vmpp (V)
-0.178945	-32.23246	-18.3725	29.75	Jmpp (mA/cm²)
-0.15877	-32.21761	-18.36404	17.48	Pmpp (mW/cm²)
-0.138595	-32.24053	-18.3771	-167544.5	Rp (Ohmcm²)
-0.11842	-32.21737	-18.3639	1.53	Rs (Ohmcm²)
-0.098245	-32.22579	-18.3687	03.10.2016 10:08:12	Measurement date and time
-0.07807	-32.24	-18.3768	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.23608	-18.37457	1	Illumination correction factor
-0.03772	-32.2384	-18.37589		(Cell Comment)
-0.017545	-32.21367	-18.36179		(Global Comment)
0.00263	-32.19209	-18.34949		
0.022805	-32.2069	-18.35793		
0.04298	-32.19582	-18.35162		
0.06316	-32.2109	-18.36021		
0.083335	-32.19688	-18.35222		
0.10351	-32.17214	-18.33812		
0.123685	-32.18675	-18.34645		
0.14386	-32.17961	-18.34238		
0.164035	-32.15731	-18.32967		
0.18421	-32.14479	-18.32253		
0.204385	-32.11788	-18.30719		
0.22455	-32.13944	-18.31948		
0.24475	-32.12305	-18.31014		
0.2649	-32.10972	-18.30254		
0.2851	-32.09232	-18.29262		
0.30525	-32.08214	-18.28682		
0.32545	-32.07812	-18.28453		
0.3456	-32.04903	-18.26795		
0.3658	-32.02968	-18.25692		
0.38595	-32.01872	-18.25067		
0.40615	-31.96946	-18.22259		
0.4263	-31.95216	-18.21273		
0.4465	-31.90133	-18.18376		
0.46665	-31.84058	-18.14913		
0.48685	-31.77784	-18.11337		
0.507	-31.64797	-18.03934		
0.5272	-31.45307	-17.92825		
0.54735	-31.14744	-17.75404		
0.56755	-30.62777	-17.45783		
0.5877	-29.75039	-16.95772		
0.6079	-28.30186	-16.13206		
0.62805	-26.01932	-14.83101		
0.64825	-22.53314	-12.84389		
0.6684	-17.5934	-10.02824		
0.6886	-11.10629	-6.330585		
0.70875	-2.723316	-1.55229		
0.72895	7.230018	4.12111		
0.7491	18.4241	10.50174		
0.7693	30.80323	17.55784		
0.78945	43.74407	24.93412		
0.80965	56.96258	32.46867		
0.8298	70.01109	39.90632		
0.85	82.63318	47.10091		
