SAMPLE_B_3LayerMo_d1__V	SAMPLE_B_3LayerMo_d1__J	SAMPLE_B_3LayerMo_d1__I	SAMPLE_B_3LayerMo_d1__Param	SAMPLE_B_3LayerMo_d1__ParamDescr
-0.3	-32.36075	-18.44563	0.7145	Voc (V)
-0.2798	-32.41572	-18.47696	32.4	Jsc (mA/cm²)
-0.25965	-32.40572	-18.47126	74.99	FF(%)
-0.23945	-32.40502	-18.47086	17.36	Eff (%)
-0.2193	-32.40388	-18.47021	0.57	Cell Area (cm²)
-0.199125	-32.4039	-18.47022	0.5857	Vmpp (V)
-0.178945	-32.40849	-18.47284	29.64	Jmpp (mA/cm²)
-0.15877	-32.39714	-18.46637	17.36	Pmpp (mW/cm²)
-0.138595	-32.39786	-18.46678	11007.7	Rp (Ohmcm²)
-0.11842	-32.40877	-18.473	1.81	Rs (Ohmcm²)
-0.098245	-32.41156	-18.47459	03.10.2016 10:05:32	Measurement date and time
-0.07807	-32.41256	-18.47516	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.39137	-18.46308	1	Illumination correction factor
-0.03772	-32.39096	-18.46285		(Cell Comment)
-0.017545	-32.40088	-18.4685		(Global Comment)
0.00263	-32.38617	-18.46012		
0.022805	-32.37489	-18.45369		
0.04298	-32.35751	-18.44378		
0.06316	-32.36953	-18.45063		
0.083335	-32.36126	-18.44592		
0.10351	-32.35407	-18.44182		
0.123685	-32.34347	-18.43578		
0.14386	-32.342	-18.43494		
0.164035	-32.32798	-18.42695		
0.18421	-32.33393	-18.43034		
0.204385	-32.31808	-18.42131		
0.22455	-32.31942	-18.42207		
0.24475	-32.30217	-18.41224		
0.2649	-32.27995	-18.39957		
0.2851	-32.27399	-18.39617		
0.30525	-32.26919	-18.39344		
0.32545	-32.25495	-18.38532		
0.3456	-32.23832	-18.37584		
0.3658	-32.2136	-18.36175		
0.38595	-32.18084	-18.34308		
0.40615	-32.16303	-18.33293		
0.4263	-32.12507	-18.31129		
0.4465	-32.08293	-18.28727		
0.46665	-32.02546	-18.25451		
0.48685	-31.90117	-18.18367		
0.507	-31.79542	-18.12339		
0.5272	-31.57318	-17.99671		
0.54735	-31.19674	-17.78214		
0.56755	-30.56037	-17.41941		
0.5877	-29.54087	-16.8383		
0.6079	-27.88662	-15.89537		
0.62805	-25.36635	-14.45882		
0.64825	-21.67665	-12.35569		
0.6684	-16.79132	-9.571054		
0.6886	-10.3366	-5.891861		
0.70875	-2.564812	-1.461943		
0.72895	6.422872	3.661037		
0.7491	16.35379	9.321661		
0.7693	26.97167	15.37385		
0.78945	38.00591	21.66337		
0.80965	49.1686	28.0261		
0.8298	60.08154	34.24648		
0.85	70.58014	40.23068		
