SAMPLE_B_3LayerMo_d3__V	SAMPLE_B_3LayerMo_d3__J	SAMPLE_B_3LayerMo_d3__I	SAMPLE_B_3LayerMo_d3__Param	SAMPLE_B_3LayerMo_d3__ParamDescr
-0.3	-31.65698	-18.04448	0.7127	Voc (V)
-0.2798	-31.64332	-18.03669	31.66	Jsc (mA/cm²)
-0.25965	-31.67221	-18.05316	76.13	FF(%)
-0.23945	-31.67641	-18.05555	17.18	Eff (%)
-0.2193	-31.66456	-18.0488	0.57	Cell Area (cm²)
-0.199125	-31.69317	-18.06511	0.5877	Vmpp (V)
-0.178945	-31.66386	-18.0484	29.23	Jmpp (mA/cm²)
-0.15877	-31.67249	-18.05332	17.18	Pmpp (mW/cm²)
-0.138595	-31.67812	-18.05653	-6449.4	Rp (Ohmcm²)
-0.11842	-31.67316	-18.0537	1.4	Rs (Ohmcm²)
-0.098245	-31.67105	-18.0525	03.10.2016 10:09:31	Measurement date and time
-0.07807	-31.64435	-18.03728	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.66688	-18.05012	1	Illumination correction factor
-0.03772	-31.64916	-18.04002		(Cell Comment)
-0.017545	-31.66004	-18.04622		(Global Comment)
0.00263	-31.63925	-18.03437		
0.022805	-31.63821	-18.03378		
0.04298	-31.65235	-18.04184		
0.06316	-31.63409	-18.03143		
0.083335	-31.62102	-18.02398		
0.10351	-31.60388	-18.01421		
0.123685	-31.61265	-18.01921		
0.14386	-31.60788	-18.01649		
0.164035	-31.58942	-18.00597		
0.18421	-31.60053	-18.0123		
0.204385	-31.56972	-17.99474		
0.22455	-31.5667	-17.99302		
0.24475	-31.55816	-17.98815		
0.2649	-31.54358	-17.97984		
0.2851	-31.53079	-17.97255		
0.30525	-31.515	-17.96355		
0.32545	-31.5213	-17.96714		
0.3456	-31.49179	-17.95032		
0.3658	-31.47845	-17.94272		
0.38595	-31.45103	-17.92709		
0.40615	-31.42667	-17.9132		
0.4263	-31.39344	-17.89426		
0.4465	-31.34807	-17.8684		
0.46665	-31.28809	-17.83421		
0.48685	-31.2057	-17.78725		
0.507	-31.08481	-17.71834		
0.5272	-30.89388	-17.60951		
0.54735	-30.58286	-17.43223		
0.56755	-30.08856	-17.15048		
0.5877	-29.23165	-16.66204		
0.6079	-27.82212	-15.85861		
0.62805	-25.60831	-14.59674		
0.64825	-22.12554	-12.61156		
0.6684	-17.32471	-9.875086		
0.6886	-10.5936	-6.038351		
0.70875	-2.030475	-1.157371		
0.72895	8.296989	4.729284		
0.7491	20.03653	11.42082		
0.7693	33.18428	18.91504		
0.78945	47.13193	26.8652		
0.80965	61.60379	35.11416		
0.8298	76.12269	43.38993		
0.85	90.42911	51.54459		
