SAMPLE_B_3LayerMo_c3__V	SAMPLE_B_3LayerMo_c3__J	SAMPLE_B_3LayerMo_c3__I	SAMPLE_B_3LayerMo_c3__Param	SAMPLE_B_3LayerMo_c3__ParamDescr
-0.3	-31.94944	-18.21118	0.7132	Voc (V)
-0.2798	-31.96916	-18.22242	31.95	Jsc (mA/cm²)
-0.25965	-31.96088	-18.2177	75.97	FF(%)
-0.23945	-31.96526	-18.2202	17.31	Eff (%)
-0.2193	-31.98547	-18.23172	0.57	Cell Area (cm²)
-0.199125	-31.98721	-18.23271	0.5877	Vmpp (V)
-0.178945	-31.9824	-18.22997	29.45	Jmpp (mA/cm²)
-0.15877	-31.97791	-18.22741	17.31	Pmpp (mW/cm²)
-0.138595	-31.95365	-18.21358	-6189.4	Rp (Ohmcm²)
-0.11842	-31.96828	-18.22192	1.41	Rs (Ohmcm²)
-0.098245	-31.96214	-18.21842	03.10.2016 10:09:13	Measurement date and time
-0.07807	-31.95146	-18.21233	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.9639	-18.21942	1	Illumination correction factor
-0.03772	-31.95891	-18.21658		(Cell Comment)
-0.017545	-31.94718	-18.20989		(Global Comment)
0.00263	-31.95876	-18.21649		
0.022805	-31.92844	-18.19921		
0.04298	-31.9291	-18.19959		
0.06316	-31.93554	-18.20326		
0.083335	-31.91858	-18.19359		
0.10351	-31.91721	-18.19281		
0.123685	-31.88998	-18.17729		
0.14386	-31.89838	-18.18208		
0.164035	-31.87816	-18.17055		
0.18421	-31.8757	-18.16915		
0.204385	-31.88276	-18.17317		
0.22455	-31.87612	-18.16939		
0.24475	-31.87118	-18.16657		
0.2649	-31.84932	-18.15411		
0.2851	-31.82965	-18.1429		
0.30525	-31.83363	-18.14517		
0.32545	-31.80005	-18.12603		
0.3456	-31.79684	-18.1242		
0.3658	-31.767	-18.10719		
0.38595	-31.75761	-18.10184		
0.40615	-31.73728	-18.09025		
0.4263	-31.6956	-18.06649		
0.4465	-31.64086	-18.03529		
0.46665	-31.57233	-17.99623		
0.48685	-31.50767	-17.95937		
0.507	-31.37783	-17.88536		
0.5272	-31.17226	-17.76819		
0.54735	-30.86637	-17.59383		
0.56755	-30.33119	-17.28878		
0.5877	-29.44995	-16.78647		
0.6079	-28.00533	-15.96304		
0.62805	-25.70667	-14.6528		
0.64825	-22.21202	-12.66085		
0.6684	-17.39829	-9.917026		
0.6886	-10.66766	-6.080568		
0.70875	-2.220761	-1.265834		
0.72895	7.937186	4.524196		
0.7491	19.45033	11.08669		
0.7693	32.34146	18.43463		
0.78945	46.06121	26.25489		
0.80965	60.36221	34.40646		
0.8298	74.8315	42.65396		
0.85	89.22634	50.85901		
