SAMPLE_B_3LayerMo_c1__V	SAMPLE_B_3LayerMo_c1__J	SAMPLE_B_3LayerMo_c1__I	SAMPLE_B_3LayerMo_c1__Param	SAMPLE_B_3LayerMo_c1__ParamDescr
-0.3	-32.28142	-18.40041	0.714	Voc (V)
-0.2798	-32.29977	-18.41087	32.29	Jsc (mA/cm²)
-0.25965	-32.31409	-18.41903	74.96	FF(%)
-0.23945	-32.33114	-18.42875	17.28	Eff (%)
-0.2193	-32.348	-18.43836	0.57	Cell Area (cm²)
-0.199125	-32.31818	-18.42136	0.5725	Vmpp (V)
-0.178945	-32.30775	-18.41542	30.19	Jmpp (mA/cm²)
-0.15877	-32.31989	-18.42234	17.28	Pmpp (mW/cm²)
-0.138595	-32.31679	-18.42057	-16273.5	Rp (Ohmcm²)
-0.11842	-32.31995	-18.42237	1.83	Rs (Ohmcm²)
-0.098245	-32.31246	-18.4181	03.10.2016 10:04:37	Measurement date and time
-0.07807	-32.31307	-18.41845	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.3161	-18.42018	1	Illumination correction factor
-0.03772	-32.31619	-18.42023		(Cell Comment)
-0.017545	-32.29316	-18.4071		(Global Comment)
0.00263	-32.29175	-18.4063		
0.022805	-32.28484	-18.40236		
0.04298	-32.27039	-18.39412		
0.06316	-32.2753	-18.39692		
0.083335	-32.27042	-18.39414		
0.10351	-32.26581	-18.39151		
0.123685	-32.26083	-18.38867		
0.14386	-32.26434	-18.39067		
0.164035	-32.23958	-18.37656		
0.18421	-32.24284	-18.37842		
0.204385	-32.24046	-18.37706		
0.22455	-32.23802	-18.37567		
0.24475	-32.2013	-18.35474		
0.2649	-32.194	-18.35058		
0.2851	-32.18641	-18.34625		
0.30525	-32.182	-18.34374		
0.32545	-32.17116	-18.33756		
0.3456	-32.14804	-18.32438		
0.3658	-32.12063	-18.30876		
0.38595	-32.10193	-18.2981		
0.40615	-32.08021	-18.28572		
0.4263	-32.04132	-18.26355		
0.4465	-32.02012	-18.25147		
0.46665	-31.93425	-18.20252		
0.48685	-31.83907	-18.14827		
0.507	-31.69235	-18.06464		
0.5272	-31.45137	-17.92728		
0.54735	-31.10291	-17.72866		
0.56755	-30.45023	-17.35663		
0.5877	-29.38658	-16.75035		
0.6079	-27.68247	-15.77901		
0.62805	-25.09944	-14.30668		
0.64825	-21.34583	-12.16712		
0.6684	-16.4453	-9.37382		
0.6886	-9.995316	-5.69733		
0.70875	-2.290949	-1.305841		
0.72895	6.599289	3.761595		
0.7491	16.40991	9.35365		
0.7693	26.87972	15.32144		
0.78945	37.78297	21.53629		
0.80965	48.84167	27.83975		
0.8298	59.69515	34.02624		
0.85	70.2234	40.02734		
