SAMPLE_B_3LayerMo_c1__V	SAMPLE_B_3LayerMo_c1__J	SAMPLE_B_3LayerMo_c1__I	SAMPLE_B_3LayerMo_c1__Param	SAMPLE_B_3LayerMo_c1__ParamDescr
-0.3	-32.25553	-18.38565	0.7145	Voc (V)
-0.2798	-32.28974	-18.40515	32.29	Jsc (mA/cm²)
-0.25965	-32.28228	-18.4009	74.95	FF(%)
-0.23945	-32.29949	-18.41071	17.29	Eff (%)
-0.2193	-32.31893	-18.42179	0.57	Cell Area (cm²)
-0.199125	-32.30753	-18.41529	0.5766	Vmpp (V)
-0.178945	-32.30361	-18.41306	29.99	Jmpp (mA/cm²)
-0.15877	-32.28332	-18.40149	17.29	Pmpp (mW/cm²)
-0.138595	-32.30832	-18.41574	-17968.2	Rp (Ohmcm²)
-0.11842	-32.30352	-18.41301	1.8	Rs (Ohmcm²)
-0.098245	-32.29258	-18.40677	03.10.2016 10:05:03	Measurement date and time
-0.07807	-32.28601	-18.40303	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.29486	-18.40807	1	Illumination correction factor
-0.03772	-32.28782	-18.40406		(Cell Comment)
-0.017545	-32.28679	-18.40347		(Global Comment)
0.00263	-32.28414	-18.40196		
0.022805	-32.2744	-18.39641		
0.04298	-32.27549	-18.39703		
0.06316	-32.25882	-18.38753		
0.083335	-32.25351	-18.3845		
0.10351	-32.2496	-18.38227		
0.123685	-32.23128	-18.37183		
0.14386	-32.22542	-18.36849		
0.164035	-32.23247	-18.37251		
0.18421	-32.21603	-18.36314		
0.204385	-32.19518	-18.35125		
0.22455	-32.19837	-18.35307		
0.24475	-32.19847	-18.35313		
0.2649	-32.181	-18.34317		
0.2851	-32.16796	-18.33574		
0.30525	-32.14344	-18.32176		
0.32545	-32.14003	-18.31982		
0.3456	-32.12953	-18.31383		
0.3658	-32.11354	-18.30472		
0.38595	-32.0784	-18.28469		
0.40615	-32.04	-18.2628		
0.4263	-32.02158	-18.2523		
0.4465	-31.98691	-18.23254		
0.46665	-31.90361	-18.18506		
0.48685	-31.80807	-18.1306		
0.507	-31.6796	-18.05737		
0.5272	-31.45311	-17.92827		
0.54735	-31.07542	-17.71299		
0.56755	-30.45626	-17.36007		
0.5877	-29.40967	-16.76351		
0.6079	-27.74407	-15.81412		
0.62805	-25.21912	-14.3749		
0.64825	-21.51172	-12.26168		
0.6684	-16.64609	-9.488272		
0.6886	-10.2233	-5.82728		
0.70875	-2.526574	-1.440147		
0.72895	6.388638	3.641524		
0.7491	16.24199	9.257935		
0.7693	26.8063	15.27959		
0.78945	37.81562	21.5549		
0.80965	49.00734	27.93418		
0.8298	60.01418	34.20808		
0.85	70.69473	40.296		
