SAMPLE_A_a3__V	SAMPLE_A_a3__J	SAMPLE_A_a3__I	SAMPLE_A_a3__Param	SAMPLE_A_a3__ParamDescr
-0.75	-34.95128	-11.18441	0.6231	Voc (V)
-0.73	-34.98388	-11.19484	34.76	Jsc (mA/cm²)
-0.71	-34.974	-11.19168	70.52	FF(%)
-0.69	-34.98828	-11.19625	15.27	Eff (%)
-0.67	-34.98909	-11.19651	0.32	Cell Area (cm²)
-0.65	-34.9929	-11.19773	0.49	Vmpp (V)
-0.63	-34.99762	-11.19924	31.17	Jmpp (mA/cm²)
-0.61	-34.9895	-11.19664	15.27	Pmpp (mW/cm²)
-0.59	-34.99284	-11.19771	5849.2	Rp (Ohmcm²)
-0.57	-34.98409	-11.19491	0.54	Rs (Ohmcm²)
-0.55	-34.98428	-11.19497	22.07.2016 10:10:48	Measurement date and time
-0.53	-34.97884	-11.19323	23	Approx. cell temperature (set: 22) (°C)
-0.51	-34.97597	-11.19231	1	Illumination correction factor
-0.49	-34.96641	-11.18925		(Cell Comment)
-0.47	-34.96413	-11.18852		(Global Comment)
-0.45	-34.96447	-11.18863		
-0.43	-34.94869	-11.18358		
-0.41	-34.91306	-11.17218		
-0.39	-34.91544	-11.17294		
-0.37	-34.94753	-11.18321		
-0.35	-34.94088	-11.18108		
-0.33	-34.91597	-11.17311		
-0.31	-34.90447	-11.16943		
-0.29	-34.89484	-11.16635		
-0.27	-34.91403	-11.17249		
-0.25	-34.86953	-11.15825		
-0.23	-34.89434	-11.16619		
-0.21	-34.82513	-11.14404		
-0.19	-34.84844	-11.1515		
-0.17	-34.84575	-11.15064		
-0.15	-34.84828	-11.15145		
-0.13	-34.85344	-11.1531		
-0.11	-34.81347	-11.14031		
-0.09	-34.83681	-11.14778		
-0.07	-34.81594	-11.1411		
-0.05	-34.78997	-11.13279		
-0.03	-34.77859	-11.12915		
-0.01	-34.75838	-11.12268		
0.01	-34.76094	-11.1235		
0.03	-34.74759	-11.11923		
0.05	-34.7395	-11.11664		
0.07	-34.69806	-11.10338		
0.09	-34.706	-11.10592		
0.11	-34.70441	-11.10541		
0.13	-34.67603	-11.09633		
0.15	-34.64322	-11.08583		
0.17	-34.61385	-11.07643		
0.19	-34.59634	-11.07083		
0.21	-34.56022	-11.05927		
0.23	-34.56053	-11.05937		
0.25	-34.5481	-11.05539		
0.27	-34.49632	-11.03882		
0.29	-34.47484	-11.03195		
0.31	-34.39797	-11.00735		
0.33	-34.35903	-10.99489		
0.35	-34.28081	-10.96986		
0.37	-34.1955	-10.94256		
0.39	-34.00056	-10.88018		
0.41	-33.77275	-10.80728		
0.43	-33.47194	-10.71102		
0.45	-32.98087	-10.55388		
0.47	-32.24438	-10.3182		
0.49	-31.17162	-9.974918		
0.51	-29.57628	-9.46441		
0.53	-27.29223	-8.733513		
0.55	-24.09209	-7.709467		
0.57	-19.72171	-6.310948		
0.59	-13.90803	-4.450571		
0.61	-6.333359	-2.026675		
0.63	3.334753	1.067121		
0.65	15.43789	4.940124		
0.67	30.30796	9.698548		
0.69	48.08678	15.38777		
0.71	69.45682	22.22618		
0.73	94.41772	30.21367		
0.75	123.2675	39.44559		
0.77	156.1435	49.96591		
0.79	193.1687	61.81397		
0.81	234.4131	75.01221		
0.83	279.8351	89.54723		
0.85	312.4977	99.99928		
