SAMPLE_A_a2__V	SAMPLE_A_a2__J	SAMPLE_A_a2__I	SAMPLE_A_a2__Param	SAMPLE_A_a2__ParamDescr
-0.75	-33.34503	-10.67041	0.6213	Voc (V)
-0.73	-33.36134	-10.67563	33.1	Jsc (mA/cm²)
-0.71	-33.37729	-10.68073	69.2	FF(%)
-0.69	-33.37956	-10.68146	14.23	Eff (%)
-0.67	-33.3865	-10.68368	0.32	Cell Area (cm²)
-0.65	-33.35212	-10.67268	0.49	Vmpp (V)
-0.63	-33.35259	-10.67283	29.04	Jmpp (mA/cm²)
-0.61	-33.34835	-10.67147	14.23	Pmpp (mW/cm²)
-0.59	-33.35712	-10.67428	4766.1	Rp (Ohmcm²)
-0.57	-33.36372	-10.67639	0.59	Rs (Ohmcm²)
-0.55	-33.36178	-10.67577	22.07.2016 10:08:23	Measurement date and time
-0.53	-33.3469	-10.67101	23	Approx. cell temperature (set: 22) (°C)
-0.51	-33.33897	-10.66847	1	Illumination correction factor
-0.49	-33.32681	-10.66458		(Cell Comment)
-0.47	-33.33375	-10.6668		(Global Comment)
-0.45	-33.31153	-10.65969		
-0.43	-33.30228	-10.65673		
-0.41	-33.30219	-10.6567		
-0.39	-33.31197	-10.65983		
-0.37	-33.31397	-10.66047		
-0.35	-33.29759	-10.65523		
-0.33	-33.29237	-10.65356		
-0.31	-33.27691	-10.64861		
-0.29	-33.27285	-10.64731		
-0.27	-33.25444	-10.64142		
-0.25	-33.22897	-10.63327		
-0.23	-33.21881	-10.63002		
-0.21	-33.22241	-10.63117		
-0.19	-33.21922	-10.63015		
-0.17	-33.22031	-10.6305		
-0.15	-33.20534	-10.62571		
-0.13	-33.17865	-10.61717		
-0.11	-33.17778	-10.61689		
-0.09	-33.16472	-10.61271		
-0.07	-33.15356	-10.60914		
-0.05	-33.14475	-10.60632		
-0.03	-33.13475	-10.60312		
-0.01	-33.09713	-10.59108		
0.01	-33.10559	-10.59379		
0.03	-33.10281	-10.5929		
0.05	-33.08725	-10.58792		
0.07	-33.07153	-10.58289		
0.09	-33.04444	-10.57422		
0.11	-33.03409	-10.57091		
0.13	-33.01625	-10.5652		
0.15	-32.98531	-10.5553		
0.17	-32.94694	-10.54302		
0.19	-32.9365	-10.53968		
0.21	-32.93119	-10.53798		
0.23	-32.89188	-10.5254		
0.25	-32.83316	-10.50661		
0.27	-32.78706	-10.49186		
0.29	-32.7429	-10.47773		
0.31	-32.69878	-10.46361		
0.33	-32.60865	-10.43477		
0.35	-32.49284	-10.39771		
0.37	-32.3666	-10.35731		
0.39	-32.17794	-10.29694		
0.41	-31.90488	-10.20956		
0.43	-31.5201	-10.08643		
0.45	-30.96303	-9.908171		
0.47	-30.18078	-9.657848		
0.49	-29.04052	-9.292968		
0.51	-27.39633	-8.766827		
0.53	-25.08051	-8.025764		
0.55	-21.89762	-7.007238		
0.57	-17.67657	-5.656503		
0.59	-12.15063	-3.8882		
0.61	-5.0479	-1.615328		
0.63	3.916256	1.253202		
0.65	14.97686	4.792594		
0.67	28.43584	9.09947		
0.69	44.35369	14.19318		
0.71	63.33481	20.26714		
0.73	85.32138	27.30284		
0.75	110.553	35.37695		
0.77	139.0991	44.5117		
0.79	171.0567	54.73815		
0.81	206.4422	66.06149		
0.83	245.2021	78.46468		
0.85	287.2628	91.92409		
