subplots_adjust	0.15
fontsize	10.0
title	Tabulated values of the Shockley-Queisser limit for single junction solar cells, Table S1
xlabel	Energy [eV]
ylabel	Quantity
xlim	['', '']
ylim	['', '']
meastype	Graph
[ev]	[nm]	[mA/cm2]	[mA/cm2]	[mA/cm2]	[V]	[V]	[%]	[%]
authors	Sven Ruehle
caption	Detailed balance limit for a single junction solar cell at a cell temperature Tc of 25 °C illuminated by the AM 1.5G spectral irradiance (ASTM G173-03) as a function of the energy band gap Eg and band gap wavelength lambda_g considering radiative emission from the front and rear side of the solar cell as shown in Fig. 2a.
comment	SI, table S1 (no reflector: unfavorable case)
doi	10.1016/j.solener.2016.02.015
label	$\\lambda$g [nm]	Jmax [mA/cm2]	Jsc [mA/cm2]	Jmpp [mA/cm2]	Voc [V]	Vmpp [V]	FF [%]	$\\eta$ [%]
linestyle	none
publication	Solar Energy 130 (2016) 139-147
url	http://dx.doi.org/10.1016/j.solener.2016.02.015
1.04	1192.2	46.12	46.12	44.49	0.785	0.7	85.9	31.12
1.05	1180.8	45.66	45.66	44.06	0.795	0.709	86.0	31.21
1.06	1169.7	45.2	45.2	43.63	0.804	0.718	86.2	31.3
1.07	1158.7	44.8	44.8	43.27	0.813	0.727	86.3	31.43
1.08	1148.0	44.56	44.56	43.06	0.823	0.736	86.4	31.66
1.09	1137.5	44.36	44.36	42.89	0.832	0.745	86.5	31.93
1.1	1127.1	44.23	44.23	42.77	0.842	0.754	86.6	32.23
1.11	1117.0	44.11	44.11	42.68	0.851	0.763	86.7	32.55
1.12	1107.0	43.81	43.81	42.4	0.86	0.772	86.9	32.73
1.13	1097.2	43.39	43.39	42.01	0.87	0.781	87.0	32.81
1.14	1087.6	42.92	42.92	41.57	0.879	0.79	87.1	32.84
1.15	1078.1	42.44	42.44	41.12	0.888	0.799	87.2	32.85
1.16	1068.8	41.95	41.95	40.66	0.898	0.808	87.3	32.85
1.17	1059.7	41.46	41.46	40.2	0.907	0.817	87.4	32.84
1.18	1050.7	40.97	40.97	39.73	0.916	0.826	87.5	32.81
1.19	1041.9	40.48	40.48	39.27	0.925	0.835	87.6	32.78
1.2	1033.2	39.99	39.99	38.8	0.935	0.844	87.7	32.74
1.21	1024.7	39.5	39.5	38.34	0.944	0.853	87.7	32.7
1.22	1016.3	39.01	39.01	37.89	0.953	0.862	87.8	32.65
1.23	1008.0	38.53	38.53	37.42	0.962	0.871	87.9	32.59
1.24	999.9	38.05	38.05	36.97	0.972	0.88	88.0	32.53
1.25	991.9	37.57	37.57	36.52	0.981	0.889	88.1	32.46
1.26	984.0	37.11	37.11	36.08	0.99	0.898	88.2	32.4
1.27	976.3	36.71	36.71	35.7	1.0	0.907	88.3	32.38
1.28	968.6	36.33	36.33	35.34	1.009	0.916	88.4	32.37
1.29	961.1	36.03	36.03	35.06	1.018	0.926	88.4	32.44
1.3	953.7	35.82	35.82	34.86	1.028	0.935	88.5	32.57
1.31	946.4	35.63	35.63	34.69	1.037	0.944	88.6	32.73
1.32	939.3	35.44	35.44	34.51	1.047	0.953	88.7	32.88
1.33	932.2	35.32	35.32	34.4	1.056	0.962	88.8	33.1
1.34	925.3	35.03	35.03	34.13	1.066	0.972	88.8	33.16
1.35	918.4	34.66	34.66	33.78	1.075	0.981	88.9	33.12
1.36	911.6	34.34	34.34	33.47	1.084	0.99	89.0	33.12
1.37	905.0	34.0	34.0	33.15	1.094	0.999	89.1	33.11
1.38	898.4	33.67	33.67	32.83	1.103	1.008	89.1	33.09
1.39	892.0	33.3	33.3	32.48	1.113	1.017	89.2	33.03
1.4	885.6	32.88	32.88	32.08	1.122	1.026	89.3	32.91
1.41	879.3	32.47	32.47	31.68	1.131	1.036	89.3	32.79
1.42	873.1	32.05	32.05	31.28	1.14	1.045	89.4	32.67
1.43	867.0	31.64	31.64	30.89	1.15	1.054	89.5	32.54
1.44	861.0	31.24	31.24	30.5	1.159	1.063	89.5	32.41
1.45	855.1	30.84	30.84	30.12	1.168	1.072	89.6	32.27
1.46	849.2	30.46	30.46	29.75	1.178	1.081	89.7	32.16
1.47	843.4	30.07	30.07	29.38	1.187	1.09	89.7	32.01
1.48	837.7	29.68	29.68	29.0	1.196	1.099	89.8	31.87
1.49	832.1	29.31	29.31	28.65	1.206	1.108	89.8	31.74
1.5	826.6	28.97	28.97	28.32	1.215	1.118	89.9	31.64
1.51	821.1	28.64	28.64	28.01	1.224	1.127	90.0	31.54
1.52	815.7	28.33	28.33	27.71	1.234	1.136	90.0	31.46
1.53	810.4	27.99	27.99	27.38	1.243	1.145	90.1	31.34
1.54	805.1	27.63	27.63	27.02	1.253	1.154	90.1	31.18
1.55	799.9	27.26	27.26	26.67	1.262	1.163	90.2	31.02
1.56	794.8	26.9	26.9	26.33	1.271	1.172	90.3	30.86
1.57	789.7	26.55	26.55	25.98	1.281	1.182	90.3	30.69
1.58	784.7	26.19	26.19	25.63	1.29	1.191	90.4	30.51
1.59	779.8	25.83	25.83	25.28	1.299	1.2	90.4	30.33
1.6	774.9	25.47	25.47	24.94	1.309	1.209	90.5	30.14
1.61	770.1	25.12	25.12	24.6	1.318	1.218	90.5	29.95
1.62	765.3	24.82	24.82	24.31	1.327	1.227	90.6	29.82
1.63	760.6	24.67	24.67	24.17	1.337	1.237	90.6	29.88
1.64	756.0	24.4	24.4	23.9	1.346	1.246	90.7	29.77
1.65	751.4	24.05	24.05	23.57	1.356	1.255	90.7	29.57
1.66	746.9	23.71	23.71	23.24	1.365	1.264	90.8	29.37
1.67	742.4	23.38	23.38	22.92	1.374	1.273	90.8	29.17
1.68	738.0	23.06	23.06	22.61	1.384	1.283	90.9	28.98
1.69	733.6	22.74	22.74	22.3	1.393	1.292	90.9	28.8
1.7	729.3	22.46	22.46	22.02	1.402	1.301	91.0	28.64
1.71	725.1	22.19	22.19	21.76	1.412	1.31	91.0	28.5
1.72	720.8	21.91	21.91	21.5	1.421	1.319	91.1	28.35
1.73	716.7	21.67	21.67	21.26	1.43	1.329	91.1	28.23
1.74	712.6	21.37	21.37	20.96	1.44	1.338	91.2	28.03
1.75	708.5	21.06	21.06	20.67	1.449	1.347	91.2	27.82
1.76	704.5	20.76	20.76	20.37	1.458	1.356	91.3	27.62
1.77	700.5	20.47	20.47	20.09	1.468	1.365	91.3	27.42
1.78	696.5	20.18	20.18	19.81	1.477	1.374	91.3	27.22
1.79	692.6	19.91	19.91	19.54	1.487	1.384	91.4	27.03
1.8	688.8	19.65	19.65	19.29	1.496	1.393	91.4	26.86
1.81	685.0	19.4	19.4	19.05	1.505	1.402	91.5	26.7
1.82	681.2	19.11	19.11	18.77	1.515	1.411	91.5	26.48
1.83	677.5	18.83	18.83	18.49	1.524	1.42	91.5	26.26
1.84	673.8	18.54	18.54	18.22	1.533	1.43	91.6	26.03
1.85	670.2	18.27	18.27	17.95	1.543	1.439	91.6	25.81
1.86	666.6	17.99	17.99	17.68	1.552	1.448	91.7	25.59
1.87	663.0	17.72	17.72	17.41	1.561	1.457	91.7	25.37
1.88	659.5	17.46	17.46	17.16	1.571	1.466	91.7	25.15
1.89	656.0	17.22	17.22	16.92	1.58	1.475	91.8	24.96
1.9	652.5	16.97	16.97	16.68	1.589	1.485	91.8	24.75
1.91	649.1	16.72	16.72	16.43	1.599	1.494	91.9	24.54
1.92	645.8	16.47	16.47	16.19	1.608	1.503	91.9	24.33
1.93	642.4	16.22	16.22	15.95	1.617	1.512	91.9	24.11
1.94	639.1	15.97	15.97	15.71	1.627	1.522	92.0	23.89
1.95	635.8	15.73	15.73	15.47	1.636	1.531	92.0	23.67
1.96	632.6	15.49	15.49	15.24	1.645	1.54	92.0	23.45
1.97	629.4	15.26	15.26	15.01	1.655	1.549	92.1	23.25
1.98	626.2	15.04	15.04	14.79	1.664	1.558	92.1	23.04
1.99	623.0	14.81	14.81	14.57	1.674	1.567	92.2	22.84
2.0	619.9	14.59	14.59	14.35	1.683	1.577	92.2	22.62
2.01	616.8	14.36	14.36	14.13	1.692	1.586	92.2	22.4
2.02	613.8	14.14	14.14	13.92	1.702	1.595	92.3	22.19
2.03	610.8	13.92	13.92	13.71	1.711	1.604	92.3	21.98
2.04	607.8	13.71	13.71	13.49	1.72	1.613	92.3	21.76
2.05	604.8	13.49	13.49	13.28	1.73	1.623	92.4	21.54
2.06	601.9	13.28	13.28	13.08	1.739	1.632	92.4	21.33
2.07	599.0	13.08	13.08	12.87	1.748	1.641	92.4	21.12
2.08	596.1	12.87	12.87	12.68	1.758	1.65	92.5	20.91
2.09	593.2	12.67	12.67	12.48	1.767	1.66	92.5	20.71
2.1	590.4	12.48	12.48	12.29	1.776	1.669	92.5	20.5
2.11	587.6	12.29	12.29	12.11	1.786	1.678	92.5	20.31
2.12	584.8	12.1	12.1	11.91	1.795	1.687	92.6	20.1
2.13	582.1	11.9	11.9	11.72	1.804	1.696	92.6	19.87
2.14	579.4	11.71	11.71	11.53	1.814	1.706	92.6	19.66
