comment0	Data must be within [0,1] and NOT in %.
comment1	Feel free to add the reflectance and transmittance spectra of your substrates. Set labels as '<substrate> R' and '<substrate> T'
ylabel	Transmittance, Reflectance [%]
xlabel	Wavelength [nm]
_spectrumguidark	True	True
_spectrumguioffset	True	True
_spectrumsubclass	CurveSpectrumReflectance	CurveSpectrumTransmittance
curve	Curve Spectrum	Curve Spectrum
label	SLG R	SLG T
nm	Reflectance [ ]	Transmittance [ ]
570.0	0.081595682	0.918717639
572.0	0.081600459	0.919027785
574.0	0.081522216	0.919014116
576.0	0.081484146	0.918937838
578.0	0.081423448	0.918887311
580.0	0.081401283	0.919154858
582.0	0.081400842	0.919475695
584.0	0.081474477	0.919435527
586.0	0.081515187	0.9192198
588.0	0.081507327	0.91897558
590.0	0.081521425	0.918698141
592.0	0.081523819	0.918704838
594.0	0.081569375	0.918596998
596.0	0.081560614	0.918792364
598.0	0.081546258	0.918920683
600.0	0.081567942	0.919091105
602.0	0.081582188	0.919180456
604.0	0.081643217	0.918842235
606.0	0.081617904	0.918913634
608.0	0.081615021	0.918934464
610.0	0.081655562	0.919126973
612.0	0.081651413	0.91902753
614.0	0.081678539	0.919012999
616.0	0.081613409	0.919159134
618.0	0.081660009	0.919090781
620.0	0.08163745	0.918861055
622.0	0.081670697	0.918688683
624.0	0.081715539	0.918649103
626.0	0.081767947	0.918603389
628.0	0.081745557	0.918530275
630.0	0.08167677	0.918443711
632.0	0.081651917	0.918707689
634.0	0.081645646	0.918678628
636.0	0.081708349	0.918728172
638.0	0.081754941	0.918610613
640.0	0.08176302	0.918693904
642.0	0.08173528	0.918732145
644.0	0.08171623	0.918528855
646.0	0.081807487	0.918441776
648.0	0.081848641	0.918625472
650.0	0.08179839	0.918751585
652.0	0.081750016	0.918918678
654.0	0.081675891	0.918742689
656.0	0.081651006	0.918643724
658.0	0.081549925	0.918594151
660.0	0.081524731	0.918581871
662.0	0.081533125	0.918734682
664.0	0.081579731	0.918748235
666.0	0.081640893	0.918769617
668.0	0.081688839	0.918771001
670.0	0.08180172	0.918580092
672.0	0.081885986	0.918399482
674.0	0.081977137	0.918336422
676.0	0.082001745	0.918434669
678.0	0.082027791	0.918466269
680.0	0.082089548	0.91837306
682.0	0.082146254	0.918435106
684.0	0.082162912	0.918492824
686.0	0.082089655	0.918320226
688.0	0.082042391	0.918125495
690.0	0.082086047	0.918190512
692.0	0.082128292	0.918681909
694.0	0.082198256	0.918846097
696.0	0.082132961	0.91865826
698.0	0.082145715	0.918615347
700.0	0.082104107	0.918612584
702.0	0.082118668	0.918726331
704.0	0.082114329	0.918470686
706.0	0.082171127	0.918332609
708.0	0.082196118	0.91811292
710.0	0.082265804	0.918208491
712.0	0.082209808	0.918463234
714.0	0.082159755	0.918488801
716.0	0.082182125	0.918585644
718.0	0.082202267	0.918315844
720.0	0.082288189	0.918811551
722.0	0.082294292	0.918705751
724.0	0.08233224	0.918734655
726.0	0.082390404	0.918775549
728.0	0.082320568	0.918750746
730.0	0.082298374	0.919089339
732.0	0.082188232	0.918844345
734.0	0.08216031	0.919023357
736.0	0.082126346	0.918910451
738.0	0.082133899	0.918833192
740.0	0.082141872	0.918350863
742.0	0.082196702	0.918092891
744.0	0.082017009	0.918226229
746.0	0.081965465	0.918483615
748.0	0.081835989	0.918775936
750.0	0.081979802	0.918630169
752.0	0.081982449	0.918494731
754.0	0.082017122	0.918360855
756.0	0.081946893	0.91853732
758.0	0.081969842	0.918507501
760.0	0.081969428	0.918276161
762.0	0.081976495	0.918149934
764.0	0.081901231	0.918165787
766.0	0.081829376	0.918148123
768.0	0.081746839	0.917921564
770.0	0.081677879	0.918018274
772.0	0.081617905	0.918303233
774.0	0.081569963	0.91863026
776.0	0.081529596	0.918665905
778.0	0.081551621	0.918404874
780.0	0.081611565	0.917841274
782.0	0.081762768	0.91738312
784.0	0.081862066	0.917580435
786.0	0.081873456	0.917684939
788.0	0.081844695	0.917992117
790.0	0.081901926	0.917789654
792.0	0.081942027	0.917831031
794.0	0.0819337	0.917764546
796.0	0.081748939	0.917610239
798.0	0.0817294	0.917310669
800.0	0.081735263	0.91721397
802.0	0.081901885	0.917145854
804.0	0.081986938	0.917437618
806.0	0.081890126	0.917442739
808.0	0.081867169	0.91745692
810.0	0.08183824	0.917215843
812.0	0.081908068	0.917093706
814.0	0.08174497	0.917214534
816.0	0.081716631	0.917175603
818.0	0.081763868	0.917262588
820.0	0.081859194	0.91722591
822.0	0.08187192	0.917859898
824.0	0.081868958	0.91798227
826.0	0.081860635	0.918013392
828.0	0.081741443	0.917263354
830.0	0.081732106	0.917104834
832.0	0.08160981	0.916872327
834.0	0.081477997	0.916867364
