SAMPLE_B_3LayerMo_b1__V	SAMPLE_B_3LayerMo_b1__J	SAMPLE_B_3LayerMo_b1__I	SAMPLE_B_3LayerMo_b1__Param	SAMPLE_B_3LayerMo_b1__ParamDescr
-0.3	-32.37717	-18.45499	0.7145	Voc (V)
-0.2798	-32.40818	-18.47266	32.4	Jsc (mA/cm²)
-0.25965	-32.41869	-18.47865	74.61	FF(%)
-0.23945	-32.4281	-18.48402	17.27	Eff (%)
-0.2193	-32.4387	-18.49006	0.57	Cell Area (cm²)
-0.199125	-32.44156	-18.49169	0.5676	Vmpp (V)
-0.178945	-32.42021	-18.47952	30.44	Jmpp (mA/cm²)
-0.15877	-32.44382	-18.49298	17.27	Pmpp (mW/cm²)
-0.138595	-32.4381	-18.48972	-4575.4	Rp (Ohmcm²)
-0.11842	-32.41888	-18.47876	1.9	Rs (Ohmcm²)
-0.098245	-32.4133	-18.47558	03.10.2016 10:04:17	Measurement date and time
-0.07807	-32.41096	-18.47425	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.43302	-18.48682	1	Illumination correction factor
-0.03772	-32.44025	-18.49094		(Cell Comment)
-0.017545	-32.40395	-18.47025		(Global Comment)
0.00263	-32.40611	-18.47148		
0.022805	-32.4044	-18.47051		
0.04298	-32.41483	-18.47645		
0.06316	-32.39151	-18.46316		
0.083335	-32.38726	-18.46074		
0.10351	-32.37325	-18.45275		
0.123685	-32.35854	-18.44437		
0.14386	-32.37286	-18.45253		
0.164035	-32.35114	-18.44015		
0.18421	-32.35124	-18.44021		
0.204385	-32.34637	-18.43743		
0.22455	-32.3404	-18.43403		
0.24475	-32.32653	-18.42612		
0.2649	-32.32007	-18.42244		
0.2851	-32.30695	-18.41496		
0.30525	-32.29242	-18.40668		
0.32545	-32.27256	-18.39536		
0.3456	-32.27091	-18.39442		
0.3658	-32.25633	-18.38611		
0.38595	-32.22726	-18.36954		
0.40615	-32.19284	-18.34992		
0.4263	-32.15465	-18.32815		
0.4465	-32.09754	-18.2956		
0.46665	-32.04714	-18.26687		
0.48685	-31.95714	-18.21557		
0.507	-31.78852	-18.11946		
0.5272	-31.53432	-17.97456		
0.54735	-31.13539	-17.74717		
0.56755	-30.43591	-17.34847		
0.5877	-29.31635	-16.71032		
0.6079	-27.50514	-15.67793		
0.62805	-24.85742	-14.16873		
0.64825	-21.06339	-12.00613		
0.6684	-16.1932	-9.230124		
0.6886	-9.880561	-5.63192		
0.70875	-2.424837	-1.382157		
0.72895	6.115884	3.486054		
0.7491	15.49762	8.833644		
0.7693	25.50358	14.53704		
0.78945	35.93279	20.48169		
0.80965	46.53775	26.52652		
0.8298	56.98486	32.48137		
0.85	67.16472	38.28389		
