SAMPLE_B_3LayerMo_e1__V	SAMPLE_B_3LayerMo_e1__J	SAMPLE_B_3LayerMo_e1__I	SAMPLE_B_3LayerMo_e1__Param	SAMPLE_B_3LayerMo_e1__ParamDescr
-0.3	-32.08172	-18.28658	0.7146	Voc (V)
-0.2798	-32.10925	-18.30227	32.09	Jsc (mA/cm²)
-0.25965	-32.1247	-18.31108	75.16	FF(%)
-0.23945	-32.12561	-18.3116	17.24	Eff (%)
-0.2193	-32.11769	-18.30708	0.57	Cell Area (cm²)
-0.199125	-32.11646	-18.30638	0.5867	Vmpp (V)
-0.178945	-32.12033	-18.30859	29.38	Jmpp (mA/cm²)
-0.15877	-32.12088	-18.3089	17.24	Pmpp (mW/cm²)
-0.138595	-32.13121	-18.31479	-33194.3	Rp (Ohmcm²)
-0.11842	-32.11282	-18.30431	1.82	Rs (Ohmcm²)
-0.098245	-32.11083	-18.30317	03.10.2016 10:05:51	Measurement date and time
-0.07807	-32.115	-18.30555	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.10524	-18.29999	1	Illumination correction factor
-0.03772	-32.11428	-18.30514		(Cell Comment)
-0.017545	-32.09309	-18.29306		(Global Comment)
0.00263	-32.08728	-18.28975		
0.022805	-32.07434	-18.28237		
0.04298	-32.08574	-18.28887		
0.06316	-32.10063	-18.29736		
0.083335	-32.07058	-18.28023		
0.10351	-32.07325	-18.28175		
0.123685	-32.05424	-18.27092		
0.14386	-32.05423	-18.27091		
0.164035	-32.05268	-18.27003		
0.18421	-32.02981	-18.25699		
0.204385	-32.02712	-18.25546		
0.22455	-32.00884	-18.24504		
0.24475	-32.01819	-18.25037		
0.2649	-32.00103	-18.24059		
0.2851	-31.99163	-18.23523		
0.30525	-31.99444	-18.23683		
0.32545	-31.96256	-18.21866		
0.3456	-31.93717	-18.20419		
0.3658	-31.91958	-18.19416		
0.38595	-31.91582	-18.19202		
0.40615	-31.86786	-18.16468		
0.4263	-31.82912	-18.1426		
0.4465	-31.78518	-18.11755		
0.46665	-31.73335	-18.08801		
0.48685	-31.6506	-18.04084		
0.507	-31.51288	-17.96234		
0.5272	-31.28016	-17.82969		
0.54735	-30.94021	-17.63592		
0.56755	-30.33874	-17.29308		
0.5877	-29.32812	-16.71703		
0.6079	-27.7246	-15.80302		
0.62805	-25.22944	-14.38078		
0.64825	-21.60972	-12.31754		
0.6684	-16.78717	-9.568688		
0.6886	-10.35811	-5.904121		
0.70875	-2.60583	-1.485323		
0.72895	6.393807	3.64447		
0.7491	16.34418	9.316184		
0.7693	26.973	15.37461		
0.78945	37.99533	21.65734		
0.80965	49.09437	27.98379		
0.8298	59.9039	34.14522		
0.85	70.24026	40.03695		
