subplots_adjust	0.15
fontsize	10.0
ylim	[-inf, inf]
xlabel	ylim
ylabel	(-inf, inf)
text	[]
textxy	[]
textargs	[]
legendproperties	{'fontsize': 8.0, 'loc': 'best'}
meastype	Undetermined data type
_fitdiode_rsquare_diode	0.9993673482035441	0.9993215251782308	0.9994547653603331	0.9988358708695165	0.9991558822483148	0.9992358988176301			0.9993664958337453			0.9998890406949219			0.9993647873631069			0.9996622468371456			0.999408443852897			0.9997310998918101			0.9993823884130815			0.9999399082823964			0.9993603641598185
_fitdiodeweight	5.0	5.0	5.0	5.0	5.0	5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0
_units	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']
acquis soft (cell comment)												Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)
acquis soft cell area	0.57	0.57	0.57	0.57	0.57	0.57			0.54			0.540001			0.54			0.540001			0.54			0.540001			0.54			0.540001			0.54
acquis soft datetime	03.10.2016 10:16:27	03.10.2016 10:06:34	03.10.2016 10:08:34	03.10.2016 10:04:17	03.10.2016 10:06:52	03.10.2016 10:08:54			15.04.2025 13:52:15			15.04.2025 13:59:05			15.04.2025 13:58:26			15.04.2025 13:48:33			15.04.2025 13:48:02			15.04.2025 13:54:07			15.04.2025 13:53:37			15.04.2025 14:01:23			15.04.2025 14:00:49
diodefit	[1.7296529554374374, -0.007467412247762458, 3.093764529334137e-06, 0.8744859082099645, 3931.856214064107]	[1.620268296321768, -0.0065365732549243945, 1.1469026204015563e-06, 0.7622025896787938, 3917.624289199907]	[1.6035724791796242, -0.008548667578154543, 9.695131852263309e-07, 0.7846390911192787, 3133.2753321750824]	[1.6526969785947538, -0.006070198074847783, 1.7428443269989251e-06, 0.8349602696097057, 4690.285152346636]	[1.6055525778960191, -0.006688594887730867, 1.038014367603172e-06, 0.7183415381921833, 3623.705669374837]	[1.6514852993844684, -0.006570653725681284, 1.6785759116409376e-06, 0.7076407925562721, 3616.5343866287203]			[3.3033859973641486, -0.0722685353216255, 0.0006206038385925964, 1.1476629729481287, 276.61318828525754]			[2.2286863286840366, -5.199729779320221e-08, 3.253977506742389e-06, 1.633429258964113, 9134.26995167013]			[3.2072167594598504, -0.0501666899946165, 0.0005250088995503798, 0.935883931869929, 309.43070052512684]			[2.2878519864967397, -9.402502796688781e-08, 4.389491135354113e-06, 1.2313687630318693, 1766.6779311957555]			[3.2498317192043658, -0.046489918091082987, 0.0005321694764725508, 0.6857887036903907, 253.92801997984583]			[2.2181882406709597, -6.183619703426767e-08, 2.9816578837427534e-06, 1.602351180328724, 5361.347169150801]			[3.2035542934391237, -0.04958674148260229, 0.0004712516425181177, 0.8699921632669726, 299.6920632602891]			[2.2223339337781045, 2.6178019958452e-08, 3.0800734387441366e-06, 1.2893485007154422, 5622.006891961443]			[3.14337753739243, -0.03681327237860294, 0.000405381478989805, 0.7147221158197189, 327.2268485406233]
eff	0.17919167402826958	0.18144208799786343	0.18411340537138102	0.18193270960346924	0.18224487172985335	0.1804567019642342			0.08339466178146608			8.578754344243359e-10			0.07945402545483239			1.8455372778085538e-09			0.08011016033488393			2.4597693715245357e-10			0.08286750809289194			1.7099219735220572e-09			0.08237631119383487
ff	0.740041986795109	0.7534976607021348	0.7525967276072802	0.7467225408134421	0.7563758575096388	0.7528339086266242			0.5676997830550875			0.09118039482506085			0.5783698889494131			5.9754134660910605			0.5550458006968895			0.16925935256152752			0.5778573681678406			0.7938709701004321			0.5853631055483668
filename	C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_B_3layerMo//I-V_SAMPLE_B_3LayerMo_a1_01.txt	C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_B_3layerMo//I-V_SAMPLE_B_3LayerMo_a2_01.txt	C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_B_3layerMo//I-V_SAMPLE_B_3LayerMo_a3_01.txt	C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_B_3layerMo//I-V_SAMPLE_B_3LayerMo_b1_01.txt	C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_B_3layerMo//I-V_SAMPLE_B_3LayerMo_b2_01.txt	C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_B_3layerMo//I-V_SAMPLE_B_3LayerMo_b3_01.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_d2_01.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_d3_02.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_d3_01.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_e1_02.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_e1_01.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_e2_02.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_e2_01.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_e3_02.txt			C:/_python/_python_packages/grapa/grapa/examples/JV/SAMPLE_C//I-V_SAMPLEC_e3_01.txt
illumpower	1000	1000	1000	1000	1000	1000			1000			1000			1000			1000			1000			1000			1000			1000			1000
jsc	33.56100622836693	33.59125954800677	34.13326177216637	34.08879021117565	33.73567651017514	33.57201105978115			17.268800361010836			0.00019159294007678424			16.412996989701615			0.0001191947668695496			17.016845051020415			0.0001616578959894053			16.919143768996967			-8.756329407624223e-05			16.668911087811274
label	SAMPLE B 3LayerMo a1 01	SAMPLE B 3LayerMo a2 01	SAMPLE B 3LayerMo a3 01	SAMPLE B 3LayerMo b1 01	SAMPLE B 3LayerMo b2 01	SAMPLE B 3LayerMo b3 01			SAMPLE C d2 01			SAMPLE C d3 02			SAMPLE C d3 01			SAMPLE C e1 02			SAMPLE C e1 01			SAMPLE C e2 02			SAMPLE C e2 01			SAMPLE C e3 02			SAMPLE C e3 01
measid	1.0	1.0	1.0	1.0	1.0	1.0			1.0			2.0			1.0			2.0			1.0			2.0			1.0			2.0			1.0
mpp	[0.5781794999999947, -30.992394927227824, 17.919167402826957]	[0.5818064999999941, -31.18598503073879, 18.144208799786345]	[0.582209499999994, -31.62322246053747, 18.411340537138102]	[0.5755599999999952, -31.609686149744732, 18.193270960346926]	[0.5816049999999942, -31.334818601947227, 18.224487172985334]	[0.5799929999999944, -31.113599985557745, 18.04567019642342]			[0.6577999999999958, -12.677814196027153, 8.339466178146608]			[0.0005010757940007229, -0.00017120672055914523, 8.578754344243359e-08]			[0.6527999999999964, -12.17126615423297, 7.9454025454832395]			[-0.0003888021440006592, 0.00047467260823680666, 1.845537277808554e-07]			[0.6569999999999959, -12.193327296025025, 8.011016033488392]			[0.00031407800000082114, -7.831714960990915e-05, 2.459769371524536e-08]			[0.6635999999999974, -12.48756903147864, 8.286750809289193]			[-0.0006947419399994242, 0.00024612332652948433, 1.7099219735220572e-07]			[0.6639999999999974, -12.406070962926988, 8.237631119383487]
rp	5288.711739944337	5226.2623986108265	3841.7696991022303	6247.68314661917	6206.334069108498	4835.396536617846			326.1565943449602			11130.47881804544			361.67936889958486			1896.5423933114605			308.05781805162036			5657.321243924384			357.6421722752386			6198.114459577239			394.442200828254
sample	SAMPLE_B_3LayerMo	SAMPLE_B_3LayerMo	SAMPLE_B_3LayerMo	SAMPLE_B_3LayerMo	SAMPLE_B_3LayerMo	SAMPLE_B_3LayerMo			SAMPLEC			SAMPLEC			SAMPLEC			SAMPLEC			SAMPLEC			SAMPLEC			SAMPLEC			SAMPLEC			SAMPLEC
temperature	298.15	298.15	298.15	298.15	298.15	298.15			298.15			298.15			298.15			298.15			298.15			298.15			298.15			298.15			298.15
voc	0.7214836486176838	0.7168525559768821	0.716713019557396	0.7147265871478798	0.7142137952331704	0.7139971633274483			0.8506626303050148			0.004910698395032128			0.8369939921058398			0.00025911805307179346			0.848163805246648			0.0008989691579201701			0.8475888662852789			0.002459825396316358			0.8442474629377321
-0.3	-33.56002073394495	-33.55609908088234	-34.152815485074626	-34.04979132841328	-33.74643703041144	-33.591271777003485		-1.0	-19.28406281588448		-0.9999703	-0.11378759334214417		-1.0	-18.293652865064693		-0.9999717	-0.64497401225125		-1.0	-19.654254642857143		-0.999962	-0.23130713047340426		-1.0	-18.859873404255325		-0.9999641	-0.20450620623743115		-1.0	-18.51834385321101
