"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
00:21:00:04;82.974;5.771;0.205
"V [mV]";"J [mA/cm^2]"
-300;-42.791748
-288;-42.9016113333333
-276;-42.7734375
-264;-42.7246095
-252;-42.7734375
-240;-42.7185058333333
-228;-42.7246093333333
-216;-42.7001953333333
-204;-42.602539
-192;-42.553711
-180;-42.5231933333333
-168;-42.4682616666667
-156;-42.5048828333333
-144;-42.4499511666667
-132;-42.3828125
-120;-42.3461913333333
-108;-42.2180176666667
-96;-42.175293
-84;-42.0776366666667
-72;-41.9494628333333
-60;-41.833496
-48;-41.7175293333333
-36;-41.4794921666667
-24;-41.3269043333333
-12;-41.0827636666667
0;-40.7348633333333
12;-40.3442381666667
24;-39.8132325
36;-39.2822265
48;-38.6169433333333
60;-37.9150391666667
72;-36.9506836666667
84;-36.0168458333333
96;-34.7473145
108;-33.59375
120;-32.2509765666667
132;-30.56640625
144;-28.9123535166667
156;-27.1118164
168;-25.1831054833333
180;-23.26049805
192;-21.27075195
204;-18.9819335833333
216;-16.9067382833333
228;-14.90478515
240;-12.9577636833333
252;-11.23046875
264;-9.49707031666667
276;-8.10546875
288;-6.79931641666667
300;-5.65795898333333
312;-4.65087891666667
324;-3.90014648333333
336;-3.24096679666667
348;-2.70385742166667
360;-2.22778320333333
372;-1.84326171833333
384;-1.57470703166667
396;-1.25122070333333
408;-1.11083984333333
420;-0.982666015
432;-0.952148438333333
444;-0.714111328333333
456;-0.592041016666667
468;-0.561523438333333
480;-0.500488281666667
492;-0.384521485
504;-0.366210938333333
516;-0.299072265666667
528;-0.2685546875
540;-0.225830078166667
552;-0.213623047
564;-0.1220703125
576;-0.103759765666667
588;-0.103759765666667
600;-0.0366210938
612;-0.0488281250833333
624;0.0183105468833333
636;0.0305175781333333
648;0.115966796833333
660;0.146484375
672;0.189208984333333
684;0.231933593833333
696;0.305175781333333
708;0.390625
720;0.48828125
732;0.567626953333333
744;0.68359375
756;0.848388673333333
768;0.964355468333333
780;1.18408203166667
792;1.42822265666667
804;1.66015625
816;2.02636718666667
828;2.41699218833333
840;3.07006836
852;3.60107421666667
864;4.40063476666667
876;5.38330078333333
888;6.51245116666667
900;7.86132811666667
