"CdS32nm_on_SLG_T"
"Wavelength nm."	"T%"
932.00000	84.33451
934.00000	84.55528
936.00000	84.67447
938.00000	84.62965
940.00000	84.34628
942.00000	84.25071
944.00000	84.56178
946.00000	84.92215
948.00000	85.07256
950.00000	84.93195
952.00000	84.89130
954.00000	85.03214
956.00000	85.11421
958.00000	85.18374
960.00000	85.13978
962.00000	85.16261
964.00000	85.02062
966.00000	85.01907
968.00000	85.13195
970.00000	85.25819
972.00000	85.28220
974.00000	85.26311
976.00000	85.37418
978.00000	85.50348
980.00000	85.55185
982.00000	85.43446
984.00000	85.27861
986.00000	85.22357
988.00000	85.27792
990.00000	85.41348
992.00000	85.50346
994.00000	85.46295
996.00000	85.63029
998.00000	85.72696
1000.00000	85.89367
1002.00000	85.79135
1004.00000	85.87717
1006.00000	85.93327
1008.00000	85.96707
1010.00000	85.81008
1012.00000	85.73454
1014.00000	85.80196
1016.00000	85.90131
1018.00000	85.95562
1020.00000	85.84957
1022.00000	85.93695
1024.00000	85.94349
1026.00000	86.03523
1028.00000	86.03885
1030.00000	86.07157
1032.00000	86.08939
1034.00000	86.08699
1036.00000	86.14484
1038.00000	86.13164
1040.00000	86.12751
1042.00000	86.12690
1044.00000	86.14316
1046.00000	86.19454
1048.00000	86.23544
1050.00000	86.34389
1052.00000	86.32643
1054.00000	86.37185
1056.00000	86.31722
1058.00000	86.37678
1060.00000	86.28592
1062.00000	86.33282
1064.00000	86.35776
1066.00000	86.45408
1068.00000	86.55097
1070.00000	86.58745
1072.00000	86.58678
1074.00000	86.58226
1076.00000	86.59345
1078.00000	86.65745
1080.00000	86.68740
1082.00000	86.70933
1084.00000	86.74972
1086.00000	86.70978
1088.00000	86.75674
1090.00000	86.82081
1092.00000	86.87389
1094.00000	86.90062
1096.00000	86.85498
1098.00000	86.91217
1100.00000	86.91961
1102.00000	86.91433
1104.00000	86.94997
1106.00000	86.99304
1108.00000	87.01386
1110.00000	86.98941
1112.00000	87.00550
1114.00000	87.05964
1116.00000	87.11005
1118.00000	87.10577
1120.00000	87.07824
1122.00000	87.06055
1124.00000	87.09975
1126.00000	87.11069
1128.00000	87.12127
1130.00000	87.15527
1132.00000	87.23222
1134.00000	87.35401
1136.00000	87.37688
1138.00000	87.48190
1140.00000	87.42619
1142.00000	87.38069
1144.00000	87.30762
1146.00000	87.38470
1148.00000	87.42886
1150.00000	87.47856
1152.00000	87.44675
1154.00000	87.50843
1156.00000	87.50137
1158.00000	87.53044
1160.00000	87.50732
1162.00000	87.52781
1164.00000	87.51073
1166.00000	87.51286
1168.00000	87.55729
1170.00000	87.63556
1172.00000	87.66048
1174.00000	87.68089
1176.00000	87.65955
1178.00000	87.70001
1180.00000	87.68391
1182.00000	87.71374
1184.00000	87.71211
1186.00000	87.72665
1188.00000	87.69601
1190.00000	87.70352
1192.00000	87.72690
1194.00000	87.77001
1196.00000	87.76610
1198.00000	87.78246
1200.00000	87.81898
1202.00000	87.85745
1204.00000	87.85081
1206.00000	87.85536
1208.00000	87.94470
1210.00000	88.05558
1212.00000	88.04064
1214.00000	88.00969
1216.00000	87.99633
1218.00000	88.03549
1220.00000	88.04778
1222.00000	87.98259
1224.00000	88.03120
1226.00000	88.07800
1228.00000	88.11721
1230.00000	88.11455
1232.00000	88.13412
1234.00000	88.13384
1236.00000	88.14825
1238.00000	88.16170
1240.00000	88.17072
1242.00000	88.18134
1244.00000	88.13828
1246.00000	88.21902
1248.00000	88.21436
1250.00000	88.24578
1252.00000	88.24113
1254.00000	88.28041
1256.00000	88.34914
1258.00000	88.33022
1260.00000	88.42049
1262.00000	88.37811
1264.00000	88.47167
1266.00000	88.40359
1268.00000	88.39611
1270.00000	88.37430
1272.00000	88.39034
1274.00000	88.44031
1276.00000	88.48682
1278.00000	88.54047
1280.00000	88.60213
1282.00000	88.65070
1284.00000	88.62243
1286.00000	88.60398
1288.00000	88.52933
1290.00000	88.55450
1292.00000	88.55675
1294.00000	88.58493
1296.00000	88.56017
1298.00000	88.56616
1300.00000	88.61852
1302.00000	88.70975
1304.00000	88.71626
1306.00000	88.75240
1308.00000	88.78262
1310.00000	88.81638
1312.00000	88.71147
1314.00000	88.66467
1316.00000	88.68540
1318.00000	88.77927
1320.00000	88.81051
1322.00000	88.78105
1324.00000	88.74619
1326.00000	88.74249
1328.00000	88.85316
1330.00000	88.88812
1332.00000	88.83910
1334.00000	88.75623
1336.00000	88.83491
1338.00000	88.83965
1340.00000	88.77377
1342.00000	88.78517
1344.00000	88.88459
1346.00000	88.95268
1348.00000	88.96219
1350.00000	88.93642
1352.00000	88.95630
1354.00000	88.96620
1356.00000	88.93409
1358.00000	88.97437
1360.00000	88.92448
1362.00000	88.98090
1364.00000	89.03105
1366.00000	89.05814
1368.00000	89.09799
1370.00000	89.06706
1372.00000	89.06464
1374.00000	89.12055
1376.00000	89.14730
1378.00000	89.21533
1380.00000	89.13028
1382.00000	89.11812
1384.00000	89.13103
1386.00000	89.16164
1388.00000	89.26102
1390.00000	89.20891
1392.00000	89.18098
1394.00000	89.17970
1396.00000	89.23765
1398.00000	89.31349
1400.00000	89.23919
1402.00000	89.28972
1404.00000	89.34600
1406.00000	89.42415
1408.00000	89.36203
1410.00000	89.28943
1412.00000	89.25137
1414.00000	89.18652
1416.00000	89.19897
1418.00000	89.22405
1420.00000	89.26864
1422.00000	89.31244
1424.00000	89.35611
1426.00000	89.41967
1428.00000	89.40999
1430.00000	89.42725
1432.00000	89.28976
1434.00000	89.32121
1436.00000	89.35015
1438.00000	89.48390
1440.00000	89.51927
1442.00000	89.36729
1444.00000	89.42155
1446.00000	89.46778
1448.00000	89.53178
1450.00000	89.63862
1452.00000	89.71719
1454.00000	89.71305
1456.00000	89.66911
1458.00000	89.61556
1460.00000	89.70510
1462.00000	89.65194
1464.00000	89.62059
1466.00000	89.60765
1468.00000	89.58227
1470.00000	89.74890
1472.00000	89.80267
1474.00000	89.85741
1476.00000	89.70663
1478.00000	89.72461
1480.00000	89.80926
1482.00000	89.87732
1484.00000	89.90588
1486.00000	89.85419
1488.00000	89.95306
1490.00000	89.92986
1492.00000	89.87761
1494.00000	89.80399
1496.00000	89.81269
1498.00000	89.97745
1500.00000	89.98573
1502.00000	90.07469
1504.00000	89.99525
1506.00000	90.00049
1508.00000	89.92651
1510.00000	89.95207
1512.00000	89.85970
1514.00000	89.95695
1516.00000	90.02617
1518.00000	89.96087
1520.00000	89.87834
1522.00000	89.84129
1524.00000	89.97687
1526.00000	90.09642
1528.00000	90.05890
1530.00000	89.96684
1532.00000	89.97746
1534.00000	90.06413
1536.00000	90.29322
1538.00000	90.08962
1540.00000	90.08627
1542.00000	90.05128
1544.00000	90.26367
1546.00000	89.97491
1548.00000	89.95571
1550.00000	89.78481
1552.00000	89.91573
1554.00000	89.90938
1556.00000	90.08145
1558.00000	90.25105
1560.00000	90.27398
1562.00000	90.21012
1564.00000	90.24858
1566.00000	90.17336
1568.00000	90.27679
1570.00000	90.26154
1572.00000	90.35690
1574.00000	90.29655
1576.00000	90.31641
1578.00000	90.20427
1580.00000	90.14646
1582.00000	90.12401
1584.00000	90.39200
1586.00000	90.53057
1588.00000	90.59911
1590.00000	90.52022
1592.00000	90.39634
1594.00000	90.20808
1596.00000	90.21087
1598.00000	90.20393
1600.00000	90.33410
1602.00000	90.31090
1604.00000	90.47534
1606.00000	90.40759
1608.00000	90.32093
1610.00000	90.22796
1612.00000	90.23148
1614.00000	90.37766
1616.00000	90.37757
1618.00000	90.44453
1620.00000	90.41531
1622.00000	90.32089
1624.00000	90.21090
1626.00000	90.18126
1628.00000	90.29288
1630.00000	90.40005
1632.00000	90.41850
1634.00000	90.31492
1636.00000	90.32329
1638.00000	90.39390
1640.00000	90.54826
1642.00000	90.61405
1644.00000	90.53267
1646.00000	90.56029
1648.00000	90.55823
1650.00000	90.61605
1652.00000	90.54845
1654.00000	90.52291
1656.00000	90.55538
1658.00000	90.58257
1660.00000	90.58040
1662.00000	90.26328
1664.00000	90.15855
1666.00000	90.14951
1668.00000	90.38537
1670.00000	90.52804
1672.00000	90.55867
1674.00000	90.62006
1676.00000	90.65741
1678.00000	90.67345
1680.00000	90.61940
1682.00000	90.45123
1684.00000	90.55026
1686.00000	90.53233
1688.00000	90.70124
1690.00000	90.77414
1692.00000	90.95412
1694.00000	90.99417
1696.00000	90.67463
1698.00000	90.39788
1700.00000	90.34418
1702.00000	90.59901
1704.00000	90.88512
1706.00000	90.83332
1708.00000	90.92302
1710.00000	90.68633
1712.00000	90.43533
1714.00000	90.13767
1716.00000	90.45956
1718.00000	90.68272
1720.00000	90.71379
1722.00000	90.72934
1724.00000	90.77778
1726.00000	91.05878
1728.00000	90.61292
1730.00000	90.61949
1732.00000	90.53407
1734.00000	90.84024
1736.00000	91.05164
1738.00000	90.92967
1740.00000	91.18693
1742.00000	91.12962
1744.00000	91.43313
1746.00000	91.20831
1748.00000	91.15248
1750.00000	91.05194
1752.00000	90.93814
1754.00000	90.81531
1756.00000	90.94481
1758.00000	91.05675
1760.00000	91.22493
1762.00000	90.93587
1764.00000	90.94589
1766.00000	90.63267
1768.00000	90.65627
1770.00000	90.58493
1772.00000	90.77025
1774.00000	90.83374
1776.00000	90.69302
1778.00000	90.97005
1780.00000	90.68343
1782.00000	90.75829
1784.00000	90.78266
1786.00000	91.28089
1788.00000	91.30454
1790.00000	90.66238
1792.00000	90.52712
1794.00000	90.52541
1796.00000	91.14204
1798.00000	91.36738
1800.00000	91.21735
1802.00000	90.98584
1804.00000	90.70378
1806.00000	90.88496
1808.00000	90.90858
1810.00000	90.90664
1812.00000	90.71419
1814.00000	90.89404
1816.00000	90.78040
1818.00000	91.15297
1820.00000	91.31598
1822.00000	91.28315
1824.00000	91.32748
1826.00000	91.20308
1828.00000	91.18654
1830.00000	91.22639
1832.00000	90.95558
1834.00000	90.87222
1836.00000	90.71519
1838.00000	90.70921
1840.00000	90.87904
1842.00000	90.78731
1844.00000	91.12772
1846.00000	90.84934
1848.00000	90.91971
1850.00000	91.12628
1852.00000	91.55132
1854.00000	91.42591
1856.00000	90.93410
1858.00000	91.20033
1860.00000	91.12735
1862.00000	90.96340
1864.00000	90.73544
1866.00000	91.00948
1868.00000	91.63870
1870.00000	92.17104
1872.00000	92.08932
1874.00000	91.45648
1876.00000	91.00667
1878.00000	91.43597
1880.00000	91.62137
1882.00000	91.71261
1884.00000	91.15735
1886.00000	91.45193
1888.00000	91.07089
1890.00000	91.04442
1892.00000	90.71054
1894.00000	90.42643
1896.00000	90.45620
1898.00000	90.44946
1900.00000	90.85622
1902.00000	91.36696
1904.00000	91.55310
1906.00000	91.85860
1908.00000	91.12888
1910.00000	90.93692
1912.00000	90.78830
1914.00000	91.59110
1916.00000	91.99909
1918.00000	91.73355
1920.00000	91.51081
1922.00000	91.75285
1924.00000	91.98628
1926.00000	92.17758
1928.00000	91.44021
1930.00000	91.08250
1932.00000	90.93413
1934.00000	91.11169
1936.00000	91.63466
1938.00000	91.67937
1940.00000	91.46979
1942.00000	91.85164
1944.00000	92.30981
1946.00000	93.07205
1948.00000	92.49645
1950.00000	91.70430
1952.00000	90.98175
1954.00000	90.44992
1956.00000	90.70399
1958.00000	90.78903
1960.00000	91.59045
1962.00000	91.78405
1964.00000	92.41988
1966.00000	92.16909
1968.00000	92.16888
1970.00000	91.92359
1972.00000	91.99297
1974.00000	91.65945
1976.00000	91.63575
1978.00000	91.56734
1980.00000	91.72814
1982.00000	92.00430
1984.00000	91.15047
1986.00000	91.87479
1988.00000	91.58002
1990.00000	92.41888
1992.00000	91.21981
1994.00000	90.87768
1996.00000	91.04642
1998.00000	91.05313
2000.00000	90.93987
