TL3347_d3__V	TL3347_d3__J	TL3347_d3__I	TL3347_d3__Param	TL3347_d3__ParamDescr
-1	-18.32753	-9.896868	0.8367	Voc (V)
-0.98	-18.23893	-9.849019	16.51	Jsc (mA/cm²)
-0.96	-18.21578	-9.836518	57.59	FF(%)
-0.94	-18.15621	-9.804355	7.96	Eff (%)
-0.92	-18.1233	-9.786579	0.54	Cell Area (cm²)
-0.9	-18.09664	-9.772184	0.66	Vmpp (V)
-0.88	-18.07397	-9.759941	12.05	Jmpp (mA/cm²)
-0.86	-18.04248	-9.742939	7.96	Pmpp (mW/cm²)
-0.84	-18.00022	-9.720118	674.7	Rp (Ohmcm²)
-0.82	-17.97762	-9.707917	2.25	Rs (Ohmcm²)
-0.8	-17.96716	-9.702266	15.04.2025 13:58:26	Measurement date and time
-0.78	-17.94018	-9.687697	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-17.89052	-9.660882	1	Illumination correction factor
-0.74	-17.86871	-9.649101		(Cell Comment)
-0.72	-17.84049	-9.633862		(Global Comment)
-0.7	-17.8104	-9.617617		
-0.68	-17.78073	-9.601592		
-0.66	-17.74185	-9.580599		
-0.64	-17.7295	-9.573928		
-0.62	-17.68996	-9.552576		
-0.6	-17.65756	-9.535083		
-0.58	-17.63269	-9.521653		
-0.56	-17.61765	-9.513529		
-0.54	-17.56709	-9.486228		
-0.52	-17.54837	-9.476119		
-0.5	-17.50193	-9.451041		
-0.48	-17.4706	-9.434124		
-0.46	-17.45718	-9.426874		
-0.44	-17.40683	-9.399688		
-0.42	-17.36936	-9.379452		
-0.4	-17.34631	-9.367007		
-0.38	-17.31093	-9.347901		
-0.36	-17.2744	-9.328174		
-0.34	-17.22816	-9.303208		
-0.32	-17.18671	-9.280823		
-0.3	-17.15623	-9.264365		
-0.28	-17.12672	-9.248429		
-0.26	-17.07321	-9.219535		
-0.24	-17.0382	-9.200627		
-0.22	-16.99574	-9.177698		
-0.2	-16.95981	-9.158295		
-0.18	-16.91221	-9.132592		
-0.16	-16.86054	-9.104689		
-0.14	-16.8207	-9.083177		
-0.12	-16.77277	-9.057296		
-0.1	-16.72229	-9.030036		
-0.08	-16.65737	-8.994978		
-0.06	-16.6147	-8.971937		
-0.04	-16.56784	-8.946634		
-0.02	-16.50958	-8.915171		
0	-16.44403	-8.879778		
0.02	-16.38559	-8.848218		
0.04	-16.3226	-8.814203		
0.06	-16.2594	-8.780077		
0.08	-16.17992	-8.737156		
0.1	-16.1095	-8.699132		
0.12	-16.05615	-8.67032		
0.14	-15.97192	-8.624837		
0.16	-15.89417	-8.582849		
0.18	-15.8174	-8.541393		
0.2	-15.74158	-8.500455		
0.22	-15.65417	-8.453249		
0.24	-15.55356	-8.39892		
0.26	-15.45443	-8.345389		
0.28	-15.36424	-8.296689		
0.3	-15.25144	-8.235776		
0.32	-15.13913	-8.175127		
0.34	-15.01804	-8.109742		
0.36	-14.92011	-8.056858		
0.38	-14.79834	-7.991106		
0.4	-14.67067	-7.922163		
0.42	-14.53409	-7.848406		
0.44	-14.40463	-7.778502		
0.46	-14.26695	-7.704153		
0.48	-14.10157	-7.614848		
0.5	-13.94196	-7.528657		
0.52	-13.78699	-7.444973		
0.54	-13.61334	-7.351205		
0.56	-13.42129	-7.247494		
0.58	-13.21814	-7.137797		
0.6	-12.98443	-7.011591		
0.62	-12.72321	-6.870533		
0.64	-12.41747	-6.705435		
0.66	-12.05375	-6.509027		
0.68	-11.5949	-6.261247		
0.7	-11.03671	-5.959826		
0.72	-10.32017	-5.572893		
0.74	-9.400826	-5.076446		
0.76	-8.215516	-4.436378		
0.78	-6.712795	-3.624909		
0.8	-4.803281	-2.593772		
0.82	-2.423383	-1.308627		
0.84	0.4704737	0.2540558		
0.86	3.947067	2.131416		
0.88	7.998011	4.318926		
0.9	12.64373	6.827613		
0.92	17.85676	9.642651		
0.94	23.61087	12.74987		
0.96	29.83259	16.1096		
0.98	36.49968	19.70983		
1	43.57935	23.53285		
1.02	51.01489	27.54804		
1.04	58.74148	31.7204		
1.06	66.79874	36.07132		
1.08	75.09604	40.55186		
1.1	83.65815	45.1754		
1.12	92.42959	49.91198		
1.14	101.4436	54.77953		
1.16	110.5835	59.7151		
1.18	119.9621	64.77954		
1.2	129.4557	69.90609		
