TL3347_d3__V	TL3347_d3__J	TL3347_d3__I	TL3347_d3__Param	TL3347_d3__ParamDescr
-0.9999703	-0.1139981	-0.06155907	0	Voc (V)
-0.9499879	-0.1100929	-0.05945025	0	Jsc (mA/cm²)
-0.9000294	-0.1031148	-0.05568207	0	FF(%)
-0.8500997	-0.09662785	-0.05217913	0	Eff (%)
-0.8000477	-0.09103925	-0.04916128	0.540001	Cell Area (cm²)
-0.750014	-0.08392629	-0.04532028	0	Vmpp (V)
-0.6999504	-0.07669277	-0.04141417	0	Jmpp (mA/cm²)
-0.6499995	-0.0699878	-0.03779348	0	Pmpp (mW/cm²)
-0.6000422	-0.06367118	-0.0343825	7585.2	Rp (Ohmcm²)
-0.5500454	-0.05712451	-0.03084729	0	Rs (Ohmcm²)
-0.5000166	-0.05114237	-0.02761693	15.04.2025 13:59:05	Measurement date and time
-0.4499395	-0.04524397	-0.02443179	25	Approx. cell temperature (set: 24.0) (°C)
-0.3999361	-0.03941059	-0.02128176	1	Illumination correction factor
-0.3499634	-0.03496447	-0.01888085	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.3000275	-0.02916376	-0.01574846		(Global Comment)
-0.2500132	-0.02326964	-0.01256563		
-0.2000386	-0.01897498	-0.01024651		
-0.1500375	-0.01343152	-0.007253036		
-0.1001266	-0.00890049	-0.004806273		
-0.05003026	-0.005236883	-0.002827922		
0.0001257179	-0.0005809621	-0.0003137201		
0.0162185	0.001281297	0.0006919016		
0.04002723	0.003042494	0.00164295		
0.05999951	0.005986547	0.003232741		
0.07997952	0.007118482	0.003843987		
0.1000053	0.009865104	0.005327166		
0.1200119	0.0118629	0.006405976		
0.1400309	0.01392612	0.007520116		
0.1600513	0.01509916	0.008153562		
0.1799824	0.01740624	0.009399388		
0.2000129	0.02056332	0.01110421		
0.2199583	0.02234579	0.01206675		
0.2400012	0.02499419	0.01349689		
0.2600148	0.02868076	0.01548764		
0.2799989	0.03073735	0.0165982		
0.2999752	0.03428053	0.01851152		
0.3199655	0.03800236	0.02052131		
0.3399622	0.04133076	0.02231865		
0.359938	0.04495009	0.02427309		
0.3799233	0.05037046	0.0272001		
0.3999034	0.05411552	0.02922243		
0.4199039	0.06004647	0.03242515		
0.4398996	0.06585579	0.03556219		
0.45993	0.07255198	0.03917814		
0.4799638	0.07961744	0.0429935		
0.4999812	0.0895381	0.04835066		
0.5199948	0.1013903	0.05475085		
0.540031	0.1148877	0.06203945		
0.5600569	0.1342839	0.07251346		
0.5800018	0.1594299	0.08609232		
0.5999847	0.1932497	0.104355		
0.6199609	0.2385523	0.1288185		
0.6399494	0.3051504	0.1647815		
0.659933	0.3964106	0.2140621		
0.6799256	0.527652	0.2849326		
0.699921	0.7120863	0.3845273		
0.719955	0.9732691	0.5255663		
0.739954	1.341627	0.7244796		
0.7599828	1.856404	1.00246		
0.7799791	2.565173	1.385196		
0.8000045	3.533521	1.908105		
0.820034	4.822552	2.604183		
0.8400599	6.50422	3.512285		
0.8600481	8.643064	4.667263		
0.8799996	11.29415	6.09885		
0.8999917	14.5057	7.833092		
0.9199749	18.29322	9.878357		
0.9399359	22.69094	12.25313		
0.9599221	27.64478	14.92821		
0.9799145	33.14286	17.89718		
0.9999458	39.18025	21.15737		
1.019977	45.69833	24.67714		
1.039966	52.68368	28.44924		
1.059991	60.09489	32.4513		
1.080019	67.88421	36.65754		
1.100048	76.04353	41.06358		
1.120073	84.55686	45.66079		
1.140059	93.37859	50.42453		
1.160045	102.4761	55.33721		
1.179993	111.8092	60.37708		
1.199972	121.4017	65.55706		
1.199969	122.2216	65.99977		
