TL3347_f1__V	TL3347_f1__J	TL3347_f1__I	TL3347_f1__Param	TL3347_f1__ParamDescr
-0.9999676	-6.814232	-3.679692	0	Voc (V)
-0.9499897	-6.432368	-3.473485	0	Jsc (mA/cm²)
-0.9000217	-6.083421	-3.285053	0	FF(%)
-0.850087	-5.71921	-3.088379	0	Eff (%)
-0.8000431	-5.35945	-2.894108	0.540001	Cell Area (cm²)
-0.7500133	-5.006909	-2.703736	0	Vmpp (V)
-0.6999357	-4.658084	-2.51537	0	Jmpp (mA/cm²)
-0.6499927	-4.310679	-2.327771	0	Pmpp (mW/cm²)
-0.6000302	-3.96042	-2.138631	142.3	Rp (Ohmcm²)
-0.5500394	-3.615834	-1.952554	0	Rs (Ohmcm²)
-0.500003	-3.275461	-1.768752	15.04.2025 13:50:18	Measurement date and time
-0.4499377	-2.939354	-1.587254	25	Approx. cell temperature (set: 24.0) (°C)
-0.3999269	-2.602212	-1.405197	1	Illumination correction factor
-0.349965	-2.269277	-1.225412	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.3000286	-1.94285	-1.049141		(Global Comment)
-0.2500319	-1.61401	-0.8715668		
-0.2000462	-1.291014	-0.697149		
-0.1500362	-0.9645473	-0.5208565		
-0.1000427	-0.6435198	-0.3475013		
-0.05003984	-0.3222485	-0.1740145		
4.258928E-05	-0.0004450988	-0.0002403538		
0.02002507	0.128728	0.06951325		
0.04001159	0.2581731	0.1394137		
0.06001635	0.3871458	0.2090591		
0.08002757	0.5156213	0.278436		
0.1000172	0.6446281	0.3480998		
0.120017	0.7746684	0.4183217		
0.1400307	0.9046837	0.4885301		
0.1600198	1.033285	0.5579751		
0.1800162	1.165867	0.6295691		
0.2000276	1.297129	0.7004509		
0.219975	1.430325	0.7723768		
0.2400018	1.564642	0.8449081		
0.2600286	1.695274	0.9154498		
0.2800125	1.82914	0.9877373		
0.2999755	1.961728	1.059335		
0.3199627	2.095996	1.13184		
0.3399469	2.232911	1.205774		
0.3599264	2.366977	1.27817		
0.3799147	2.502005	1.351085		
0.3999	2.639084	1.425108		
0.4198999	2.77553	1.498789		
0.4398884	2.914939	1.57407		
0.4599206	3.050617	1.647336		
0.4799456	3.192672	1.724046		
0.499966	3.335042	1.800926		
0.5199909	3.476605	1.87737		
0.5400175	3.624093	1.957014		
0.5600421	3.774625	2.038301		
0.5799881	3.930824	2.122649		
0.5999782	4.09378	2.210645		
0.6199626	4.266579	2.303957		
0.6399423	4.45577	2.40612		
0.6599283	4.657236	2.514912		
0.6799186	4.888306	2.63969		
0.6999073	5.152698	2.782462		
0.7199459	5.473707	2.955807		
0.739935	5.89016	3.180692		
0.7599664	6.415923	3.464605		
0.7799785	7.093004	3.830229		
0.8000059	7.993586	4.316544		
0.8200374	9.1813	4.957911		
0.8400614	10.77345	5.817671		
0.8600526	12.83732	6.932163		
0.8800069	15.52863	8.385474		
0.899997	18.97065	10.24417		
0.9199485	23.29903	12.5815		
0.9399372	28.5726	15.42923		
0.9599234	34.88533	18.83811		
0.9799181	42.2759	22.82903		
0.9999448	50.71058	27.38376		
1.019977	60.15578	32.48418		
1.039968	70.55927	38.10208		
1.05999	81.89342	44.22253		
1.080021	94.01618	50.76883		
1.100049	106.9407	57.7481		
1.120077	120.5433	65.09352		
1.140064	134.7091	72.74304		
1.160048	149.4696	80.71372		
1.18	164.7932	88.98846		
1.199977	180.4893	97.46442		
1.199976	181.8236	98.1849		
