TL3347_e1__V	TL3347_e1__J	TL3347_e1__I	TL3347_e1__Param	TL3347_e1__ParamDescr
-0.9999717	-0.6688607	-0.3611854	0	Voc (V)
-0.9499934	-0.6354892	-0.3431648	0	Jsc (mA/cm²)
-0.9000279	-0.5981047	-0.3229771	0	FF(%)
-0.8500936	-0.5604835	-0.3026616	0	Eff (%)
-0.8000438	-0.5204504	-0.2810437	0.540001	Cell Area (cm²)
-0.750011	-0.4833334	-0.2610005	0	Vmpp (V)
-0.6999413	-0.4437844	-0.239644	0	Jmpp (mA/cm²)
-0.6499968	-0.4058456	-0.219157	0	Pmpp (mW/cm²)
-0.6000341	-0.3706947	-0.2001755	1329.9	Rp (Ohmcm²)
-0.5500452	-0.3341387	-0.1804352	0	Rs (Ohmcm²)
-0.5000074	-0.2995202	-0.1617412	15.04.2025 13:48:33	Measurement date and time
-0.4499393	-0.2658917	-0.1435818	25	Approx. cell temperature (set: 24.0) (°C)
-0.3999334	-0.2331513	-0.1259019	1	Illumination correction factor
-0.349963	-0.2007283	-0.1083935	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.3000529	-0.1698198	-0.09170286		(Global Comment)
-0.2500275	-0.1408666	-0.0760681		
-0.2000398	-0.1110281	-0.05995531		
-0.1500395	-0.08198646	-0.04427277		
-0.1000324	-0.05467461	-0.02952434		
-0.05004047	-0.02770112	-0.01495863		
0.0003094372	2.837328E-05	1.53216E-05		
0.02001248	0.01128067	0.006091573		
0.04000517	0.02208601	0.01192647		
0.06001721	0.03201957	0.0172906		
0.0800281	0.04413329	0.02383202		
0.1000156	0.05459481	0.02948125		
0.1200232	0.06678336	0.03606308		
0.1400258	0.07732495	0.04175555		
0.1600133	0.09024544	0.04873263		
0.1800146	0.1020589	0.05511193		
0.2000178	0.1138072	0.061456		
0.21998	0.1262379	0.06816857		
0.2400011	0.1389205	0.07501721		
0.2600295	0.1507233	0.08139075		
0.2800177	0.1636315	0.08836114		
0.2999932	0.1774186	0.09580623		
0.3199852	0.1902024	0.1027095		
0.3399545	0.2038569	0.1100829		
0.3599332	0.2179192	0.1176766		
0.3799175	0.2322723	0.1254273		
0.399901	0.2463144	0.13301		
0.419902	0.2621432	0.1415576		
0.4398939	0.2783552	0.1503121		
0.4599253	0.2941372	0.1588344		
0.4799485	0.3135629	0.1693243		
0.4999679	0.3329216	0.179778		
0.5199937	0.3536629	0.1909783		
0.5400265	0.3798486	0.2051186		
0.560043	0.4079254	0.2202801		
0.5799948	0.4436196	0.239555		
0.5999891	0.4866834	0.2628095		
0.6199685	0.5437707	0.2936367		
0.6399486	0.6201226	0.3348668		
0.6599339	0.7191101	0.3883202		
0.6799296	0.8539348	0.4611256		
0.6999241	1.04517	0.5643929		
0.7199588	1.31109	0.7079901		
0.7399575	1.681162	0.9078293		
0.7599623	2.185755	1.18031		
0.7799796	2.891623	1.561479		
0.8000079	3.856115	2.082306		
0.8200362	5.157363	2.784981		
0.8400592	6.881166	3.715836		
0.8600461	9.120004	4.924811		
0.8800043	11.96594	6.461617		
0.8999969	15.51442	8.377803		
0.919952	19.86335	10.72623		
0.9399388	24.97258	13.48522		
0.9599257	30.91557	16.69444		
0.979918	37.66821	20.34087		
0.9999474	45.21268	24.41489		
1.019977	53.51511	28.89821		
1.039969	62.47735	33.73783		
1.059997	72.08883	38.92804		
1.080021	82.2878	44.43549		
1.100047	93.02023	50.23101		
1.120077	104.2356	56.28732		
1.140061	115.8687	62.56923		
1.160048	127.922	69.07798		
1.179998	140.2895	75.75647		
1.199975	153.0092	82.62511		
1.199975	154.0052	83.16293		
