TL3347_f3__V	TL3347_f3__J	TL3347_f3__I	TL3347_f3__Param	TL3347_f3__ParamDescr
-1	-17.61315	-9.511098	0.8515	Voc (V)
-0.98	-17.55426	-9.4793	15.99	Jsc (mA/cm²)
-0.96	-17.52001	-9.460806	57.82	FF(%)
-0.94	-17.47587	-9.436969	7.87	Eff (%)
-0.92	-17.44073	-9.417991	0.54	Cell Area (cm²)
-0.9	-17.42014	-9.406876	0.66	Vmpp (V)
-0.88	-17.38053	-9.385487	11.93	Jmpp (mA/cm²)
-0.86	-17.3635	-9.376288	7.87	Pmpp (mW/cm²)
-0.84	-17.3228	-9.35431	718.8	Rp (Ohmcm²)
-0.82	-17.29753	-9.340663	1.44	Rs (Ohmcm²)
-0.8	-17.27871	-9.330502	15.04.2025 14:02:33	Measurement date and time
-0.78	-17.26189	-9.321422	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-17.21842	-9.297947	1	Illumination correction factor
-0.74	-17.19803	-9.286938		(Cell Comment)
-0.72	-17.17384	-9.273871		(Global Comment)
-0.7	-17.14373	-9.257615		
-0.68	-17.11324	-9.24115		
-0.66	-17.08384	-9.225274		
-0.64	-17.06726	-9.216318		
-0.62	-17.03653	-9.199725		
-0.6	-17.01026	-9.185538		
-0.58	-16.97543	-9.166731		
-0.56	-16.95504	-9.155721		
-0.54	-16.92692	-9.140534		
-0.52	-16.89094	-9.121106		
-0.5	-16.85669	-9.102612		
-0.48	-16.83499	-9.090893		
-0.46	-16.81209	-9.07853		
-0.44	-16.77322	-9.057537		
-0.42	-16.73339	-9.036028		
-0.4	-16.71469	-9.025934		
-0.38	-16.68151	-9.008015		
-0.36	-16.64457	-8.988069		
-0.34	-16.60176	-8.964948		
-0.32	-16.58278	-8.9547		
-0.3	-16.54381	-8.933657		
-0.28	-16.51682	-8.919081		
-0.26	-16.47358	-8.89573		
-0.24	-16.44529	-8.880458		
-0.22	-16.40347	-8.857876		
-0.2	-16.36968	-8.839628		
-0.18	-16.33032	-8.81837		
-0.16	-16.28841	-8.795741		
-0.14	-16.25397	-8.777143		
-0.12	-16.21907	-8.758299		
-0.1	-16.17441	-8.734181		
-0.08	-16.11976	-8.704672		
-0.06	-16.0846	-8.685684		
-0.04	-16.03468	-8.658724		
-0.02	-15.99352	-8.636502		
0	-15.9451	-8.610353		
0.02	-15.89158	-8.581453		
0.04	-15.84564	-8.556646		
0.06	-15.7963	-8.53		
0.08	-15.73396	-8.49634		
0.1	-15.67812	-8.466187		
0.12	-15.62813	-8.43919		
0.14	-15.56908	-8.407302		
0.16	-15.49425	-8.366896		
0.18	-15.42993	-8.332162		
0.2	-15.36966	-8.299617		
0.22	-15.29475	-8.259165		
0.24	-15.20825	-8.212455		
0.26	-15.13103	-8.170754		
0.28	-15.05645	-8.130484		
0.3	-14.96314	-8.080096		
0.32	-14.86193	-8.025439		
0.34	-14.7616	-7.971265		
0.36	-14.66109	-7.916987		
0.38	-14.56591	-7.86559		
0.4	-14.43959	-7.797377		
0.42	-14.31276	-7.728891		
0.44	-14.18985	-7.662516		
0.46	-14.04781	-7.585818		
0.48	-13.88578	-7.498321		
0.5	-13.71015	-7.403482		
0.52	-13.53512	-7.308966		
0.54	-13.37702	-7.223592		
0.56	-13.17803	-7.116137		
0.58	-12.97602	-7.007048		
0.6	-12.76668	-6.894004		
0.62	-12.52069	-6.761172		
0.64	-12.2435	-6.611487		
0.66	-11.93089	-6.442677		
0.68	-11.56322	-6.244141		
0.7	-11.12319	-6.006523		
0.72	-10.57886	-5.712582		
0.74	-9.880641	-5.335546		
0.76	-8.989946	-4.854571		
0.78	-7.859389	-4.24407		
0.8	-6.3673	-3.438342		
0.82	-4.407351	-2.37997		
0.84	-1.85963	-1.0042		
0.86	1.386674	0.7488037		
0.88	5.509456	2.975106		
0.9	10.61297	5.731006		
0.92	16.76262	9.051816		
0.94	23.95489	12.93564		
0.96	32.19189	17.38362		
0.98	41.39557	22.35361		
1	51.5055	27.81297		
1.02	62.45487	33.72563		
1.04	74.08159	40.00406		
1.06	86.42139	46.66755		
1.08	99.29388	53.61869		
1.1	112.7789	60.9006		
1.12	126.6414	68.38637		
1.14	141.0311	76.15677		
1.16	155.7677	84.11458		
1.18	170.9379	92.30645		
1.2	185.1748	99.99437		
