TL3347_e1__V	TL3347_e1__J	TL3347_e1__I	TL3347_e1__Param	TL3347_e1__ParamDescr
-1	-20.38219	-11.00638	0.8477	Voc (V)
-0.98	-20.30004	-10.96202	17.72	Jsc (mA/cm²)
-0.96	-20.22278	-10.9203	55.3	FF(%)
-0.94	-20.15656	-10.88454	8.31	Eff (%)
-0.92	-20.10682	-10.85768	0.54	Cell Area (cm²)
-0.9	-20.06576	-10.83551	0.66	Vmpp (V)
-0.88	-20.00489	-10.80264	12.59	Jmpp (mA/cm²)
-0.86	-19.94019	-10.7677	8.31	Pmpp (mW/cm²)
-0.84	-19.89256	-10.74198	395.9	Rp (Ohmcm²)
-0.82	-19.85791	-10.72327	1.76	Rs (Ohmcm²)
-0.8	-19.80132	-10.69271	15.04.2025 13:48:02	Measurement date and time
-0.78	-19.74433	-10.66194	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-19.7007	-10.63838	1	Illumination correction factor
-0.74	-19.64848	-10.61018		(Cell Comment)
-0.72	-19.6123	-10.59064		(Global Comment)
-0.7	-19.53811	-10.55058		
-0.68	-19.49398	-10.52675		
-0.66	-19.45026	-10.50314		
-0.64	-19.40802	-10.48033		
-0.62	-19.34885	-10.44838		
-0.6	-19.29369	-10.41859		
-0.58	-19.26006	-10.40043		
-0.56	-19.20245	-10.36932		
-0.54	-19.15304	-10.34264		
-0.52	-19.11524	-10.32223		
-0.5	-19.06133	-10.29312		
-0.48	-19.00561	-10.26303		
-0.46	-18.94043	-10.22783		
-0.44	-18.90117	-10.20663		
-0.42	-18.86735	-10.18837		
-0.4	-18.81726	-10.16132		
-0.38	-18.74828	-10.12407		
-0.36	-18.7103	-10.10356		
-0.34	-18.66487	-10.07903		
-0.32	-18.61091	-10.04989		
-0.3	-18.54993	-10.01696		
-0.28	-18.53894	-10.01103		
-0.26	-18.45305	-9.964644		
-0.24	-18.40703	-9.939795		
-0.22	-18.34514	-9.906377		
-0.2	-18.2882	-9.875628		
-0.18	-18.21506	-9.836132		
-0.16	-18.1569	-9.804724		
-0.14	-18.12011	-9.784858		
-0.12	-18.04595	-9.744814		
-0.1	-17.98107	-9.709777		
-0.08	-17.92551	-9.679777		
-0.06	-17.86088	-9.644875		
-0.04	-17.79147	-9.60739		
-0.02	-17.72033	-9.568979		
0	-17.64674	-9.529238		
0.02	-17.58465	-9.495711		
0.04	-17.50454	-9.452453		
0.06	-17.42108	-9.407383		
0.08	-17.33705	-9.362005		
0.1	-17.25469	-9.317532		
0.12	-17.17902	-9.276671		
0.14	-17.07373	-9.219816		
0.16	-16.9812	-9.169847		
0.18	-16.89584	-9.123751		
0.2	-16.80035	-9.072186		
0.22	-16.68488	-9.009833		
0.24	-16.57027	-8.947944		
0.26	-16.45847	-8.887574		
0.28	-16.34283	-8.825128		
0.3	-16.2134	-8.755238		
0.32	-16.08557	-8.686207		
0.34	-15.94406	-8.609793		
0.36	-15.80659	-8.53556		
0.38	-15.65988	-8.456335		
0.4	-15.49636	-8.368032		
0.42	-15.34044	-8.283837		
0.44	-15.18811	-8.201576		
0.46	-15.00776	-8.104193		
0.48	-14.81916	-8.002347		
0.5	-14.64243	-7.906912		
0.52	-14.45294	-7.804588		
0.54	-14.24691	-7.693328		
0.56	-14.03143	-7.576973		
0.58	-13.79053	-7.446885		
0.6	-13.54738	-7.315583		
0.62	-13.27036	-7.165996		
0.64	-12.95692	-6.996735		
0.66	-12.58686	-6.796906		
0.68	-12.1859	-6.580387		
0.7	-11.66342	-6.298246		
0.72	-11.02482	-5.953401		
0.74	-10.22301	-5.520426		
0.76	-9.196303	-4.966003		
0.78	-7.877733	-4.253976		
0.8	-6.176098	-3.335093		
0.82	-4.006541	-2.163532		
0.84	-1.294372	-0.698961		
0.86	2.079952	1.123174		
0.88	6.169707	3.331642		
0.9	11.03532	5.959074		
0.92	16.66591	8.999593		
0.94	23.08998	12.46859		
0.96	30.21152	16.31422		
0.98	38.01209	20.52653		
1	46.45778	25.0872		
1.02	55.47728	29.95773		
1.04	64.97414	35.08604		
1.06	75.01185	40.50639		
1.08	85.45294	46.14458		
1.1	96.35643	52.03247		
1.12	107.5104	58.05564		
1.14	119.1163	64.32279		
1.16	130.9554	70.71591		
1.18	143.1808	77.31763		
1.2	155.5826	84.0146		
