TL3347_d1__V	TL3347_d1__J	TL3347_d1__I	TL3347_d1__Param	TL3347_d1__ParamDescr
-1	-20.17908	-10.8967	0.8316	Voc (V)
-0.98	-20.15265	-10.88243	17.84	Jsc (mA/cm²)
-0.96	-20.09787	-10.85285	48.2	FF(%)
-0.94	-20.05454	-10.82945	7.15	Eff (%)
-0.92	-20.02317	-10.81251	0.54	Cell Area (cm²)
-0.9	-19.97828	-10.78827	0.617	Vmpp (V)
-0.88	-19.93394	-10.76433	11.59	Jmpp (mA/cm²)
-0.86	-19.89426	-10.7429	7.15	Pmpp (mW/cm²)
-0.84	-19.85161	-10.71987	480.6	Rp (Ohmcm²)
-0.82	-19.80922	-10.69698	2.19	Rs (Ohmcm²)
-0.8	-19.77772	-10.67997	15.04.2025 13:46:12	Measurement date and time
-0.78	-19.72589	-10.65198	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-19.69283	-10.63413	1	Illumination correction factor
-0.74	-19.65476	-10.61357		(Cell Comment)
-0.72	-19.60945	-10.5891		(Global Comment)
-0.7	-19.56907	-10.5673		
-0.68	-19.52789	-10.54506		
-0.66	-19.49037	-10.5248		
-0.64	-19.4458	-10.50073		
-0.62	-19.39352	-10.4725		
-0.6	-19.36598	-10.45763		
-0.58	-19.3188	-10.43215		
-0.56	-19.27376	-10.40783		
-0.54	-19.22102	-10.37935		
-0.52	-19.17924	-10.35679		
-0.5	-19.13513	-10.33297		
-0.48	-19.08983	-10.30851		
-0.46	-19.04391	-10.28371		
-0.44	-18.99904	-10.25948		
-0.42	-18.95328	-10.23477		
-0.4	-18.89257	-10.20199		
-0.38	-18.84693	-10.17734		
-0.36	-18.80443	-10.15439		
-0.34	-18.76281	-10.13192		
-0.32	-18.71707	-10.10722		
-0.3	-18.64917	-10.07055		
-0.28	-18.60711	-10.04784		
-0.26	-18.5647	-10.02494		
-0.24	-18.53511	-10.00896		
-0.22	-18.47447	-9.976215		
-0.2	-18.40989	-9.941338		
-0.18	-18.34455	-9.906054		
-0.16	-18.29046	-9.87685		
-0.14	-18.24005	-9.849624		
-0.12	-18.17654	-9.815331		
-0.1	-18.11164	-9.780283		
-0.08	-18.05197	-9.748064		
-0.06	-17.98467	-9.711723		
-0.04	-17.91599	-9.674634		
-0.02	-17.83611	-9.6315		
0	-17.77027	-9.595947		
0.02	-17.70044	-9.558237		
0.04	-17.61195	-9.510452		
0.06	-17.50748	-9.454037		
0.08	-17.42447	-9.409216		
0.1	-17.32437	-9.355158		
0.12	-17.20857	-9.292628		
0.14	-17.0964	-9.232056		
0.16	-16.95919	-9.15796		
0.18	-16.82765	-9.086932		
0.2	-16.68792	-9.011474		
0.22	-16.53132	-8.926914		
0.24	-16.36282	-8.835924		
0.26	-16.1923	-8.743844		
0.28	-16.02283	-8.652325		
0.3	-15.82086	-8.543266		
0.32	-15.63465	-8.442711		
0.34	-15.42991	-8.332151		
0.36	-15.22083	-8.219249		
0.38	-14.99379	-8.096648		
0.4	-14.76666	-7.973997		
0.42	-14.52178	-7.841763		
0.44	-14.27722	-7.709701		
0.46	-14.02439	-7.573171		
0.48	-13.74981	-7.424895		
0.5	-13.48648	-7.2827		
0.52	-13.19887	-7.127391		
0.54	-12.89387	-6.96269		
0.56	-12.58677	-6.796853		
0.58	-12.25223	-6.616206		
0.6	-11.90629	-6.429398		
0.62	-11.53054	-6.226492		
0.64	-11.10526	-5.996842		
0.66	-10.65165	-5.751889		
0.68	-10.10734	-5.457966		
0.7	-9.488611	-5.12385		
0.72	-8.736488	-4.717703		
0.74	-7.830824	-4.228644		
0.76	-6.711689	-3.624312		
0.78	-5.324092	-2.87501		
0.8	-3.601276	-1.944689		
0.82	-1.511347	-0.8161274		
0.84	1.088759	0.5879297		
0.86	4.14758	2.239693		
0.88	7.792928	4.208181		
0.9	12.00928	6.48501		
0.92	16.7816	9.06206		
0.94	22.14194	11.95665		
0.96	27.96609	15.10169		
0.98	34.2975	18.52065		
1	41.07211	22.17894		
1.02	48.28598	26.07443		
1.04	55.85794	30.16329		
1.06	63.85287	34.48055		
1.08	72.13818	38.95462		
1.1	80.81242	43.63871		
1.12	89.7776	48.4799		
1.14	99.06076	53.49281		
1.16	108.6177	58.65356		
1.18	118.5261	64.00407		
1.2	128.4666	69.37199		
