TL3347_f2__V	TL3347_f2__J	TL3347_f2__I	TL3347_f2__Param	TL3347_f2__ParamDescr
-0.9999733	-0.5582308	-0.3014452	0	Voc (V)
-0.9499939	-0.5268166	-0.2844815	0	Jsc (mA/cm²)
-0.900027	-0.4943372	-0.2669426	0	FF(%)
-0.8500918	-0.4618292	-0.2493882	0	Eff (%)
-0.8000427	-0.4296644	-0.2320192	0.540001	Cell Area (cm²)
-0.7500154	-0.3974189	-0.2146066	0	Vmpp (V)
-0.6999393	-0.3658112	-0.1975384	0	Jmpp (mA/cm²)
-0.6499978	-0.3354447	-0.1811405	0	Pmpp (mW/cm²)
-0.6000329	-0.3053846	-0.164908	1605	Rp (Ohmcm²)
-0.5500445	-0.2761299	-0.1491104	0	Rs (Ohmcm²)
-0.5000067	-0.2472145	-0.1334961	15.04.2025 13:55:28	Measurement date and time
-0.4499417	-0.2192257	-0.1183821	25	Approx. cell temperature (set: 24.0) (°C)
-0.3999336	-0.1925187	-0.1039603	1	Illumination correction factor
-0.3499872	-0.1659227	-0.08959844	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.3000526	-0.1403486	-0.07578836		(Global Comment)
-0.250024	-0.1154201	-0.06232698		
-0.2000438	-0.09128221	-0.04929248		
-0.1500329	-0.06779768	-0.03661081		
-0.1000373	-0.04495792	-0.02427732		
-0.05004011	-0.02229616	-0.01203995		
-4.859817E-05	-0.0001740661	-9.399588E-05		
0.02002202	0.008694164	0.004694857		
0.04002447	0.01769581	0.009555754		
0.06001351	0.02661914	0.01437436		
0.08002399	0.03544227	0.01913886		
0.1000219	0.04436987	0.02395977		
0.1200169	0.05351276	0.02889694		
0.1400262	0.06263432	0.03382259		
0.160021	0.07184481	0.03879627		
0.1800144	0.08106256	0.04377386		
0.2000236	0.09056237	0.04890377		
0.2199716	0.1001312	0.05407096		
0.2399993	0.109756	0.05926836		
0.2600198	0.1196945	0.06463514		
0.2800082	0.1294488	0.06990246		
0.2999942	0.1396107	0.07538994		
0.3199832	0.1500426	0.08102315		
0.3399659	0.1602876	0.08655549		
0.3599492	0.1711887	0.09244207		
0.3799344	0.1820295	0.09829614		
0.3999	0.1936695	0.1045817		
0.4199013	0.2054635	0.1109505		
0.4398942	0.2178566	0.1176428		
0.4599249	0.2315064	0.1250137		
0.4799435	0.2471257	0.1334481		
0.4999667	0.2634227	0.1422485		
0.5199923	0.2822752	0.1524289		
0.5400223	0.3048037	0.1645943		
0.5600404	0.3317116	0.1791246		
0.5799898	0.3646101	0.1968898		
0.5999699	0.4057785	0.2191208		
0.6199692	0.4602246	0.2485217		
0.6399485	0.5332113	0.2879346		
0.6599349	0.6296062	0.339988		
0.6799257	0.762319	0.411653		
0.6999189	0.9469522	0.5113551		
0.7199541	1.20439	0.6503719		
0.7399536	1.564741	0.8449619		
0.7599586	2.065748	1.115506		
0.7799787	2.772188	1.496984		
0.8000076	3.746736	2.023241		
0.8200346	5.080893	2.743687		
0.8400578	6.878599	3.71445		
0.8600481	9.257985	4.999321		
0.8800041	12.33774	6.662394		
0.8999925	16.2528	8.776529		
0.9199499	21.11461	11.40191		
0.9399384	26.92597	14.54005		
0.9599251	33.76718	18.23431		
0.9799172	41.59968	22.46387		
0.9999458	50.40774	27.22023		
1.019979	60.17259	32.49326		
1.039971	70.71268	38.18492		
1.059993	82.04889	44.30648		
1.080022	94.10748	50.81813		
1.100051	106.8097	57.67735		
1.120078	120.2151	64.91625		
1.140061	133.9688	72.34326		
1.160051	148.236	80.04758		
1.179996	162.9755	88.00691		
1.199977	178.094	96.17094		
1.199979	179.1492	96.74077		
