TL3347_e2__V	TL3347_e2__J	TL3347_e2__I	TL3347_e2__Param	TL3347_e2__ParamDescr
-0.999962	-0.241587	-0.1304572	0	Voc (V)
-0.9499881	-0.2308146	-0.1246401	0	Jsc (mA/cm²)
-0.9000236	-0.2171126	-0.117241	0	FF(%)
-0.8500872	-0.2021048	-0.1091368	0	Eff (%)
-0.8000401	-0.1872606	-0.1011209	0.540001	Cell Area (cm²)
-0.7500312	-0.1725922	-0.09319995	0	Vmpp (V)
-0.6999601	-0.1582197	-0.08543881	0	Jmpp (mA/cm²)
-0.6500083	-0.1441427	-0.07783722	0	Pmpp (mW/cm²)
-0.6000404	-0.1302737	-0.07034793	3524.6	Rp (Ohmcm²)
-0.5500538	-0.1171119	-0.06324055	0	Rs (Ohmcm²)
-0.500016	-0.1043935	-0.05637258	15.04.2025 13:54:07	Measurement date and time
-0.449948	-0.09220757	-0.04979218	25	Approx. cell temperature (set: 24.0) (°C)
-0.3999366	-0.08048011	-0.04345934	1	Illumination correction factor
-0.3499663	-0.06914466	-0.03733818	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.3000349	-0.05832814	-0.03149725		(Global Comment)
-0.250014	-0.047825	-0.02582555		
-0.2000312	-0.03783086	-0.0204287		
-0.1500245	-0.02799306	-0.01511628		
-0.1000567	-0.01859595	-0.01004183		
-0.05004724	-0.009312809	-0.005028926		
-4.473573E-05	-0.0001729825	-9.341074E-05		
0.02002893	0.003495242	0.001887434		
0.04001358	0.007105954	0.003837222		
0.06002329	0.01090606	0.005889281		
0.08003558	0.01458006	0.007873246		
0.1000229	0.01822006	0.00983885		
0.1200135	0.02196411	0.01186064		
0.140025	0.02562382	0.01383689		
0.1600196	0.02959817	0.01598304		
0.1800079	0.03347296	0.01807543		
0.2000183	0.03738771	0.0201894		
0.2199661	0.04131687	0.02231115		
0.2399924	0.04553323	0.02458799		
0.2600171	0.04966989	0.02682179		
0.280001	0.05411577	0.02922257		
0.2999832	0.05845612	0.03156636		
0.3199734	0.06309666	0.03407226		
0.3399553	0.06791844	0.03667602		
0.359937	0.07298978	0.03941455		
0.3799222	0.07862862	0.04245953		
0.3999103	0.08402696	0.04537464		
0.4199091	0.09040171	0.04881701		
0.4399019	0.09722372	0.0525009		
0.459933	0.1052436	0.05683164		
0.4799593	0.1139798	0.0615492		
0.4999795	0.1244457	0.0672008		
0.5200042	0.1373985	0.07419534		
0.5400406	0.1531891	0.08272227		
0.5600576	0.1733866	0.09362894		
0.5799937	0.1994374	0.1076964		
0.59998	0.2349942	0.1268971		
0.6199675	0.2834934	0.1530867		
0.6399475	0.3508105	0.189438		
0.6599418	0.4450848	0.2403462		
0.6799178	0.5782154	0.3122369		
0.6999229	0.7667143	0.4140265		
0.7199532	1.034099	0.5584144		
0.7399526	1.409982	0.7613918		
0.7599764	1.937808	1.046418		
0.7799773	2.666532	1.43993		
0.8000049	3.663747	1.978427		
0.820036	5.000263	2.700147		
0.8400556	6.755742	3.648107		
0.8600423	9.002151	4.861171		
0.8800043	11.80728	6.375942		
0.8999925	15.23083	8.224662		
0.9199743	19.29769	10.42077		
0.9399358	24.05383	12.98909		
0.9599234	29.42283	15.88836		
0.9799131	35.41061	19.12176		
0.9999436	42.01222	22.68664		
1.019974	49.12534	26.52773		
1.039969	56.72123	30.62952		
1.059988	64.76231	34.97171		
1.080019	73.22698	39.54264		
1.100048	82.05298	44.30869		
1.120075	91.20341	49.24993		
1.140059	100.6208	54.33535		
1.160046	110.3104	59.56773		
1.179995	120.2332	64.92604		
1.199971	130.3995	70.41587		
1.199972	131.0694	70.77758		
