TL3347_d2__V	TL3347_d2__J	TL3347_d2__I	TL3347_d2__Param	TL3347_d2__ParamDescr
-1	-19.78402	-10.68337	0.8503	Voc (V)
-0.98	-19.69204	-10.6337	17.79	Jsc (mA/cm²)
-0.96	-19.66552	-10.61938	56.55	FF(%)
-0.94	-19.62819	-10.59922	8.56	Eff (%)
-0.92	-19.59265	-10.58003	0.54	Cell Area (cm²)
-0.9	-19.55465	-10.55951	0.66	Vmpp (V)
-0.88	-19.54359	-10.55354	12.96	Jmpp (mA/cm²)
-0.86	-19.5103	-10.53556	8.56	Pmpp (mW/cm²)
-0.84	-19.46676	-10.51205	629.6	Rp (Ohmcm²)
-0.82	-19.45167	-10.5039	2.69	Rs (Ohmcm²)
-0.8	-19.41641	-10.48486	15.04.2025 13:52:15	Measurement date and time
-0.78	-19.38696	-10.46896	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-19.34696	-10.44736	1	Illumination correction factor
-0.74	-19.32426	-10.4351		(Cell Comment)
-0.72	-19.29607	-10.41988		(Global Comment)
-0.7	-19.26215	-10.40156		
-0.68	-19.22654	-10.38233		
-0.66	-19.19726	-10.36652		
-0.64	-19.15657	-10.34455		
-0.62	-19.13165	-10.33109		
-0.6	-19.0893	-10.30822		
-0.58	-19.06546	-10.29535		
-0.56	-19.0337	-10.2782		
-0.54	-18.99146	-10.25539		
-0.52	-18.95069	-10.23337		
-0.5	-18.92268	-10.21825		
-0.48	-18.89193	-10.20164		
-0.46	-18.84179	-10.17457		
-0.44	-18.8198	-10.16269		
-0.42	-18.76972	-10.13565		
-0.4	-18.74472	-10.12215		
-0.38	-18.69905	-10.09749		
-0.36	-18.64852	-10.0702		
-0.34	-18.6038	-10.04605		
-0.32	-18.57402	-10.02997		
-0.3	-18.52815	-10.0052		
-0.28	-18.51361	-9.997349		
-0.26	-18.45698	-9.966769		
-0.24	-18.39415	-9.932838		
-0.22	-18.34923	-9.908583		
-0.2	-18.3012	-9.882646		
-0.18	-18.25517	-9.857792		
-0.16	-18.20117	-9.828631		
-0.14	-18.13522	-9.793018		
-0.12	-18.09168	-9.769506		
-0.1	-18.04681	-9.745276		
-0.08	-17.96999	-9.703793		
-0.06	-17.91316	-9.673108		
-0.04	-17.84875	-9.638323		
-0.02	-17.79254	-9.607969		
0	-17.72908	-9.573702		
0.02	-17.6411	-9.526191		
0.04	-17.57986	-9.493122		
0.06	-17.51108	-9.455982		
0.08	-17.43245	-9.41352		
0.1	-17.34252	-9.364961		
0.12	-17.2681	-9.324772		
0.14	-17.17673	-9.275434		
0.16	-17.0948	-9.23119		
0.18	-16.98565	-9.172251		
0.2	-16.89571	-9.123681		
0.22	-16.79255	-9.067979		
0.24	-16.69433	-9.014935		
0.26	-16.57802	-8.95213		
0.28	-16.46238	-8.889687		
0.3	-16.35625	-8.832376		
0.32	-16.2321	-8.765335		
0.34	-16.08526	-8.686041		
0.36	-15.96103	-8.618957		
0.38	-15.8326	-8.549603		
0.4	-15.67579	-8.464927		
0.42	-15.52948	-8.385919		
0.44	-15.36987	-8.29973		
0.46	-15.23364	-8.226167		
0.48	-15.06979	-8.137689		
0.5	-14.89229	-8.041835		
0.52	-14.71585	-7.946559		
0.54	-14.54277	-7.853095		
0.56	-14.33224	-7.739408		
0.58	-14.12547	-7.627753		
0.6	-13.8829	-7.496765		
0.62	-13.62465	-7.357309		
0.64	-13.33314	-7.199895		
0.66	-12.96271	-6.999863		
0.68	-12.53915	-6.771139		
0.7	-12.01254	-6.486771		
0.72	-11.34867	-6.128279		
0.74	-10.50061	-5.670329		
0.76	-9.418349	-5.085908		
0.78	-8.053239	-4.348749		
0.8	-6.331239	-3.418869		
0.82	-4.187076	-2.261021		
0.84	-1.581568	-0.8540464		
0.86	1.501291	0.8106973		
0.88	5.102378	2.755284		
0.9	9.170773	4.952217		
0.92	13.7077	7.40216		
0.94	18.67444	10.0842		
0.96	24.06968	12.99763		
0.98	29.75822	16.06944		
1	35.79996	19.33198		
1.02	42.11378	22.74144		
1.04	48.67785	26.28604		
1.06	55.46146	29.94919		
1.08	62.47879	33.73855		
1.1	69.64837	37.61012		
1.12	77.01228	41.58662		
1.14	84.52165	45.64169		
1.16	92.19823	49.78704		
1.18	99.90776	53.95019		
1.2	107.8627	58.24585		
