TL3347_e3__V	TL3347_e3__J	TL3347_e3__I	TL3347_e3__Param	TL3347_e3__ParamDescr
-0.9999641	-0.2063994	-0.1114559	0	Voc (V)
-0.9499897	-0.195177	-0.1053958	0	Jsc (mA/cm²)
-0.9000407	-0.1841139	-0.09942171	0	FF(%)
-0.8501097	-0.1724138	-0.0931036	0	Eff (%)
-0.8000563	-0.1597456	-0.08626276	0.540001	Cell Area (cm²)
-0.7500281	-0.1487658	-0.08033367	0	Vmpp (V)
-0.699959	-0.1357733	-0.07331774	0	Jmpp (mA/cm²)
-0.6500074	-0.1239899	-0.06695468	0	Pmpp (mW/cm²)
-0.6000459	-0.1126273	-0.06081888	4273.9	Rp (Ohmcm²)
-0.5500502	-0.1025332	-0.05536801	0	Rs (Ohmcm²)
-0.5000163	-0.09072017	-0.04898898	15.04.2025 14:01:23	Measurement date and time
-0.4499561	-0.08076086	-0.04361094	25	Approx. cell temperature (set: 24.0) (°C)
-0.399938	-0.07109565	-0.03839172	1	Illumination correction factor
-0.349968	-0.0602295	-0.03252399	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.3000387	-0.05201104	-0.02808601		(Global Comment)
-0.2500087	-0.042389	-0.0228901		
-0.2000181	-0.03374466	-0.01822215		
-0.1500304	-0.02435434	-0.01315137		
-0.1000515	-0.0158837	-0.008577211		
-0.0501081	-0.008132861	-0.004391753		
0.0001174885	-0.0005893663	-0.0003182584		
0.01032686	0.001939132	0.001047133		
0.03999239	0.006905982	0.003729237		
0.06007143	0.009900201	0.005346118		
0.08008574	0.01324119	0.007150253		
0.1000791	0.01664922	0.008990593		
0.1200168	0.01948424	0.01052151		
0.1400152	0.02339116	0.01263125		
0.1600257	0.02637405	0.01424201		
0.1800092	0.02980496	0.01609471		
0.2000148	0.03385368	0.01828102		
0.219959	0.03759276	0.02030013		
0.2399886	0.04144394	0.02237977		
0.2600251	0.04540369	0.02451804		
0.279992	0.04975102	0.0268656		
0.2999856	0.05380455	0.02905451		
0.3199731	0.05827605	0.03146912		
0.3399599	0.06305435	0.03404941		
0.3599362	0.06885445	0.03718147		
0.379922	0.07424312	0.04009136		
0.3999129	0.07882421	0.04256515		
0.4199086	0.08626388	0.04658258		
0.4399002	0.09326155	0.05036133		
0.4599345	0.09990836	0.05395061		
0.4799509	0.1100863	0.05944673		
0.4999826	0.1199595	0.06477825		
0.5199989	0.1337725	0.07223728		
0.5400365	0.1496634	0.08081837		
0.5600442	0.1704805	0.09205964		
0.5799928	0.1984482	0.1071622		
0.5999759	0.2339849	0.1263521		
0.6199661	0.2831765	0.1529156		
0.6399427	0.3514164	0.1897652		
0.6599316	0.4457281	0.2406936		
0.6799261	0.5766382	0.3113852		
0.6999218	0.7629395	0.4119881		
0.7199557	1.025477	0.5537585		
0.7399426	1.392772	0.7520985		
0.7599746	1.91066	1.031758		
0.7799776	2.624536	1.417252		
0.8000022	3.613256	1.951162		
0.8200318	4.949934	2.672969		
0.8400574	6.724384	3.631174		
0.8600492	9.026423	4.874277		
0.8800045	11.94355	6.449527		
0.8999927	15.55834	8.40152		
0.9199498	19.93397	10.76436		
0.9399376	25.05151	13.52784		
0.9599259	30.93245	16.70355		
0.9799168	37.54741	20.27564		
0.9999462	44.8764	24.2333		
1.019978	52.84781	28.53787		
1.039969	61.41596	33.16468		
1.05999	70.5465	38.09518		
1.08002	80.18298	43.29889		
1.100048	90.29507	48.75943		
1.120075	100.8489	54.45848		
1.140062	111.7772	60.35979		
1.160047	123.0268	66.43461		
1.179996	134.5907	72.67912		
1.199974	146.4686	79.0932		
1.199971	147.4451	79.62048		
