TL3347_d1__V	TL3347_d1__J	TL3347_d1__I	TL3347_d1__Param	TL3347_d1__ParamDescr
-0.9999678	-0.4747658	-0.256374	0	Voc (V)
-0.9499884	-0.4506892	-0.2433726	0	Jsc (mA/cm²)
-0.9000252	-0.4116033	-0.2222662	0	FF(%)
-0.8500895	-0.3762412	-0.2031706	0	Eff (%)
-0.8000358	-0.3427277	-0.1850733	0.540001	Cell Area (cm²)
-0.7500122	-0.3131256	-0.1690881	0	Vmpp (V)
-0.6999415	-0.2840641	-0.1533949	0	Jmpp (mA/cm²)
-0.649994	-0.2580747	-0.1393606	0	Pmpp (mW/cm²)
-0.6000279	-0.2316975	-0.1251169	1689.8	Rp (Ohmcm²)
-0.550042	-0.2042415	-0.1102906	0	Rs (Ohmcm²)
-0.5000296	-0.1812495	-0.09787492	15.04.2025 13:46:59	Measurement date and time
-0.4499542	-0.1594906	-0.08612509	25	Approx. cell temperature (set: 24.0) (°C)
-0.3999422	-0.1370167	-0.07398918	1	Illumination correction factor
-0.3499707	-0.1134474	-0.06126172	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.3000298	-0.09408707	-0.05080711		(Global Comment)
-0.2500146	-0.0746621	-0.04031761		
-0.2000334	-0.05774262	-0.03118107		
-0.1500276	-0.04269898	-0.02305749		
-0.1000258	-0.02776962	-0.01499562		
-0.04997307	-0.01377851	-0.007440408		
-0.0001132528	0.0004508273	0.0002434472		
0.02006456	0.005639553	0.003045364		
0.04003127	0.01118408	0.006039416		
0.06001708	0.01679652	0.009070137		
0.08002887	0.02218705	0.01198103		
0.1000165	0.02837111	0.01532043		
0.120016	0.03498084	0.01888969		
0.1400218	0.04241979	0.02290673		
0.1600201	0.04948523	0.02672207		
0.1800142	0.0588463	0.03177706		
0.2000145	0.07001722	0.03780936		
0.2199707	0.08169111	0.04411328		
0.2399894	0.09624514	0.05197247		
0.2600228	0.1102427	0.05953116		
0.2800089	0.126883	0.06851695		
0.2999964	0.1448703	0.07823012		
0.3199853	0.1650585	0.08913177		
0.3399641	0.1856956	0.1002758		
0.3599331	0.2079348	0.112285		
0.3799177	0.2312225	0.1248604		
0.399906	0.2567621	0.1386518		
0.4199001	0.295428	0.1595314		
0.4398961	0.3316353	0.1790834		
0.4599265	0.3669819	0.1981706		
0.4799494	0.4044659	0.218412		
0.4999702	0.4433935	0.2394329		
0.5199935	0.4882036	0.2636304		
0.5400234	0.5373924	0.2901924		
0.5600424	0.5911813	0.3192385		
0.5799994	0.6531509	0.3527021		
0.59999	0.7244852	0.3912227		
0.6199646	0.8068352	0.4356918		
0.6399512	0.9057826	0.4891235		
0.6599354	1.032499	0.5575505		
0.6799316	1.19704	0.6464029		
0.6999303	1.412889	0.7629617		
0.7199594	1.695032	0.9153189		
0.7399339	2.072909	1.119373		
0.7599587	2.594292	1.40092		
0.7799812	3.296651	1.780195		
0.8000083	4.233916	2.286319		
0.8200316	5.477653	2.957938		
0.8400558	7.087511	3.827263		
0.8600467	9.144676	4.938134		
0.8800019	11.70253	6.319379		
0.8999948	14.83502	8.010925		
0.9199749	18.57654	10.03135		
0.9399361	22.99261	12.41603		
0.9599237	28.01449	15.12785		
0.9799176	33.67799	18.18615		
0.9999435	39.95261	21.57445		
1.019977	46.80306	25.2737		
1.039969	54.18172	29.25818		
1.05999	62.07603	33.52112		
1.080022	70.43742	38.03628		
1.100047	79.2368	42.78795		
1.120075	88.40547	47.73904		
1.140059	97.92423	52.87918		
1.160044	107.792	58.20776		
1.179995	117.922	63.67799		
1.199972	128.3357	69.30139		
1.199971	129.2437	69.79171		
