TL3347_e2__V	TL3347_e2__J	TL3347_e2__I	TL3347_e2__Param	TL3347_e2__ParamDescr
-1	-19.69809	-10.63697	0.8472	Voc (V)
-0.98	-19.61133	-10.59012	17.73	Jsc (mA/cm²)
-0.96	-19.54218	-10.55278	57.63	FF(%)
-0.94	-19.52007	-10.54084	8.65	Eff (%)
-0.92	-19.4885	-10.52379	0.54	Cell Area (cm²)
-0.9	-19.45263	-10.50442	0.659	Vmpp (V)
-0.88	-19.4203	-10.48696	13.13	Jmpp (mA/cm²)
-0.86	-19.39383	-10.47267	8.65	Pmpp (mW/cm²)
-0.84	-19.36383	-10.45647	620	Rp (Ohmcm²)
-0.82	-19.33518	-10.441	2.1	Rs (Ohmcm²)
-0.8	-19.29276	-10.41809	15.04.2025 13:53:37	Measurement date and time
-0.78	-19.27206	-10.40691	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-19.23172	-10.38513	1	Illumination correction factor
-0.74	-19.20983	-10.37331		(Cell Comment)
-0.72	-19.16357	-10.34833		(Global Comment)
-0.7	-19.13509	-10.33295		
-0.68	-19.10767	-10.31814		
-0.66	-19.07743	-10.30181		
-0.64	-19.04585	-10.28476		
-0.62	-19.00513	-10.26277		
-0.6	-18.98656	-10.25274		
-0.58	-18.94565	-10.23065		
-0.56	-18.91072	-10.21179		
-0.54	-18.88498	-10.19789		
-0.52	-18.83402	-10.17037		
-0.5	-18.80702	-10.15579		
-0.48	-18.77655	-10.13934		
-0.46	-18.74083	-10.12005		
-0.44	-18.70235	-10.09927		
-0.42	-18.66863	-10.08106		
-0.4	-18.62137	-10.05554		
-0.38	-18.58459	-10.03568		
-0.36	-18.5493	-10.01662		
-0.34	-18.53491	-10.00885		
-0.32	-18.47857	-9.978427		
-0.3	-18.43658	-9.955753		
-0.28	-18.38028	-9.925348		
-0.26	-18.34606	-9.906873		
-0.24	-18.31218	-9.888575		
-0.22	-18.25802	-9.859331		
-0.2	-18.2202	-9.838906		
-0.18	-18.15942	-9.806087		
-0.16	-18.11882	-9.784161		
-0.14	-18.07302	-9.759431		
-0.12	-18.01938	-9.730464		
-0.1	-17.95845	-9.697564		
-0.08	-17.91887	-9.676191		
-0.06	-17.86853	-9.649006		
-0.04	-17.79443	-9.608994		
-0.02	-17.72728	-9.572732		
0	-17.67708	-9.545621		
0.02	-17.61913	-9.514327		
0.04	-17.53563	-9.469241		
0.06	-17.47566	-9.436856		
0.08	-17.40507	-9.398739		
0.1	-17.33506	-9.360931		
0.12	-17.261	-9.320941		
0.14	-17.17319	-9.273523		
0.16	-17.08156	-9.224044		
0.18	-17.00476	-9.182572		
0.2	-16.91633	-9.134819		
0.22	-16.82076	-9.083212		
0.24	-16.7152	-9.026208		
0.26	-16.61623	-8.972761		
0.28	-16.51186	-8.916402		
0.3	-16.39226	-8.85182		
0.32	-16.28074	-8.791598		
0.34	-16.16517	-8.729193		
0.36	-16.04526	-8.664438		
0.38	-15.9198	-8.596688		
0.4	-15.77585	-8.518961		
0.42	-15.63762	-8.444315		
0.44	-15.49384	-8.366671		
0.46	-15.33525	-8.281036		
0.48	-15.1674	-8.190393		
0.5	-15.00448	-8.102418		
0.52	-14.84763	-8.017721		
0.54	-14.66109	-7.91699		
0.56	-14.47374	-7.815822		
0.58	-14.25825	-7.699456		
0.6	-14.03063	-7.576537		
0.62	-13.76852	-7.435		
0.64	-13.47001	-7.273805		
0.66	-13.11222	-7.080597		
0.68	-12.69166	-6.853494		
0.7	-12.16194	-6.567448		
0.72	-11.49336	-6.206414		
0.74	-10.64269	-5.747054		
0.76	-9.545472	-5.154554		
0.78	-8.141945	-4.39665		
0.8	-6.346011	-3.426846		
0.82	-4.052227	-2.188203		
0.84	-1.237145	-0.6680585		
0.86	2.219531	1.198547		
0.88	6.298081	3.400964		
0.9	11.05021	5.967115		
0.92	16.44124	8.878267		
0.94	22.46281	12.12992		
0.96	29.01039	15.66561		
0.98	36.07267	19.47924		
1	43.60298	23.54561		
1.02	51.54846	27.83617		
1.04	59.81705	32.30121		
1.06	68.44966	36.96281		
1.08	77.38104	41.78576		
1.1	86.58196	46.75426		
1.12	96.01859	51.85004		
1.14	105.71	57.0834		
1.16	115.5045	62.37243		
1.18	125.6035	67.8259		
1.2	135.7891	73.32611		
