TL3347_f2__V	TL3347_f2__J	TL3347_f2__I	TL3347_f2__Param	TL3347_f2__ParamDescr
-1	-18.67521	-10.08461	0.8489	Voc (V)
-0.98	-18.5263	-10.0042	16.6	Jsc (mA/cm²)
-0.96	-18.4801	-9.979254	57.79	FF(%)
-0.94	-18.4236	-9.948741	8.14	Eff (%)
-0.92	-18.39686	-9.934305	0.54	Cell Area (cm²)
-0.9	-18.35883	-9.91377	0.665	Vmpp (V)
-0.88	-18.32407	-9.895	12.25	Jmpp (mA/cm²)
-0.86	-18.29485	-9.87922	8.14	Pmpp (mW/cm²)
-0.84	-18.25436	-9.857353	579.4	Rp (Ohmcm²)
-0.82	-18.22349	-9.840685	1.49	Rs (Ohmcm²)
-0.8	-18.19554	-9.825591	15.04.2025 13:55:02	Measurement date and time
-0.78	-18.15581	-9.804136	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-18.12033	-9.784976	1	Illumination correction factor
-0.74	-18.09809	-9.772968		(Cell Comment)
-0.72	-18.07027	-9.757943		(Global Comment)
-0.7	-18.02421	-9.73307		
-0.68	-17.9744	-9.706176		
-0.66	-17.9621	-9.699533		
-0.64	-17.92688	-9.680512		
-0.62	-17.88437	-9.657561		
-0.6	-17.85203	-9.640098		
-0.58	-17.81633	-9.620815		
-0.56	-17.78774	-9.605379		
-0.54	-17.74091	-9.580092		
-0.52	-17.7003	-9.55816		
-0.5	-17.67452	-9.544239		
-0.48	-17.63573	-9.523291		
-0.46	-17.61022	-9.50952		
-0.44	-17.54688	-9.475312		
-0.42	-17.51877	-9.460135		
-0.4	-17.48251	-9.440557		
-0.38	-17.44892	-9.422418		
-0.36	-17.40248	-9.397339		
-0.34	-17.36017	-9.374494		
-0.32	-17.32136	-9.353535		
-0.3	-17.28424	-9.333488		
-0.28	-17.23485	-9.306818		
-0.26	-17.18252	-9.278562		
-0.24	-17.14912	-9.260527		
-0.22	-17.11704	-9.243201		
-0.2	-17.06403	-9.214573		
-0.18	-17.0116	-9.186261		
-0.16	-16.96544	-9.161336		
-0.14	-16.92857	-9.141427		
-0.12	-16.86783	-9.108625		
-0.1	-16.80387	-9.074088		
-0.08	-16.783	-9.062818		
-0.06	-16.72366	-9.030777		
-0.04	-16.6619	-8.997425		
-0.02	-16.60058	-8.964314		
0	-16.5512	-8.937646		
0.02	-16.48774	-8.903378		
0.04	-16.42356	-8.868725		
0.06	-16.35655	-8.832536		
0.08	-16.29325	-8.798357		
0.1	-16.22716	-8.762666		
0.12	-16.16556	-8.729402		
0.14	-16.07987	-8.683127		
0.16	-16.00468	-8.642529		
0.18	-15.93584	-8.605354		
0.2	-15.85352	-8.5609		
0.22	-15.7781	-8.520173		
0.24	-15.66763	-8.460523		
0.26	-15.59551	-8.421573		
0.28	-15.48352	-8.361101		
0.3	-15.37655	-8.303338		
0.32	-15.27169	-8.246711		
0.34	-15.17065	-8.192149		
0.36	-15.05411	-8.129221		
0.38	-14.93242	-8.063508		
0.4	-14.81101	-7.997946		
0.42	-14.67765	-7.925928		
0.44	-14.54583	-7.854747		
0.46	-14.39751	-7.774656		
0.48	-14.24878	-7.694339		
0.5	-14.09462	-7.611093		
0.52	-13.94043	-7.527833		
0.54	-13.75758	-7.429093		
0.56	-13.56982	-7.327701		
0.58	-13.37743	-7.223811		
0.6	-13.16953	-7.111548		
0.62	-12.93152	-6.983018		
0.64	-12.64791	-6.829871		
0.66	-12.33871	-6.662905		
0.68	-11.97022	-6.463918		
0.7	-11.51113	-6.216009		
0.72	-10.92998	-5.902191		
0.74	-10.19942	-5.507689		
0.76	-9.253357	-4.996812		
0.78	-8.013563	-4.327324		
0.8	-6.391024	-3.451153		
0.82	-4.2699	-2.305746		
0.84	-1.559748	-0.8422636		
0.86	1.936244	1.045572		
0.88	6.256387	3.378449		
0.9	11.56438	6.244765		
0.92	17.85788	9.643253		
0.94	25.15874	13.58572		
0.96	33.41306	18.04305		
0.98	42.5542	22.97927		
1	52.54053	28.37189		
1.02	63.27267	34.16724		
1.04	74.61702	40.29319		
1.06	86.63033	46.78038		
1.08	99.0965	53.51211		
1.1	112.131	60.55072		
1.12	125.5538	67.79904		
1.14	139.4092	75.28097		
1.16	153.5799	82.93314		
1.18	168.1385	90.79481		
1.2	182.9758	98.80692		
