TL3347_f1__V	TL3347_f1__J	TL3347_f1__I	TL3347_f1__Param	TL3347_f1__ParamDescr
-1	-24.14528	-13.03845	0.8226	Voc (V)
-0.98	-23.92633	-12.92022	16.43	Jsc (mA/cm²)
-0.96	-23.74446	-12.82201	41.6	FF(%)
-0.94	-23.58035	-12.73339	5.62	Eff (%)
-0.92	-23.42583	-12.64995	0.54	Cell Area (cm²)
-0.9	-23.27098	-12.56633	0.585	Vmpp (V)
-0.88	-23.12291	-12.48637	9.61	Jmpp (mA/cm²)
-0.86	-22.95776	-12.39719	5.62	Pmpp (mW/cm²)
-0.84	-22.80544	-12.31494	129.7	Rp (Ohmcm²)
-0.82	-22.65022	-12.23112	1.47	Rs (Ohmcm²)
-0.8	-22.49711	-12.14844	15.04.2025 13:49:50	Measurement date and time
-0.78	-22.33483	-12.06081	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-22.17409	-11.97401	1	Illumination correction factor
-0.74	-22.03391	-11.89831		(Cell Comment)
-0.72	-21.87724	-11.81371		(Global Comment)
-0.7	-21.73235	-11.73547		
-0.68	-21.55702	-11.64079		
-0.66	-21.4232	-11.56853		
-0.64	-21.2703	-11.48596		
-0.62	-21.10772	-11.39817		
-0.6	-20.96454	-11.32085		
-0.58	-20.80933	-11.23704		
-0.56	-20.66393	-11.15852		
-0.54	-20.50339	-11.07183		
-0.52	-20.34817	-10.98801		
-0.5	-20.20504	-10.91072		
-0.48	-20.05774	-10.83118		
-0.46	-19.89402	-10.74277		
-0.44	-19.7373	-10.65814		
-0.42	-19.59807	-10.58296		
-0.4	-19.45019	-10.5031		
-0.38	-19.27276	-10.40729		
-0.36	-19.1302	-10.33031		
-0.34	-18.98076	-10.24961		
-0.32	-18.82593	-10.166		
-0.3	-18.66082	-10.07684		
-0.28	-18.5357	-10.00928		
-0.26	-18.36751	-9.918452		
-0.24	-18.20381	-9.830057		
-0.22	-18.0534	-9.748837		
-0.2	-17.90386	-9.668086		
-0.18	-17.72851	-9.573395		
-0.16	-17.56776	-9.486591		
-0.14	-17.42016	-9.406887		
-0.12	-17.26847	-9.324975		
-0.1	-17.08197	-9.224264		
-0.08	-16.92853	-9.141403		
-0.06	-16.76689	-9.054121		
-0.04	-16.60337	-8.965819		
-0.02	-16.43054	-8.872489		
0	-16.25326	-8.776758		
0.02	-16.09398	-8.690749		
0.04	-15.92552	-8.599783		
0.06	-15.73413	-8.49643		
0.08	-15.54992	-8.396955		
0.1	-15.38008	-8.305242		
0.12	-15.20618	-8.211334		
0.14	-15.01638	-8.108843		
0.16	-14.81899	-8.002253		
0.18	-14.62162	-7.895677		
0.2	-14.43334	-7.794003		
0.22	-14.24264	-7.691026		
0.24	-14.03304	-7.577842		
0.26	-13.81028	-7.457552		
0.28	-13.61242	-7.350708		
0.3	-13.39617	-7.233932		
0.32	-13.16508	-7.109143		
0.34	-12.93908	-6.987101		
0.36	-12.71285	-6.864941		
0.38	-12.47269	-6.735254		
0.4	-12.22865	-6.603471		
0.42	-11.96878	-6.463142		
0.44	-11.71484	-6.326015		
0.46	-11.45239	-6.184291		
0.48	-11.19132	-6.043311		
0.5	-10.89546	-5.883549		
0.52	-10.61116	-5.730025		
0.54	-10.31797	-5.571702		
0.56	-10.01291	-5.406971		
0.58	-9.692411	-5.233902		
0.6	-9.363959	-5.056538		
0.62	-9.013559	-4.867321		
0.64	-8.63423	-4.662484		
0.66	-8.200991	-4.428535		
0.68	-7.723313	-4.170589		
0.7	-7.194207	-3.884872		
0.72	-6.568048	-3.546746		
0.74	-5.805621	-3.135035		
0.76	-4.862468	-2.625733		
0.78	-3.695772	-1.995717		
0.8	-2.198269	-1.187065		
0.82	-0.3096556	-0.167214		
0.84	2.116178	1.142736		
0.86	5.238144	2.828598		
0.88	9.144643	4.938107		
0.9	13.97538	7.546706		
0.92	19.75707	10.66882		
0.94	26.57781	14.35202		
0.96	34.41143	18.58217		
0.98	43.19863	23.32726		
1	52.91282	28.57292		
1.02	63.44806	34.26195		
1.04	74.7175	40.34745		
1.06	86.64256	46.78698		
1.08	99.20391	53.57011		
1.1	112.326	60.65602		
1.12	126.0091	68.04494		
1.14	140.0626	75.63381		
1.16	154.6451	83.50832		
1.18	169.5041	91.53223		
1.2	184.8944	99.84297		
