SAMPLE_B_5LayerMo_f3__V	SAMPLE_B_5LayerMo_f3__J	SAMPLE_B_5LayerMo_f3__I	SAMPLE_B_5LayerMo_f3__Param	SAMPLE_B_5LayerMo_f3__ParamDescr
-0.3	-32.37463	-18.45354	0.7138	Voc (V)
-0.2798	-32.38428	-18.45904	32.34	Jsc (mA/cm²)
-0.25965	-32.36272	-18.44675	74.78	FF(%)
-0.23945	-32.37049	-18.45118	17.26	Eff (%)
-0.2193	-32.36605	-18.44865	0.57	Cell Area (cm²)
-0.199125	-32.35033	-18.43969	0.5857	Vmpp (V)
-0.178945	-32.35333	-18.4414	29.48	Jmpp (mA/cm²)
-0.15877	-32.36731	-18.44937	17.26	Pmpp (mW/cm²)
-0.138595	-32.35442	-18.44202	6288.2	Rp (Ohmcm²)
-0.11842	-32.34282	-18.43541	1.73	Rs (Ohmcm²)
-0.098245	-32.35056	-18.43982	03.10.2016 10:24:27	Measurement date and time
-0.07807	-32.33568	-18.43134	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.33554	-18.43126	1	Illumination correction factor
-0.03772	-32.32351	-18.4244		(Cell Comment)
-0.017545	-32.34442	-18.43632		(Global Comment)
0.00263	-32.33498	-18.43094		
0.022805	-32.31603	-18.42014		
0.04298	-32.30079	-18.41145		
0.06316	-32.29025	-18.40544		
0.083335	-32.30816	-18.41565		
0.10351	-32.30344	-18.41296		
0.123685	-32.2709	-18.39441		
0.14386	-32.26571	-18.39145		
0.164035	-32.25628	-18.38608		
0.18421	-32.26302	-18.38992		
0.204385	-32.25616	-18.38601		
0.22455	-32.23963	-18.37659		
0.24475	-32.22652	-18.36912		
0.2649	-32.22139	-18.36619		
0.2851	-32.20781	-18.35845		
0.30525	-32.19418	-18.35068		
0.32545	-32.17786	-18.34138		
0.3456	-32.16321	-18.33303		
0.3658	-32.13714	-18.31817		
0.38595	-32.11249	-18.30412		
0.40615	-32.08002	-18.28561		
0.4263	-32.03172	-18.25808		
0.4465	-31.99654	-18.23803		
0.46665	-31.92269	-18.19593		
0.48685	-31.81249	-18.13312		
0.507	-31.6596	-18.04597		
0.5272	-31.40181	-17.89903		
0.54735	-31.03506	-17.68998		
0.56755	-30.39077	-17.32274		
0.5877	-29.37504	-16.74377		
0.6079	-27.76872	-15.82817		
0.62805	-25.32342	-14.43435		
0.64825	-21.74705	-12.39582		
0.6684	-16.88575	-9.62488		
0.6886	-10.37261	-5.912389		
0.70875	-2.36107	-1.34581		
0.72895	7.063169	4.026007		
0.7491	17.571	10.01547		
0.7693	28.83619	16.43663		
0.78945	40.46116	23.06286		
0.80965	52.14256	29.72126		
0.8298	63.50776	36.19942		
0.85	74.47845	42.45272		
