SAMPLE_B_5LayerMo_a3__V	SAMPLE_B_5LayerMo_a3__J	SAMPLE_B_5LayerMo_a3__I	SAMPLE_B_5LayerMo_a3__Param	SAMPLE_B_5LayerMo_a3__ParamDescr
-0.3	-33.46297	-19.07389	0.7133	Voc (V)
-0.2798	-33.45928	-19.07179	33.42	Jsc (mA/cm²)
-0.25965	-33.47203	-19.07906	75.32	FF(%)
-0.23945	-33.47091	-19.07842	17.96	Eff (%)
-0.2193	-33.45181	-19.06753	0.57	Cell Area (cm²)
-0.199125	-33.46616	-19.07571	0.5877	Vmpp (V)
-0.178945	-33.46037	-19.07241	30.55	Jmpp (mA/cm²)
-0.15877	-33.43996	-19.06078	17.96	Pmpp (mW/cm²)
-0.138595	-33.45305	-19.06824	6565.5	Rp (Ohmcm²)
-0.11842	-33.43672	-19.05893	1.27	Rs (Ohmcm²)
-0.098245	-33.43949	-19.06051	03.10.2016 10:22:35	Measurement date and time
-0.07807	-33.4497	-19.06633	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-33.44142	-19.06161	1	Illumination correction factor
-0.03772	-33.42563	-19.05261		(Cell Comment)
-0.017545	-33.42284	-19.05102		(Global Comment)
0.00263	-33.43718	-19.05919		
0.022805	-33.42114	-19.05005		
0.04298	-33.41986	-19.04932		
0.06316	-33.40102	-19.03858		
0.083335	-33.40077	-19.03844		
0.10351	-33.41042	-19.04394		
0.123685	-33.39489	-19.03509		
0.14386	-33.38638	-19.03024		
0.164035	-33.37846	-19.02572		
0.18421	-33.38369	-19.0287		
0.204385	-33.38284	-19.02822		
0.22455	-33.34591	-19.00717		
0.24475	-33.34574	-19.00707		
0.2649	-33.33652	-19.00182		
0.2851	-33.34774	-19.00821		
0.30525	-33.3303	-18.99827		
0.32545	-33.3042	-18.98339		
0.3456	-33.281	-18.97017		
0.3658	-33.28758	-18.97392		
0.38595	-33.26798	-18.96275		
0.40615	-33.23067	-18.94148		
0.4263	-33.1894	-18.91796		
0.4465	-33.144	-18.89208		
0.46665	-33.08965	-18.8611		
0.48685	-32.98775	-18.80302		
0.507	-32.8274	-18.71162		
0.5272	-32.59224	-18.57758		
0.54735	-32.21644	-18.36337		
0.56755	-31.55998	-17.98919		
0.5877	-30.5533	-17.41538		
0.6079	-28.95235	-16.50284		
0.62805	-26.46961	-15.08768		
0.64825	-22.78733	-12.98878		
0.6684	-17.66998	-10.07189		
0.6886	-11.00347	-6.27198		
0.70875	-2.341937	-1.334904		
0.72895	8.111367	4.623479		
0.7491	20.1526	11.48698		
0.7693	33.87861	19.31081		
0.78945	48.81245	27.8231		
0.80965	64.72965	36.8959		
0.8298	81.23716	46.30518		
0.85	98.06625	55.89776		
