"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
06:17:00:32;82.972;5.77;0.208
"V [mV]";"J [mA/cm^2]"
-300;-42.6513671666667
-288;-42.7246093333333
-276;-42.6452636666667
-264;-42.6940918333333
-252;-42.565918
-240;-42.6391601666667
-228;-42.565918
-216;-42.5476073333333
-204;-42.5170898333333
-192;-42.4194336666667
-180;-42.4560546666667
-168;-42.3583985
-156;-42.3400878333333
-144;-42.2729491666667
-132;-42.2180175
-120;-42.0227051666667
-108;-41.9433593333333
-96;-41.8334961666667
-84;-41.6381836666667
-72;-41.4794921666667
-60;-41.2231445
-48;-41.0949706666667
-36;-40.6860351666667
-24;-40.3381348333333
-12;-39.8132325
0;-39.251709
12;-38.6108398333333
24;-37.8479003333333
36;-36.9812011666667
48;-36.0412598333333
60;-34.8999023333333
72;-33.5205078333333
84;-32.1777343833333
96;-30.56640625
108;-29.0161132833333
120;-27.1423339833333
132;-25.2380371
144;-23.1506347666667
156;-21.1425781333333
168;-19.0551757833333
180;-17.12646485
192;-15.0146484333333
204;-12.9699707
216;-11.3037109333333
228;-9.6496582
240;-8.203125
252;-6.90307618333333
264;-5.76171875
276;-4.75463866666667
288;-4.0222168
300;-3.32641602333333
312;-2.783203125
324;-2.32543945333333
336;-1.99584961
348;-1.62963867333333
360;-1.34887695333333
372;-1.22680664166667
384;-1.04980468833333
396;-0.946044921666667
408;-0.811767578333333
420;-0.640869141666667
432;-0.598144531666667
444;-0.506591798333333
456;-0.48828125
468;-0.396728516666667
480;-0.317382812
492;-0.37841797
504;-0.29296875
516;-0.317382812666667
528;-0.262451171833333
540;-0.2197265625
552;-0.1892089845
564;-0.225830078166667
576;-0.0915527343333333
588;-0.158691406333333
600;-0.0793457031333333
612;-0.0915527343333333
624;-0.103759765666667
636;0.0549316405833333
648;0
660;0
672;0.0915527343333333
684;0.103759765666667
696;0.164794921833333
708;0.207519531333333
720;0.280761718666667
732;0.329589843666667
744;0.43334961
756;0.476074218333333
768;0.616455078333333
780;0.708007811666667
792;0.885009765
804;1.09863281166667
816;1.26953125
828;1.64184570333333
840;1.86767578166667
852;2.25830078166667
864;2.76489257833333
876;3.38134765
888;4.18090821666667
900;5.02319336666667
