"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
02:15:00:14;82.959;5.774;0.209
"V [mV]";"J [mA/cm^2]"
-300;-42.6818848333333
-288;-42.7307128333333
-276;-42.7001953333333
-264;-42.6696778333333
-252;-42.6269531666667
-240;-42.602539
-228;-42.4926758333333
-216;-42.529297
-204;-42.5048828333333
-192;-42.4072265
-180;-42.4316406666667
-168;-42.4194335
-156;-42.388916
-144;-42.3339843333333
-132;-42.2790526666667
-120;-42.1081543333333
-108;-42.1325683333333
-96;-42.0043945
-84;-41.8945313333333
-72;-41.8762206666667
-60;-41.7358398333333
-48;-41.63208
-36;-41.4123535
-24;-41.2475585
-12;-40.9301758333333
0;-40.5639648333333
12;-40.1489258333333
24;-39.7094726666667
36;-39.215088
48;-38.6108398333333
60;-37.841797
72;-36.8835448333333
84;-35.9619141666667
96;-34.7961426666667
108;-33.6975098333333
120;-32.1960449166667
132;-30.5847168
144;-28.8635253833333
156;-27.13012695
168;-25.05493165
180;-23.2055664
192;-21.07543945
204;-18.7988281333333
216;-16.8273925833333
228;-14.70947265
240;-12.7685547
252;-11.0900878833333
264;-9.27734375
276;-7.75146485
288;-6.4819336
300;-5.47485351666667
312;-4.47998048333333
324;-3.64990235
336;-3.00292968666667
348;-2.435302735
360;-2.03247070333333
372;-1.73950195333333
384;-1.43432617166667
396;-1.123046875
408;-1.03759765666667
420;-0.799560546666667
432;-0.756835936666667
444;-0.610351563333333
456;-0.512695311666667
468;-0.469970703333333
480;-0.415039063333333
492;-0.366210936666667
504;-0.213623046833333
516;-0.231933593833333
528;-0.183105468833333
540;-0.213623046833333
552;-0.183105468833333
564;-0.146484375
576;-0.1220703125
588;-0.0854492188333333
600;-0.0671386718333333
612;0.0305175780833333
624;0.0610351563
636;0.0549316405833333
648;0.170898437666667
660;0.1220703125
672;0.170898437666667
684;0.1708984375
696;0.3173828125
708;0.262451171833333
720;0.347900390666667
732;0.48828125
744;0.494384766666667
756;0.561523438333333
768;0.67138672
780;0.805664061666667
792;0.93383789
804;1.208496095
816;1.416015625
828;1.67846679666667
840;1.96533203166667
852;2.38037109333333
864;2.88696289166667
876;3.50952148333333
888;4.21142578333333
900;5.13916015
