"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
06:03:30:29;82.967;5.767;0.206
"V [mV]";"J [mA/cm^2]"
-300;-42.6818848333333
-288;-42.7185058333333
-276;-42.6818848333333
-264;-42.6269531666667
-252;-42.5598145
-240;-42.4926758333333
-228;-42.5720215
-216;-42.5231933333333
-204;-42.4926756666667
-192;-42.41333
-180;-42.364502
-168;-42.41333
-156;-42.3217773333333
-144;-42.2546386666667
-132;-42.1447755
-120;-42.1020508333333
-108;-41.973877
-96;-41.8029785
-84;-41.619873
-72;-41.5222168333333
-60;-41.3085936666667
-48;-40.9423828333333
-36;-40.7226561666667
-24;-40.270996
-12;-39.819336
0;-39.28833
12;-38.5742188333333
24;-37.9333496666667
36;-37.0605468333333
48;-36.0656738333333
60;-34.8449708333333
72;-33.569336
84;-32.3059082
96;-30.7006836
108;-29.04052735
120;-27.23999025
132;-25.3295898333333
144;-23.26049805
156;-21.1181640666667
168;-19.0673828
180;-17.24243165
192;-15.1245117166667
204;-13.0249023333333
216;-11.2731933666667
228;-9.74121093333333
240;-8.2824707
252;-6.94580078333333
264;-5.81665038333333
276;-4.80957031666667
288;-3.99780273333333
300;-3.43627929833333
312;-2.82592773333333
324;-2.392578125
336;-1.947021485
348;-1.68457031166667
360;-1.44042968666667
372;-1.22680664166667
384;-0.9765625
396;-0.964355468333333
408;-0.817871095
420;-0.69580078
432;-0.604248048333333
444;-0.537109373333333
456;-0.512695313333333
468;-0.360107421333333
480;-0.43334961
492;-0.366210938333333
504;-0.305175781333333
516;-0.317382812666667
528;-0.256347656166667
540;-0.201416015666667
552;-0.207519531333333
564;-0.146484375
576;-0.0793457031666667
588;-0.06103515625
600;-0.09765625
612;0.0183105468333333
624;-0.0183105468833333
636;0.0854492186666667
648;0.0427246093333333
660;0.1220703125
672;0.140380859333333
684;0.115966796833333
696;0.231933593666667
708;0.238037109333333
720;0.29296875
732;0.3784179685
744;0.445556641666667
756;0.537109375
768;0.616455078333333
780;0.744628906666667
792;0.92163086
804;1.123046875
816;1.318359375
828;1.68457031166667
840;1.94091796833333
852;2.30102539
864;2.935791015
876;3.54003906666667
888;4.34570313333333
900;5.32226563333333
