"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
00:23:00:04;82.938;5.772;0.208
"V [mV]";"J [mA/cm^2]"
-300;-42.7612305
-288;-42.7490235
-276;-42.8344726666667
-264;-42.7856446666667
-252;-42.8039551666667
-240;-42.7490233333333
-228;-42.7307128333333
-216;-42.590332
-204;-42.6696776666667
-192;-42.6391601666667
-180;-42.5048828333333
-168;-42.4865723333333
-156;-42.4621581666667
-144;-42.41333
-132;-42.4133301666667
-120;-42.352295
-108;-42.3095703333333
-96;-42.1569823333333
-84;-42.0898438333333
-72;-41.9006348333333
-60;-41.796875
-48;-41.6503906666667
-36;-41.5039061666667
-24;-41.2109375
-12;-40.9667968333333
0;-40.6494141666667
12;-40.2893066666667
24;-39.7338868333333
36;-39.2456055
48;-38.6413573333333
60;-37.8234863333333
72;-36.871338
84;-35.9680176666667
96;-34.7961425
108;-33.4960938333333
120;-32.04956055
132;-30.46875
144;-28.7536621166667
156;-26.8188476666667
168;-24.97558595
180;-23.046875
192;-20.9106445333333
204;-18.6218261666667
216;-16.69921875
228;-14.6606445333333
240;-12.6586914166667
252;-11.0107422
264;-9.32006836666667
276;-7.86743163333333
288;-6.63452148333333
300;-5.52978515
312;-4.61425781666667
324;-3.8269043
336;-3.19213867166667
348;-2.65502929666667
360;-2.16674804833333
372;-1.86767578166667
384;-1.58691406333333
396;-1.30004882833333
408;-1.12915039
420;-0.915527343333333
432;-0.860595703333333
444;-0.67138672
456;-0.5859375
468;-0.512695311666667
480;-0.445556641666667
492;-0.408935546666667
504;-0.29296875
516;-0.305175781333333
528;-0.2685546875
540;-0.164794921833333
552;-0.177001953166667
564;-0.152587890666667
576;-0.164794921833333
588;-0.128173828166667
600;-0.0671386718333333
612;0.0488281249666667
624;0.0183105468833333
636;0.128173828083333
648;0.0854492186666667
660;0.195312500166667
672;0.250244140666667
684;0.29296875
696;0.305175781166667
708;0.347900390166667
720;0.482177735
732;0.567626953333333
744;0.659179688333333
756;0.860595703333333
768;0.93383789
780;1.14135742166667
792;1.39770507833333
804;1.65405273333333
816;1.95922851666667
828;2.49633789166667
840;2.96020507666667
852;3.55834961666667
864;4.3762207
876;5.28564453333333
888;6.39648438333333
900;7.78808595
