"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
01:00:00:03;83;5.773;0.207
"V [mV]";"J [mA/cm^2]"
-300;-42.8039551666667
-288;-42.8405761666667
-276;-42.8649901666667
-264;-42.767334
-252;-42.7612305
-240;-42.6940918333333
-228;-42.7246095
-216;-42.7124023333333
-204;-42.5354005
-192;-42.5842286666667
-180;-42.5720215
-168;-42.5598145
-156;-42.5170898333333
-144;-42.4499511666667
-132;-42.3583985
-120;-42.3217773333333
-108;-42.2180175
-96;-42.211914
-84;-42.0410156666667
-72;-41.998291
-60;-41.7907715
-48;-41.6992188333333
-36;-41.4794923333333
-24;-41.2109375
-12;-40.9362793333333
0;-40.6188965
12;-40.1489258333333
24;-39.7460938333333
36;-39.1967773333333
48;-38.6108398333333
60;-37.7441406666667
72;-36.7492675
84;-35.8398436666667
96;-34.6801756666667
108;-33.3129883333333
120;-31.9824218833333
132;-30.3405761666667
144;-28.6621093833333
156;-26.7456054666667
168;-24.8291015666667
180;-22.83325195
192;-20.7458496166667
204;-18.4692382833333
216;-16.5283203166667
228;-14.5385742166667
240;-12.5915527333333
252;-10.9069824333333
264;-9.10644531666667
276;-7.70874023333333
288;-6.55517578333333
300;-5.46875
312;-4.4555664
324;-3.7841797
336;-3.05786132833333
348;-2.57568359333333
360;-2.19116211
372;-1.85546875
384;-1.51977539166667
396;-1.26953125
408;-1.10473632833333
420;-0.93383789
432;-0.811767578333333
444;-0.677490235
456;-0.5859375
468;-0.567626953333333
480;-0.372314453333333
492;-0.43334961
504;-0.378417968333333
516;-0.299072265666667
528;-0.231933593833333
540;-0.256347656333333
552;-0.1953125
564;-0.128173828166667
576;-0.103759765666667
588;-0.0183105469166667
600;0.0061035155
612;0.0122070312666667
624;0.03662109375
636;0.0671386719666667
648;0.109863281166667
660;0.146484375
672;0.164794921833333
684;0.256347656333333
696;0.280761718666667
708;0.421142578333333
720;0.427246093333333
732;0.567626953333333
744;0.640869141666667
756;0.805664063333333
768;0.952148436666667
780;1.12915039166667
792;1.39770507833333
804;1.72119140666667
816;2.07519531333333
828;2.435302735
840;2.966308595
852;3.50341796666667
864;4.31518555
876;5.29785155
888;6.34155273333333
900;7.74536133333333
