"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
07:15:30:39;82.899;5.773;0.19
"V [mV]";"J [mA/cm^2]"
-300;-42.7001953333333
-288;-42.7001953333333
-276;-42.7001953333333
-264;-42.6635741666667
-252;-42.5842285
-240;-42.602539
-228;-42.553711
-216;-42.4987793333333
-204;-42.4316406666667
-192;-42.4682616666667
-180;-42.401123
-168;-42.3034668333333
-156;-42.2180176666667
-144;-42.199707
-132;-42.1264648333333
-120;-41.9799803333333
-108;-41.9311523333333
-96;-41.7053223333333
-84;-41.5893555
-72;-41.4794921666667
-60;-41.1437988333333
-48;-40.8996581666667
-36;-40.5639648333333
-24;-40.1245118333333
-12;-39.5874023333333
0;-39.0869141666667
12;-38.3422851666667
24;-37.5732421666667
36;-36.6210936666667
48;-35.71167
60;-34.564209
72;-33.1359863166667
84;-31.8237304666667
96;-30.2001953
108;-28.6010742166667
120;-26.77612305
132;-24.8046875
144;-22.7844238166667
156;-20.8251953166667
168;-18.7194824333333
180;-16.7297363333333
192;-14.7277832
204;-12.71362305
216;-11.0168457
228;-9.48486326666667
240;-7.96508788333333
252;-6.80541991666667
264;-5.66406251666667
276;-4.71801758333333
288;-3.93676758333333
300;-3.35083008666667
312;-2.74047851666667
324;-2.39868164166667
336;-1.947021485
348;-1.69067382833333
360;-1.416015625
372;-1.24511718666667
384;-1.07421875
396;-0.811767578333333
408;-0.811767578333333
420;-0.640869141666667
432;-0.59814453
444;-0.5859375
456;-0.494384766666667
468;-0.47607422
480;-0.366210938
492;-0.360107421333333
504;-0.317382812666667
516;-0.250244140666667
528;-0.250244140666667
540;-0.244140625
552;-0.213623046833333
564;-0.164794921833333
576;-0.122070312666667
588;-0.0915527343333333
600;-0.0732421875
612;-0.079345703
624;-0.0244140625333333
636;0
648;0.0610351561666667
660;0.0488281249666667
672;0.0549316405833333
684;0.177001953166667
696;0.128173828166667
708;0.189208984333333
720;0.286865234333333
732;0.299072265666667
744;0.347900390666667
756;0.457763673333333
768;0.512695311666667
780;0.671386718333333
792;0.817871095
804;1.03149414
816;1.232910155
828;1.48315429666667
840;1.77001953166667
852;2.17285156333333
864;2.685546875
876;3.28369141
888;3.99169921666667
900;4.99267578333333
