"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
01:21:30:10;82.971;5.77;0.205
"V [mV]";"J [mA/cm^2]"
-300;-42.7246093333333
-288;-42.7307128333333
-276;-42.6696778333333
-264;-42.6757811666667
-252;-42.6269531666667
-240;-42.6208496666667
-228;-42.5842285
-216;-42.4621581666667
-204;-42.4865723333333
-192;-42.4194336666667
-180;-42.5048828333333
-168;-42.4316405
-156;-42.376709
-144;-42.3706055
-132;-42.3156738333333
-120;-42.211914
-108;-42.1386718333333
-96;-42.0715333333333
-84;-42.0043945
-72;-41.8334961666667
-60;-41.8029785
-48;-41.5405273333333
-36;-41.40625
-24;-41.2292481666667
-12;-40.9545898333333
0;-40.6555175
12;-40.1306153333333
24;-39.7949218333333
36;-39.2150878333333
48;-38.5986328333333
60;-37.841797
72;-36.883545
84;-35.9436035
96;-34.729004
108;-33.5144041666667
120;-32.1105957
132;-30.4382324166667
144;-28.7536621
156;-26.8432617166667
168;-25.01831055
180;-23.0712890666667
192;-20.9472656333333
204;-18.6401367166667
216;-16.5893554666667
228;-14.63012695
240;-12.6586914
252;-10.9619140666667
264;-9.13085936666667
276;-7.75146483333333
288;-6.51245116666667
300;-5.34057616666667
312;-4.4128418
324;-3.65600586666667
336;-2.88696289166667
348;-2.44140625
360;-2.05078125
372;-1.74560546833333
384;-1.44042968833333
396;-1.20239257833333
408;-0.9765625
420;-0.854492188333333
432;-0.744628906666667
444;-0.628662108333333
456;-0.604248046666667
468;-0.482177733333333
480;-0.390625
492;-0.37841797
504;-0.335693359666667
516;-0.244140625
528;-0.225830078166667
540;-0.201416015666667
552;-0.189208984333333
564;-0.0610351563
576;-0.128173828166667
588;0.01220703125
600;-0.0732421875
612;0.0183105468833333
624;0.00610351563333333
636;0.01220703125
648;0.09765625
660;0.115966796833333
672;0.1708984375
684;0.238037109333333
696;0.262451171833333
708;0.384521485166667
720;0.378417968333333
732;0.494384766666667
744;0.555419921666667
756;0.78125
768;0.762939453333333
780;0.939941406666667
792;1.14746093833333
804;1.31225586
816;1.58691406166667
828;1.89819336
840;2.27050781166667
852;2.69775390666667
864;3.29589844333333
876;3.96728515
888;4.78515625
900;5.77392578333333
