"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
02:12:30:13;82.908;5.774;0.213
"V [mV]";"J [mA/cm^2]"
-300;-42.7001953333333
-288;-42.7429198333333
-276;-42.565918
-264;-42.6208495
-252;-42.590332
-240;-42.5292968333333
-228;-42.4926758333333
-216;-42.5354005
-204;-42.5354005
-192;-42.4743651666667
-180;-42.3828125
-168;-42.4316406666667
-156;-42.3400878333333
-144;-42.3522948333333
-132;-42.2790526666667
-120;-42.1813965
-108;-42.1203613333333
-96;-42.0593261666667
-84;-42.010498
-72;-41.8701171666667
-60;-41.6870116666667
-48;-41.5710448333333
-36;-41.3452148333333
-24;-41.1132813333333
-12;-40.8874511666667
0;-40.5151368333333
12;-40.2282715
24;-39.7155761666667
36;-39.2700195
48;-38.6535643333333
60;-37.902832
72;-36.9873048333333
84;-36.0168456666667
96;-34.9060058333333
108;-33.6791991666667
120;-32.2692871166667
132;-30.6762695333333
144;-28.9916992333333
156;-27.1362304666667
168;-25.25634765
180;-23.33984375
192;-21.2280273333333
204;-18.9819336
216;-16.8640136666667
228;-14.84375
240;-12.87231445
252;-11.2060547
264;-9.3383789
276;-7.87963868333333
288;-6.55517578333333
300;-5.49316405
312;-4.49829101666667
324;-3.72314453333333
336;-3.05175781333333
348;-2.48413086
360;-2.05688476666667
372;-1.73339843833333
384;-1.42822265666667
396;-1.13525390666667
408;-0.958251953333333
420;-0.817871093333333
432;-0.677490235
444;-0.677490235
456;-0.494384766666667
468;-0.433349608333333
480;-0.378417968333333
492;-0.329589844
504;-0.323486328333333
516;-0.2685546875
528;-0.231933593666667
540;-0.231933593833333
552;-0.134277343833333
564;-0.140380859333333
576;-0.128173828166667
588;-0.128173828166667
600;0.048828125
612;0
624;-0.0244140625
636;0.01220703125
648;0.03662109375
660;0.146484375
672;0.146484375
684;0.1953125
696;0.256347656166667
708;0.299072265166667
720;0.347900390166667
732;0.43334961
744;0.555419923333333
756;0.604248046666667
768;0.744628906666667
780;0.830078125
792;1.01928711
804;1.275634765
816;1.44653320333333
828;1.71508789
840;2.044677735
852;2.45361328166667
864;2.94189453166667
876;3.61328125
888;4.32128906666667
900;5.26733398333333
