Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	163
Voc (V)= 	0.8743
Jsc (mA/cm²)= 	31.53
FF (%)= 	76.79
Eff (%)= 	21.17
Vmpp (V)= 	0.741
Jmpp (mA/cm²)= 	28.57
Pmpp (mW/cm²)= 	21.17
Rp (Ohmcm²)= 	5710.2
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-31.62575
-0.48	-31.62415
-0.46	-31.62475
-0.44	-31.62098
-0.42	-31.62189
-0.4	-31.61803
-0.38	-31.616
-0.36	-31.61035
-0.34	-31.60797
-0.32	-31.59988
-0.3	-31.59869
-0.28	-31.59164
-0.26	-31.58762
-0.24	-31.58394
-0.22	-31.57882
-0.2	-31.57591
-0.18	-31.56969
-0.16	-31.56502
-0.14	-31.55964
-0.12	-31.55529
-0.1	-31.55083
-0.08	-31.54562
-0.06	-31.54068
-0.04	-31.53656
-0.02	-31.52913
0	-31.52361
0.02	-31.51515
0.04	-31.50792
0.06	-31.50083
0.08	-31.49321
0.1	-31.49
0.12	-31.48172
0.14	-31.47479
0.16	-31.46641
0.18	-31.45842
0.2	-31.44875
0.22	-31.43897
0.24	-31.42811
0.26	-31.41728
0.28	-31.40322
0.3	-31.38965
0.32	-31.37357
0.34	-31.35545
0.36	-31.33568
0.38	-31.3117
0.4	-31.28628
0.42	-31.25749
0.44	-31.22446
0.46	-31.18892
0.48	-31.14857
0.5	-31.10025
0.52	-31.04614
0.54	-30.98189
0.56	-30.90807
0.58	-30.81849
0.6	-30.71093
0.62	-30.58222
0.64	-30.41834
0.66	-30.21261
0.68	-29.95025
0.7	-29.6121
0.72	-29.17506
0.74	-28.60602
0.76	-27.83483
0.78	-26.70002
0.8	-24.8294
0.82	-21.52293
0.84	-15.88412
0.86	-7.486146
0.88	2.960986
0.9	13.84808
0.92	24.99197
0.94	33.9977
0.96	42.83317
0.98	51.78944
1	61.41393
1.02	72.03695
1.04	83.90206
1.06	97.81166
1.08	114.1446
1.1	134.6404
1.12	164.3677
1.14	289.0348
1.16	288.9649
1.18	288.9533
