Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	203
Voc (V)= 	0.8105
Jsc (mA/cm²)= 	31.73
FF (%)= 	76.52
Eff (%)= 	19.68
Vmpp (V)= 	0.7
Jmpp (mA/cm²)= 	28.12
Pmpp (mW/cm²)= 	19.68
Rp (Ohmcm²)= 	3082.3
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-31.916
-0.48	-31.9138
-0.46	-31.911
-0.44	-31.90452
-0.42	-31.9005
-0.4	-31.89407
-0.38	-31.88449
-0.36	-31.87932
-0.34	-31.87409
-0.32	-31.86539
-0.3	-31.86147
-0.28	-31.85131
-0.26	-31.84321
-0.24	-31.83417
-0.22	-31.82359
-0.2	-31.81666
-0.18	-31.80689
-0.16	-31.79855
-0.14	-31.7912
-0.12	-31.78202
-0.1	-31.77312
-0.08	-31.76396
-0.06	-31.75386
-0.04	-31.74591
-0.02	-31.73407
0	-31.72539
0.02	-31.71504
0.04	-31.70444
0.06	-31.69479
0.08	-31.68239
0.1	-31.67174
0.12	-31.65969
0.14	-31.64682
0.16	-31.63158
0.18	-31.61786
0.2	-31.60245
0.22	-31.58548
0.24	-31.56739
0.26	-31.5484
0.28	-31.52516
0.3	-31.50008
0.32	-31.47332
0.34	-31.44407
0.36	-31.41145
0.38	-31.37508
0.4	-31.33442
0.42	-31.28969
0.44	-31.23774
0.46	-31.18046
0.48	-31.11695
0.5	-31.04344
0.52	-30.96069
0.54	-30.85921
0.56	-30.7396
0.58	-30.5928
0.6	-30.40817
0.62	-30.17322
0.64	-29.86504
0.66	-29.45952
0.68	-28.90819
0.7	-28.1162
0.72	-26.90724
0.74	-24.94178
0.76	-21.6101
0.78	-15.9445
0.8	-6.989863
0.82	6.38773
0.84	25.85757
0.86	48.88939
0.88	76.20175
0.9	106.639
0.92	139.2412
0.94	174.5206
0.96	223.4888
0.98	264.8289
1	288.9576
1.02	288.9649
1.04	288.9705
1.06	288.9747
1.08	288.9763
1.1	288.9805
1.12	288.9929
1.14	288.9901
1.16	288.995
1.18	288.9959
