Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	143
Voc (V)= 	0.9007
Jsc (mA/cm²)= 	31.39
FF (%)= 	75.83
Eff (%)= 	21.44
Vmpp (V)= 	0.76
Jmpp (mA/cm²)= 	28.22
Pmpp (mW/cm²)= 	21.44
Rp (Ohmcm²)= 	10517.7
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-31.46618
-0.48	-31.46344
-0.46	-31.46465
-0.44	-31.46249
-0.42	-31.46377
-0.4	-31.46297
-0.38	-31.46092
-0.36	-31.45807
-0.34	-31.45624
-0.32	-31.451
-0.3	-31.45149
-0.28	-31.446
-0.26	-31.44415
-0.24	-31.44149
-0.22	-31.4374
-0.2	-31.43585
-0.18	-31.42986
-0.16	-31.42527
-0.14	-31.42344
-0.12	-31.41801
-0.1	-31.41311
-0.08	-31.40996
-0.06	-31.40458
-0.04	-31.40147
-0.02	-31.39398
0	-31.39075
0.02	-31.38562
0.04	-31.38143
0.06	-31.3751
0.08	-31.36989
0.1	-31.36417
0.12	-31.35686
0.14	-31.35211
0.16	-31.3454
0.18	-31.33867
0.2	-31.33108
0.22	-31.31981
0.24	-31.31037
0.26	-31.30264
0.28	-31.29278
0.3	-31.28328
0.32	-31.27002
0.34	-31.25533
0.36	-31.23878
0.38	-31.22019
0.4	-31.19909
0.42	-31.17716
0.44	-31.15004
0.46	-31.11956
0.48	-31.08541
0.5	-31.04403
0.52	-30.99938
0.54	-30.94467
0.56	-30.88066
0.58	-30.80465
0.6	-30.71066
0.62	-30.59815
0.64	-30.45278
0.66	-30.26906
0.68	-30.03369
0.7	-29.72722
0.72	-29.3388
0.74	-28.84315
0.76	-28.21502
0.78	-27.39228
0.8	-26.19562
0.82	-24.19622
0.84	-20.66116
0.86	-14.95488
0.88	-7.561446
0.9	-0.2172838
0.92	5.656502
0.94	9.916986
0.96	13.66156
0.98	17.51142
1	22.56102
1.02	27.2144
1.04	32.55626
1.06	38.36071
1.08	44.63718
1.1	51.40659
1.12	58.7305
1.14	66.67686
1.16	75.3913
1.18	84.92722
