Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	223
Voc (V)= 	0.7753
Jsc (mA/cm²)= 	31.83
FF (%)= 	75.37
Eff (%)= 	18.6
Vmpp (V)= 	0.66
Jmpp (mA/cm²)= 	28.18
Pmpp (mW/cm²)= 	18.6
Rp (Ohmcm²)= 	2259.9
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-32.05265
-0.48	-32.05278
-0.46	-32.04857
-0.44	-32.04076
-0.42	-32.03512
-0.4	-32.02479
-0.38	-32.01702
-0.36	-32.00657
-0.34	-31.99793
-0.32	-31.98832
-0.3	-31.97886
-0.28	-31.9679
-0.26	-31.95763
-0.24	-31.94592
-0.22	-31.9344
-0.2	-31.92481
-0.18	-31.91201
-0.16	-31.90073
-0.14	-31.88948
-0.12	-31.87996
-0.1	-31.87008
-0.08	-31.8601
-0.06	-31.84984
-0.04	-31.83816
-0.02	-31.8257
0	-31.81409
0.02	-31.80139
0.04	-31.78813
0.06	-31.77353
0.08	-31.75942
0.1	-31.74535
0.12	-31.72816
0.14	-31.71199
0.16	-31.6921
0.18	-31.67116
0.2	-31.6511
0.22	-31.62797
0.24	-31.60525
0.26	-31.57982
0.28	-31.54992
0.3	-31.51911
0.32	-31.48347
0.34	-31.44707
0.36	-31.40527
0.38	-31.35682
0.4	-31.30674
0.42	-31.2505
0.44	-31.18633
0.46	-31.11539
0.48	-31.03045
0.5	-30.93521
0.52	-30.82403
0.54	-30.68556
0.56	-30.51048
0.58	-30.28218
0.6	-29.97778
0.62	-29.56658
0.64	-28.99346
0.66	-28.17994
0.68	-26.97313
0.7	-25.09461
0.72	-22.05734
0.74	-17.04918
0.76	-9.177902
0.78	2.79968
0.8	21.02071
0.82	43.95371
0.84	73.47556
0.86	109.4716
0.88	151.9485
0.9	212.4477
0.92	267.6672
0.94	288.9722
0.96	288.9828
0.98	288.9834
1	288.9917
1.02	289.0048
1.04	288.9998
1.06	289.0008
1.08	289.0041
1.1	289.0089
1.12	289.0064
1.14	289.0129
1.16	289.0114
1.18	289.0153
