Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	264
Voc (V)= 	0.7057
Jsc (mA/cm²)= 	32.18
FF (%)= 	72.9
Eff (%)= 	16.55
Vmpp (V)= 	0.58
Jmpp (mA/cm²)= 	28.54
Pmpp (mW/cm²)= 	16.55
Rp (Ohmcm²)= 	1291.5
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-32.57662
-0.48	-32.56776
-0.46	-32.5572
-0.44	-32.54398
-0.42	-32.53214
-0.4	-32.51778
-0.38	-32.50117
-0.36	-32.48583
-0.34	-32.46896
-0.32	-32.45133
-0.3	-32.43604
-0.28	-32.41604
-0.26	-32.40075
-0.24	-32.3828
-0.22	-32.3651
-0.2	-32.34946
-0.18	-32.32828
-0.16	-32.3105
-0.14	-32.29118
-0.12	-32.27371
-0.1	-32.25485
-0.08	-32.23626
-0.06	-32.21703
-0.04	-32.19905
-0.02	-32.17778
0	-32.15763
0.02	-32.13598
0.04	-32.11243
0.06	-32.09081
0.08	-32.06813
0.1	-32.04565
0.12	-32.01886
0.14	-31.98954
0.16	-31.96044
0.18	-31.92705
0.2	-31.89317
0.22	-31.85805
0.24	-31.82015
0.26	-31.77668
0.28	-31.72676
0.3	-31.67432
0.32	-31.61674
0.34	-31.55349
0.36	-31.48422
0.38	-31.40799
0.4	-31.32129
0.42	-31.22189
0.44	-31.10491
0.46	-30.96678
0.48	-30.79544
0.5	-30.57455
0.52	-30.28226
0.54	-29.88317
0.56	-29.32836
0.58	-28.54127
0.6	-27.39102
0.62	-25.67438
0.64	-23.05124
0.66	-18.99854
0.68	-12.85694
0.7	-3.712608
0.72	9.367164
0.74	28.10888
0.76	51.69048
0.78	82.16186
0.8	120.4015
0.82	167.4879
0.84	233.1647
0.86	288.9736
0.88	288.9836
0.9	288.9859
0.92	288.9892
0.94	288.995
0.96	289.0106
0.98	289.0031
1	289.0089
1.02	289.0178
1.04	289.0129
1.06	289.0243
1.08	289.0243
1.1	289.0226
1.12	289.0344
1.14	289.0268
1.16	289.0394
1.18	289.0375
