label	Value X	Value Y	R average	theta average	PLQY average
Time	Value X	Value Y	R average	theta average	PLQY average
13.440	-6.25981e-10	9.10498e-10	1.15185e-09	1.24618e+02	2.86095e-04
13.753	-6.24958e-10	9.09020e-10	1.15077e-09	1.24616e+02	2.85826e-04
14.065	-6.24276e-10	9.07997e-10	1.14970e-09	1.24613e+02	2.85562e-04
14.378	-6.23821e-10	9.06064e-10	1.14865e-09	1.24612e+02	2.85299e-04
14.690	-6.22798e-10	9.02540e-10	1.14756e-09	1.24612e+02	2.85030e-04
15.003	-6.22116e-10	9.00153e-10	1.14647e-09	1.24613e+02	2.84759e-04
15.323	-6.21661e-10	8.98334e-10	1.14539e-09	1.24614e+02	2.84491e-04
15.635	-6.20524e-10	8.96742e-10	1.14432e-09	1.24615e+02	2.84224e-04
15.948	-6.19273e-10	8.95491e-10	1.14325e-09	1.24616e+02	2.83958e-04
16.260	-6.18137e-10	8.95605e-10	1.14221e-09	1.24616e+02	2.83700e-04
16.573	-6.17341e-10	8.95605e-10	1.14120e-09	1.24616e+02	2.83450e-04
16.870	-6.17113e-10	8.93331e-10	1.14019e-09	1.24616e+02	2.83200e-04
17.182	-6.15181e-10	8.89580e-10	1.13915e-09	1.24617e+02	2.82940e-04
17.495	-6.12339e-10	8.87761e-10	1.13808e-09	1.24616e+02	2.82675e-04
17.807	-6.10747e-10	8.89352e-10	1.13706e-09	1.24614e+02	2.82422e-04
18.120	-6.11088e-10	8.92194e-10	1.13612e-09	1.24611e+02	2.82187e-04
18.432	-6.12907e-10	8.93104e-10	1.13524e-09	1.24608e+02	2.81968e-04
18.736	-6.14726e-10	8.93218e-10	1.13440e-09	1.24607e+02	2.81761e-04
19.048	-6.15408e-10	8.94468e-10	1.13362e-09	1.24606e+02	2.81566e-04
19.361	-6.14953e-10	8.94582e-10	1.13285e-09	1.24605e+02	2.81376e-04
19.673	-6.13930e-10	8.92535e-10	1.13208e-09	1.24603e+02	2.81184e-04
19.986	-6.12680e-10	8.88329e-10	1.13126e-09	1.24603e+02	2.80982e-04
20.306	-6.11997e-10	8.84123e-10	1.13042e-09	1.24604e+02	2.80771e-04
20.618	-6.10974e-10	8.80144e-10	1.12953e-09	1.24607e+02	2.80552e-04
20.931	-6.09383e-10	8.76165e-10	1.12862e-09	1.24610e+02	2.80325e-04
21.244	-6.06541e-10	8.72299e-10	1.12766e-09	1.24612e+02	2.80086e-04
21.556	-6.03357e-10	8.69002e-10	1.12666e-09	1.24615e+02	2.79839e-04
21.876	-6.00401e-10	8.67638e-10	1.12566e-09	1.24616e+02	2.79589e-04
22.188	-5.98014e-10	8.68207e-10	1.12466e-09	1.24615e+02	2.79342e-04
22.501	-5.97105e-10	8.69343e-10	1.12370e-09	1.24613e+02	2.79104e-04
22.813	-5.96991e-10	8.68661e-10	1.12276e-09	1.24612e+02	2.78870e-04
23.126	-5.97332e-10	8.66729e-10	1.12183e-09	1.24611e+02	2.78638e-04
23.438	-5.97446e-10	8.64455e-10	1.12089e-09	1.24612e+02	2.78406e-04
23.751	-5.97559e-10	8.61840e-10	1.11996e-09	1.24613e+02	2.78173e-04
24.063	-5.97105e-10	8.59680e-10	1.11902e-09	1.24615e+02	2.77940e-04
24.376	-5.95854e-10	8.58771e-10	1.11808e-09	1.24617e+02	2.77708e-04
24.688	-5.93921e-10	8.57861e-10	1.11715e-09	1.24618e+02	2.77476e-04
25.001	-5.92557e-10	8.57406e-10	1.11622e-09	1.24618e+02	2.77246e-04
25.313	-5.92330e-10	8.57406e-10	1.11532e-09	1.24618e+02	2.77022e-04
25.626	-5.92330e-10	8.58088e-10	1.11445e-09	1.24618e+02	2.76804e-04
25.938	-5.91875e-10	8.58998e-10	1.11360e-09	1.24618e+02	2.76594e-04
26.251	-5.91079e-10	8.59453e-10	1.11277e-09	1.24617e+02	2.76388e-04
26.579	-5.90170e-10	8.60021e-10	1.11196e-09	1.24615e+02	2.76186e-04
26.891	-5.90056e-10	8.59907e-10	1.11116e-09	1.24613e+02	2.75989e-04
27.204	-5.90624e-10	8.59225e-10	1.11038e-09	1.24612e+02	2.75796e-04
27.517	-5.91534e-10	8.58771e-10	1.10962e-09	1.24612e+02	2.75607e-04
27.829	-5.92102e-10	8.57634e-10	1.10887e-09	1.24612e+02	2.75421e-04
28.133	-5.90738e-10	8.55701e-10	1.10812e-09	1.24612e+02	2.75232e-04
28.446	-5.88578e-10	8.53768e-10	1.10734e-09	1.24611e+02	2.75040e-04
28.758	-5.86873e-10	8.51722e-10	1.10656e-09	1.24611e+02	2.74845e-04
29.071	-5.84258e-10	8.47629e-10	1.10574e-09	1.24611e+02	2.74642e-04
29.383	-5.80961e-10	8.42968e-10	1.10487e-09	1.24610e+02	2.74427e-04
29.693	-5.78687e-10	8.38762e-10	1.10398e-09	1.24610e+02	2.74205e-04
30.009	-5.76982e-10	8.35351e-10	1.10307e-09	1.24610e+02	2.73978e-04
30.320	-5.76072e-10	8.35010e-10	1.10216e-09	1.24610e+02	2.73753e-04
30.633	-5.75731e-10	8.36829e-10	1.10129e-09	1.24610e+02	2.73537e-04
30.938	-5.76527e-10	8.38307e-10	1.10045e-09	1.24609e+02	2.73328e-04
31.250	-5.76300e-10	8.39103e-10	1.09963e-09	1.24608e+02	2.73125e-04
