Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	273
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	30.91606	273	20757.67
239	30.83217	273	20702.53
278	30.8113	273	20557.98
317	30.82944	273	20624.36
356	30.79861	273	20587.72
394	30.72351	273	20531.19
433	30.79312	273	20512.34
472	30.75687	273	20444.84
511	30.76152	273	20476.41
550	30.68965	273	20465.84
589	30.72541	273	20396.92
628	30.68692	273	20345.87
667	30.67604	273	20320.78
706	30.68407	273	20320.27
744	30.64659	273	20359.37
783	30.65435	273	20262.83
822	30.64614	273	20265.73
861	30.65184	273	20205.13
1000	30.62817	273	20121.04
1421	30.56851	273	19829.58
1842	30.54457	273	19497.58
2263	30.50834	273	19178.35
2684	30.48154	273	18873.6
3105	30.46641	273.1	18535.4
3526	30.44443	273.1	18183.56
3947	30.4231	273.1	17845.98
4368	30.41857	273.1	17484.2
4789	30.40432	273.1	17135.63
5211	30.39314	273.1	16809.69
5632	30.38552	273.1	16456.07
6053	30.37294	273.1	16116.07
6474	30.3625	273.1	15752
6895	30.35547	273.1	15395.49
7316	30.34743	273.1	15054.18
7737	30.33742	273.1	14712.45
8158	30.32954	273.1	14381.02
8579	30.32115	273.1	14049.23
9000	30.31335	273.1	13716.37
10000	30.29765	273.1	12953.25
14210	30.24179	273.1	10130.59
18420	30.19357	273.1	7972.458
22630	30.15837	273.1	6347.555
26840	30.11272	273.1	5144.332
31050	30.07632	273.1	4229.292
35260	30.04886	273.1	3529.353
39470	30.00644	273.1	2986.79
43680	29.97249	273.1	2556.253
47890	29.93865	273.1	2211.325
52110	29.90522	273.1	1930.78
56320	29.87196	273.1	1700.922
60530	29.83885	273.1	1509.73
64740	29.8069	273.1	1349.367
68950	29.77317	273.1	1213.433
73160	29.74035	273.2	1097.27
77370	29.70638	273.2	997.3513
81580	29.67255	273.1	910.6653
85790	29.63871	273.1	835.101
90000	29.60451	273.1	768.6752
100000	29.52404	273.1	640.1793
142100	29.1788	273.1	346.1737
184200	28.81614	273.1	219.645
226300	28.43952	273.1	153.3736
268400	28.05033	273	114.1276
310500	27.64814	273	88.88382
352600	27.23606	273	71.63663
394700	26.81531	273	59.29126
436800	26.3864	273	50.13887
478900	25.95211	273	43.14476
521100	25.50982	273	37.67428
563200	25.0668	273	33.32143
605300	24.62188	273	29.79209
647400	24.17725	273	26.88412
689500	23.73237	273	24.46194
731600	23.29169	273	22.41479
773700	22.85358	273	20.67519
815800	22.41847	273	19.1817
857900	21.98991	273	17.88859
900000	21.56631	273	16.7602
1000000	20.48329	273	14.79314
1250000	18.33773	273	11.14646
1500000	16.38076	273	9.173382
1750000	14.70574	273	7.939064
2000000	13.26733	273	7.087443
