Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	163
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	25.84391	163.1	177421.5
239	25.74769	163	169795.5
278	25.68355	163	170366.8
317	25.77366	162.9	168238.8
356	25.72381	162.9	160033.3
394	25.67833	162.9	165046.6
433	25.73654	162.9	159293.5
472	25.6559	162.9	158423.8
511	25.6917	162.9	158549.3
550	25.69107	162.9	154671.5
589	25.72814	162.9	155092.6
628	25.65177	163	154833
667	25.66327	163	151149.9
706	25.63519	163	147511.7
744	25.63477	163	144234.9
783	25.6498	163	143232.2
822	25.60993	163	141917.3
861	25.62267	163	139990.1
1000	25.59012	163	134858.4
1421	25.55111	163	113673.9
1842	25.51239	163	96920.03
2263	25.47682	163	82936.02
2684	25.44297	163	70286.4
3105	25.40403	163	61260.26
3526	25.37682	163	53243.9
3947	25.3504	163	46840.46
4368	25.32993	163	41298.46
4789	25.30335	163	36785.1
5211	25.2922	163	32784.2
5632	25.26189	163.1	29668.03
6053	25.24022	163.1	26860.74
6474	25.21597	163.1	24405.6
6895	25.19247	163.1	22315.22
7316	25.17257	163.1	20440.35
7737	25.15134	163.1	18851.85
8158	25.1365	163.1	17438.83
8579	25.11686	163.1	16196.21
9000	25.09759	163.2	15056.71
10000	25.04966	163.2	12819.12
14210	24.86733	163.2	7382.348
18420	24.69728	163.2	4862.748
22630	24.53502	163.2	3481.392
26840	24.37768	163.2	2635.838
31050	24.22148	163.2	2074.716
35260	24.06301	163.2	1683.053
39470	23.9049	163.2	1398.303
43680	23.74792	163.2	1184.609
47890	23.59214	163.2	1020.24
52110	23.43459	163.3	890.0648
56320	23.27849	163.3	785.761
60530	23.12353	163.3	700.7112
64740	22.96311	163.3	629.6898
68950	22.79579	163.3	569.5316
73160	22.62395	163.2	518.3834
77370	22.45579	163.1	475.0483
81580	22.29707	163.1	438.2407
85790	22.14216	163.1	406.3856
90000	21.9917	163.1	378.6224
100000	21.63154	163.1	324.7407
142100	20.2074	163.1	201.1424
184200	18.99979	163.1	146.7188
226300	18.01043	163.1	116.9182
268400	17.20499	163.1	98.14322
310500	16.54528	163.2	85.10989
352600	15.9882	163.2	75.48521
394700	15.5104	163.2	68.01743
436800	15.09922	163.2	61.97307
478900	14.74299	163.1	56.91319
521100	14.42541	163.1	52.59931
563200	14.14216	163.1	48.86147
605300	13.88292	163.1	45.60147
647400	13.64219	163.1	42.74522
689500	13.41477	163.1	40.22036
731600	13.20291	163.1	37.95803
773700	13.00317	163.1	35.91681
815800	12.81234	163.1	34.06947
857900	12.62733	163.1	32.41441
900000	12.44831	163.1	30.93141
1000000	12.02219	163	28.02513
1250000	11.19229	163	22.19694
1500000	10.44444	163	18.45337
1750000	9.778178	163	15.85666
2000000	9.168671	163	13.93509
