Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	173
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	25.99258	173.2	137580
239	26.22448	173.1	135529.4
278	25.89794	173.1	136419.4
317	26.02191	173.1	131832.4
356	26.08778	173.1	132223.6
394	26.01762	173.1	130719.6
433	25.94517	173.1	132354.8
472	25.95719	173.1	128133.9
511	25.9645	173.1	128404.6
550	25.96465	173.1	127905.6
589	25.94464	173.1	125396.6
628	25.88288	173.1	125241.7
667	25.91606	173.1	120757.4
706	25.92773	173.1	122463.6
744	25.89285	173.1	120218.2
783	25.90764	173.1	120441.2
822	25.91132	173.1	117953
861	25.87691	173.1	117235.9
1000	25.87207	173.1	113401.3
1421	25.83067	173	101557
1842	25.81204	173	89998.95
2263	25.77169	172.9	79665.25
2684	25.73919	172.8	70656.14
3105	25.71051	172.8	62770.19
3526	25.68292	172.7	55876.12
3947	25.6607	172.7	49821.85
4368	25.64777	172.7	44989.54
4789	25.62695	172.7	40460.89
5211	25.60976	172.7	36677.36
5632	25.59371	172.8	33377.13
6053	25.5764	172.8	30543.83
6474	25.56047	172.9	27990.17
6895	25.54351	172.9	25724.75
7316	25.52523	172.9	23740.02
7737	25.51056	172.9	21953.12
8158	25.49749	172.9	20389.68
8579	25.48234	172.9	18995.01
9000	25.46835	173	17769.53
10000	25.43242	173	15209.05
14210	25.28801	173	8929.051
18420	25.15318	173	5933.027
22630	25.02865	173	4265.234
26840	24.91086	173	3238.846
31050	24.79916	173	2555.705
35260	24.68509	173.1	2074.918
39470	24.57014	173.1	1721.457
43680	24.45561	173.1	1455.067
47890	24.34406	173.1	1249.736
52110	24.23444	173.1	1087.424
56320	24.12825	173.1	957.5784
60530	24.02362	173.1	851.475
64740	23.9184	173.1	763.2314
68950	23.81612	173.1	688.3533
73160	23.70437	173.1	625.4398
77370	23.59903	173.1	571.3826
81580	23.4951	173.2	524.8739
85790	23.39115	173.2	484.3141
90000	23.28408	173.2	448.5332
100000	23.02905	173.2	379.3344
142100	21.96574	173.2	220.8726
184200	20.94613	173.2	151.9163
226300	19.99891	173.2	115.1865
268400	19.14427	173.2	92.96002
310500	18.38694	173.2	78.25063
352600	17.71922	173.2	67.83759
394700	17.13157	173.2	60.06266
436800	16.6099	173.2	54.0261
478900	16.13492	173.2	49.21792
521100	15.69622	173.1	45.30648
563200	15.2962	173	42.05209
605300	14.93837	172.9	39.26086
647400	14.6146	172.9	36.82011
689500	14.31833	172.9	34.67267
731600	14.04737	172.9	32.75342
773700	13.79536	172.9	31.03197
815800	13.55501	172.9	29.49494
857900	13.32646	172.9	28.11936
900000	13.10972	172.9	26.87293
1000000	12.58669	173	24.56383
1250000	11.62134	173	19.72009
1500000	10.77892	173.1	16.6337
1750000	10.05209	173.1	14.46785
2000000	9.404135	173.2	12.84179
