Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	153
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	25.44217	153.2	217739.7
239	25.51996	153.1	218051.8
278	25.58748	153.1	216420.3
317	25.46294	153.1	202912.9
356	25.4847	153.1	203908.6
394	25.35774	153	202450.3
433	25.48245	153	199303.8
472	25.44141	153	194321.5
511	25.42467	153	190012
550	25.42228	153	193321.1
589	25.42073	153	188565.1
628	25.40091	153	182108.3
667	25.35315	153	176851.3
706	25.35913	153	175837.7
744	25.36058	153	176372.3
783	25.35225	153	167728.9
822	25.34386	153.1	168998.9
861	25.34819	153.1	162701.7
1000	25.33984	153.2	150085.5
1421	25.25093	153.2	121358.7
1842	25.22115	153.1	97445.1
2263	25.16563	153.1	79765.58
2684	25.12833	153.1	66064.91
3105	25.09043	153.1	55577.5
3526	25.05206	153.1	47346.6
3947	25.012	153.1	40806.21
4368	24.98843	153.1	35571.65
4789	24.9578	153.1	31202.13
5211	24.92622	153.1	27656.53
5632	24.89582	153.1	24637.65
6053	24.86481	153.1	22115.59
6474	24.83172	153.1	19950.51
6895	24.80226	153	18106.27
7316	24.77412	153	16528.74
7737	24.74671	153	15160.01
8158	24.72465	153	13975.84
8579	24.70157	153	12939.52
9000	24.67513	153	11988.28
10000	24.61198	153	10121.63
14210	24.36032	153	5720.573
18420	24.11062	153	3738.89
22630	23.86521	153	2666.78
26840	23.62249	153	2020.973
31050	23.37968	153	1597.335
35260	23.12854	153	1301.612
39470	22.87145	153	1088.249
43680	22.62076	153.1	929.45
47890	22.37267	153.1	807.7169
52110	22.12991	153.1	712.1874
56320	21.88675	153.1	635.3151
60530	21.63837	153.1	572.1331
64740	21.39048	153.1	519.8978
68950	21.15113	153.1	476.3518
73160	20.91931	153.1	439.6098
77370	20.69518	153	408.2388
81580	20.47835	153	381.1943
85790	20.26781	153	357.6565
90000	20.06812	153	337.052
100000	19.60684	153	297.0369
142100	18.0195	153	203.3688
184200	16.91265	153	159.2584
226300	16.11693	153	132.8963
268400	15.51781	153	114.7823
310500	15.04922	153	101.1514
352600	14.66799	153	90.33733
394700	14.34752	153	81.41493
436800	14.06781	153.1	73.93847
478900	13.81255	153.1	67.65145
521100	13.57581	153.1	62.28085
563200	13.35658	153.1	57.62073
605300	13.15265	153.2	53.51795
647400	12.96096	153.2	49.88173
689500	12.77878	153.2	46.65319
731600	12.6061	153.3	43.76281
773700	12.43991	153.3	41.17597
815800	12.27858	153.3	38.84693
857900	12.12289	153.3	36.74173
900000	11.96949	153.2	34.8689
1000000	11.59492	153.2	31.21862
1250000	10.82594	153.2	24.3131
1500000	10.11846	153.2	19.9617
1750000	9.481301	153.2	17.00897
2000000	8.894518	153.1	14.85326
