Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	123
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	24.83408	123.1	460895
239	24.89854	123.1	419966.9
278	24.75388	123.2	425858.3
317	24.74511	123.2	372421.7
356	24.66344	123.2	363739.7
394	24.66564	123.2	329567.5
433	24.62022	123.2	312545.8
472	24.61144	123.2	278936.3
511	24.59141	123.2	255599.7
550	24.57928	123.3	240760.2
589	24.60811	123.3	237256.3
628	24.5521	123.3	216080.8
667	24.52257	123.4	206833.2
706	24.51198	123.4	194466
744	24.50349	123.4	180074.2
783	24.4694	123.4	171621.8
822	24.45066	123.4	162491.2
861	24.44895	123.4	152530.5
1000	24.4056	123.4	127048.9
1421	24.24506	123.4	77796.21
1842	24.1198	123.3	52423.09
2263	23.96725	123.3	37812.92
2684	23.82789	123.3	28634.53
3105	23.68607	123.3	22657.15
3526	23.54558	123.3	18406.74
3947	23.39308	123.3	15264.08
4368	23.23556	123.3	12906.55
4789	23.07489	123.3	11102.57
5211	22.91431	123.3	9693.687
5632	22.75463	123.3	8566.019
6053	22.5897	123.3	7644.545
6474	22.4183	123.3	6877.316
6895	22.24369	123.2	6238.704
7316	22.06446	123.2	5694.898
7737	21.88693	123.2	5235.07
8158	21.7103	123.1	4839.563
8579	21.52878	123	4496.658
9000	21.33937	122.9	4196.431
10000	20.93295	122.8	3635.944
14210	19.47906	122.8	2388.501
18420	18.37606	122.8	1851.177
22630	17.55606	122.8	1560.112
26840	16.93797	122.8	1377.751
31050	16.46645	122.8	1251.474
35260	16.09917	122.8	1156.797
39470	15.80727	122.8	1081.832
43680	15.57424	122.8	1018.862
47890	15.3838	122.8	964.2173
52110	15.22406	122.8	915.5506
56320	15.08742	122.8	871.8511
60530	14.96972	122.7	831.9921
64740	14.86607	122.7	795.2659
68950	14.77248	122.6	761.5439
73160	14.69111	122.6	729.2213
77370	14.61758	122.6	698.7296
81580	14.55236	122.6	669.7109
85790	14.4928	122.6	642.2568
90000	14.43649	122.6	616.6187
100000	14.30971	122.6	562.6766
142100	13.8917	122.6	398.2969
184200	13.55716	122.6	297.7608
226300	13.25934	122.6	232.589
268400	12.98405	122.6	188.0961
310500	12.72666	122.6	156.3755
352600	12.48257	122.6	132.9382
394700	12.25159	122.6	115.0648
436800	12.0314	122.7	101.0944
478900	11.82029	122.7	89.91713
521100	11.61808	122.7	80.80795
563200	11.42469	122.7	73.28699
605300	11.23764	122.7	66.97856
647400	11.05803	122.7	61.62614
689500	10.88579	122.7	57.03308
731600	10.7209	122.8	53.05581
773700	10.56264	122.9	49.57629
815800	10.408	123	46.52069
857900	10.25676	123	43.80304
900000	10.10647	123.1	41.40483
1000000	9.752668	123.1	36.79375
1250000	9.020993	123.1	28.47912
1500000	8.373153	123.1	23.41084
1750000	7.801295	123.1	20.00541
2000000	7.283817	123.1	17.55461
