SAMPLE_B_5LayerMo_d3__V	SAMPLE_B_5LayerMo_d3__J	SAMPLE_B_5LayerMo_d3__I	SAMPLE_B_5LayerMo_d3__Param	SAMPLE_B_5LayerMo_d3__ParamDescr
-0.3	-32.82774	-18.71181	0.7117	Voc (V)
-0.2798	-32.82905	-18.71256	32.79	Jsc (mA/cm²)
-0.25965	-32.82642	-18.71106	75.88	FF(%)
-0.23945	-32.82698	-18.71138	17.71	Eff (%)
-0.2193	-32.84063	-18.71916	0.57	Cell Area (cm²)
-0.199125	-32.83025	-18.71324	0.5877	Vmpp (V)
-0.178945	-32.82521	-18.71037	30.13	Jmpp (mA/cm²)
-0.15877	-32.80726	-18.70014	17.71	Pmpp (mW/cm²)
-0.138595	-32.82154	-18.70828	8752.7	Rp (Ohmcm²)
-0.11842	-32.81556	-18.70487	1.25	Rs (Ohmcm²)
-0.098245	-32.814	-18.70398	03.10.2016 10:23:46	Measurement date and time
-0.07807	-32.78335	-18.68651	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.80209	-18.69719	1	Illumination correction factor
-0.03772	-32.80096	-18.69655		(Cell Comment)
-0.017545	-32.7873	-18.68876		(Global Comment)
0.00263	-32.79646	-18.69398		
0.022805	-32.79446	-18.69284		
0.04298	-32.78941	-18.68996		
0.06316	-32.77786	-18.68338		
0.083335	-32.78816	-18.68925		
0.10351	-32.77066	-18.67928		
0.123685	-32.7809	-18.68511		
0.14386	-32.75698	-18.67148		
0.164035	-32.75293	-18.66917		
0.18421	-32.72375	-18.65254		
0.204385	-32.73905	-18.66126		
0.22455	-32.71163	-18.64563		
0.24475	-32.709	-18.64413		
0.2649	-32.69863	-18.63822		
0.2851	-32.70109	-18.63962		
0.30525	-32.67916	-18.62712		
0.32545	-32.65933	-18.61582		
0.3456	-32.64533	-18.60784		
0.3658	-32.63833	-18.60385		
0.38595	-32.60065	-18.58237		
0.40615	-32.56548	-18.56232		
0.4263	-32.5351	-18.54501		
0.4465	-32.48316	-18.5154		
0.46665	-32.41391	-18.47593		
0.48685	-32.32672	-18.42623		
0.507	-32.18723	-18.34672		
0.5272	-31.96151	-18.21806		
0.54735	-31.61911	-18.02289		
0.56755	-31.06614	-17.7077		
0.5877	-30.12691	-17.17234		
0.6079	-28.60654	-16.30573		
0.62805	-26.22577	-14.94869		
0.64825	-22.60868	-12.88695		
0.6684	-17.54304	-9.999533		
0.6886	-10.49133	-5.980058		
0.70875	-1.590454	-0.9065588		
0.72895	9.355435	5.332598		
0.7491	22.12593	12.61178		
0.7693	36.47058	20.78823		
0.78945	51.8802	29.57171		
0.80965	68.02203	38.77256		
0.8298	84.42109	48.12002		
0.85	100.7647	57.4359		
