SAMPLE_B_5LayerMo_c1__V	SAMPLE_B_5LayerMo_c1__J	SAMPLE_B_5LayerMo_c1__I	SAMPLE_B_5LayerMo_c1__Param	SAMPLE_B_5LayerMo_c1__ParamDescr
-0.3	-33.16911	-18.90639	0.7113	Voc (V)
-0.2798	-33.19093	-18.91883	33.17	Jsc (mA/cm²)
-0.25965	-33.1796	-18.91237	76.07	FF(%)
-0.23945	-33.18707	-18.91663	17.95	Eff (%)
-0.2193	-33.18011	-18.91266	0.57	Cell Area (cm²)
-0.199125	-33.17033	-18.90709	0.5877	Vmpp (V)
-0.178945	-33.19289	-18.91995	30.54	Jmpp (mA/cm²)
-0.15877	-33.18828	-18.91732	17.95	Pmpp (mW/cm²)
-0.138595	-33.18651	-18.91631	-293758.8	Rp (Ohmcm²)
-0.11842	-33.1867	-18.91642	1.29	Rs (Ohmcm²)
-0.098245	-33.17676	-18.91075	03.10.2016 10:18:56	Measurement date and time
-0.07807	-33.17712	-18.91096	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-33.18458	-18.91521	1	Illumination correction factor
-0.03772	-33.16911	-18.90639		(Cell Comment)
-0.017545	-33.16775	-18.90562		(Global Comment)
0.00263	-33.15461	-18.89813		
0.022805	-33.15416	-18.89787		
0.04298	-33.14863	-18.89472		
0.06316	-33.14179	-18.89082		
0.083335	-33.14374	-18.89193		
0.10351	-33.13313	-18.88588		
0.123685	-33.1147	-18.87538		
0.14386	-33.11063	-18.87306		
0.164035	-33.11209	-18.87389		
0.18421	-33.08995	-18.86127		
0.204385	-33.0984	-18.86609		
0.22455	-33.07824	-18.8546		
0.24475	-33.07381	-18.85207		
0.2649	-33.07001	-18.84991		
0.2851	-33.05788	-18.84299		
0.30525	-33.05912	-18.8437		
0.32545	-33.03933	-18.83242		
0.3456	-33.03011	-18.82716		
0.3658	-32.9977	-18.80869		
0.38595	-32.97125	-18.79361		
0.40615	-32.95662	-18.78527		
0.4263	-32.89702	-18.7513		
0.4465	-32.86807	-18.7348		
0.46665	-32.81973	-18.70725		
0.48685	-32.72107	-18.65101		
0.507	-32.59405	-18.57861		
0.5272	-32.39925	-18.46757		
0.54735	-32.04952	-18.26823		
0.56755	-31.48081	-17.94406		
0.5877	-30.53993	-17.40776		
0.6079	-28.98259	-16.52008		
0.62805	-26.51907	-15.11587		
0.64825	-22.78528	-12.98761		
0.6684	-17.58493	-10.02341		
0.6886	-10.37812	-5.915529		
0.70875	-1.401301	-0.7987415		
0.72895	9.504509	5.41757		
0.7491	22.09346	12.59327		
0.7693	36.13303	20.59583		
0.78945	51.13393	29.14634		
0.80965	66.82332	38.08929		
0.8298	82.73792	47.16061		
0.85	98.66577	56.23949		
