SAMPLE_B_5LayerMo_e3__V	SAMPLE_B_5LayerMo_e3__J	SAMPLE_B_5LayerMo_e3__I	SAMPLE_B_5LayerMo_e3__Param	SAMPLE_B_5LayerMo_e3__ParamDescr
-0.3	-32.36595	-18.44859	0.7119	Voc (V)
-0.2798	-32.38288	-18.45824	32.37	Jsc (mA/cm²)
-0.25965	-32.38891	-18.46168	75.26	FF(%)
-0.23945	-32.38805	-18.46119	17.34	Eff (%)
-0.2193	-32.40682	-18.47189	0.57	Cell Area (cm²)
-0.199125	-32.39475	-18.46501	0.5877	Vmpp (V)
-0.178945	-32.39284	-18.46392	29.51	Jmpp (mA/cm²)
-0.15877	-32.38766	-18.46097	17.34	Pmpp (mW/cm²)
-0.138595	-32.37177	-18.45191	-19536.9	Rp (Ohmcm²)
-0.11842	-32.38756	-18.46091	1.45	Rs (Ohmcm²)
-0.098245	-32.37302	-18.45262	03.10.2016 10:24:07	Measurement date and time
-0.07807	-32.38109	-18.45722	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.36542	-18.44829	1	Illumination correction factor
-0.03772	-32.37507	-18.45379		(Cell Comment)
-0.017545	-32.36607	-18.44866		(Global Comment)
0.00263	-32.36906	-18.45036		
0.022805	-32.34026	-18.43395		
0.04298	-32.32914	-18.42761		
0.06316	-32.34347	-18.43578		
0.083335	-32.32302	-18.42412		
0.10351	-32.31881	-18.42172		
0.123685	-32.31214	-18.41792		
0.14386	-32.30146	-18.41183		
0.164035	-32.30991	-18.41665		
0.18421	-32.30502	-18.41386		
0.204385	-32.29542	-18.40839		
0.22455	-32.252	-18.38364		
0.24475	-32.25055	-18.38281		
0.2649	-32.23367	-18.37319		
0.2851	-32.22168	-18.36636		
0.30525	-32.22816	-18.37005		
0.32545	-32.18687	-18.34652		
0.3456	-32.17581	-18.34021		
0.3658	-32.15453	-18.32808		
0.38595	-32.11369	-18.3048		
0.40615	-32.09895	-18.2964		
0.4263	-32.06789	-18.2787		
0.4465	-32.01777	-18.25013		
0.46665	-31.9353	-18.20312		
0.48685	-31.82244	-18.13879		
0.507	-31.66467	-18.04886		
0.5272	-31.43477	-17.91782		
0.54735	-31.08475	-17.71831		
0.56755	-30.47633	-17.37151		
0.5877	-29.50811	-16.81962		
0.6079	-27.94205	-15.92697		
0.62805	-25.51981	-14.54629		
0.64825	-21.89574	-12.48057		
0.6684	-16.92219	-9.645646		
0.6886	-10.07638	-5.743538		
0.70875	-1.608995	-0.9171272		
0.72895	8.632166	4.920334		
0.7491	20.3513	11.60024		
0.7693	33.26153	18.95907		
0.78945	46.84695	26.70276		
0.80965	60.79049	34.65058		
0.8298	74.67253	42.56334		
0.85	88.31274	50.33826		
