SAMPLE_B_5LayerMo_b2__V	SAMPLE_B_5LayerMo_b2__J	SAMPLE_B_5LayerMo_b2__I	SAMPLE_B_5LayerMo_b2__Param	SAMPLE_B_5LayerMo_b2__ParamDescr
-0.3	-31.79855	-18.12517	0.7113	Voc (V)
-0.2798	-31.79979	-18.12588	31.78	Jsc (mA/cm²)
-0.25965	-31.78798	-18.11915	76.85	FF(%)
-0.23945	-31.79367	-18.12239	17.37	Eff (%)
-0.2193	-31.80191	-18.12709	0.57	Cell Area (cm²)
-0.199125	-31.806	-18.12942	0.5877	Vmpp (V)
-0.178945	-31.81739	-18.13591	29.56	Jmpp (mA/cm²)
-0.15877	-31.79856	-18.12518	17.37	Pmpp (mW/cm²)
-0.138595	-31.79158	-18.1212	-8374	Rp (Ohmcm²)
-0.11842	-31.79181	-18.12133	1.07	Rs (Ohmcm²)
-0.098245	-31.79839	-18.12508	03.10.2016 10:20:31	Measurement date and time
-0.07807	-31.78021	-18.11472	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.77084	-18.10938	1	Illumination correction factor
-0.03772	-31.77814	-18.11354		(Cell Comment)
-0.017545	-31.78196	-18.11572		(Global Comment)
0.00263	-31.77105	-18.1095		
0.022805	-31.75917	-18.10273		
0.04298	-31.74481	-18.09454		
0.06316	-31.74154	-18.09268		
0.083335	-31.76388	-18.10541		
0.10351	-31.75223	-18.09877		
0.123685	-31.73858	-18.09099		
0.14386	-31.74858	-18.09669		
0.164035	-31.72787	-18.08489		
0.18421	-31.73347	-18.08808		
0.204385	-31.71274	-18.07626		
0.22455	-31.71303	-18.07643		
0.24475	-31.69632	-18.0669		
0.2649	-31.70281	-18.0706		
0.2851	-31.68807	-18.0622		
0.30525	-31.68505	-18.06048		
0.32545	-31.68091	-18.05812		
0.3456	-31.65579	-18.0438		
0.3658	-31.64421	-18.0372		
0.38595	-31.62442	-18.02592		
0.40615	-31.6004	-18.01223		
0.4263	-31.57602	-17.99833		
0.4465	-31.51286	-17.96233		
0.46665	-31.47518	-17.94085		
0.48685	-31.41318	-17.90551		
0.507	-31.30195	-17.84211		
0.5272	-31.11625	-17.73626		
0.54735	-30.82658	-17.57115		
0.56755	-30.35368	-17.3016		
0.5877	-29.56097	-16.84975		
0.6079	-28.23012	-16.09117		
0.62805	-26.06984	-14.85981		
0.64825	-22.66023	-12.91633		
0.6684	-17.64791	-10.05931		
0.6886	-10.71541	-6.107783		
0.70875	-1.473234	-0.8397435		
0.72895	10.12582	5.771719		
0.7491	23.9807	13.669		
0.7693	39.92746	22.75865		
0.78945	57.48969	32.76912		
0.80965	76.43277	43.56668		
0.8298	96.29614	54.8888		
0.85	116.7835	66.56658		
