Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	223
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	28.28874	223	50944.69
239	28.03409	223	50604.92
278	28.17615	223	50837.79
317	28.05085	223	50365.5
356	28.04689	223	50661.39
394	28.01109	223	50605.06
433	27.98823	223	50341.62
472	27.98738	223	49517.57
511	28.06598	222.9	50364.14
550	28.01664	222.9	49766.84
589	27.96813	222.9	49592.07
628	27.96747	222.9	49871.79
667	27.98087	222.9	49274.11
706	27.96382	222.9	49010.29
744	27.96898	222.9	48946
783	27.96162	223	48839.94
822	27.95473	223	48291.35
861	27.98254	223	48411.63
1000	27.94024	223.1	47898.51
1421	27.90027	223.1	46399.54
1842	27.86541	223.2	44587.54
2263	27.8346	223.2	43223.13
2684	27.81067	223.2	41322.11
3105	27.79349	223.2	39669.31
3526	27.77475	223.2	38114.67
3947	27.75742	223.2	36329.04
4368	27.75231	223.1	34636
4789	27.74286	223.1	33154.98
5211	27.72768	223.1	31616.02
5632	27.71599	223.1	30204.92
6053	27.70632	223.1	28867.86
6474	27.69623	223.2	27557.25
6895	27.68497	223.2	26317.3
7316	27.67695	223.2	25145.07
7737	27.67004	223.3	24038.15
8158	27.66155	223.3	23019.65
8579	27.65276	223.3	21986.74
9000	27.6439	223.3	21001.96
10000	27.62425	223.2	19012.42
14210	27.55235	223.2	12833.45
18420	27.48773	223.2	9152.446
22630	27.4276	223.2	6846.215
26840	27.37139	223.2	5312.569
31050	27.31926	223.2	4246.858
35260	27.26709	223.2	3477.775
39470	27.21737	223.2	2904.649
43680	27.16829	223.2	2465.665
47890	27.12101	223.2	2121.922
52110	27.07424	223.2	1847.12
56320	27.02868	223.1	1624.472
60530	26.98393	223.1	1441.23
64740	26.93954	223.1	1288.326
68950	26.89632	223.1	1159.423
73160	26.85192	223.2	1049.839
77370	26.80802	223.2	955.5009
81580	26.76485	223.2	873.8452
85790	26.72133	223.3	802.7417
90000	26.67786	223.3	740.2336
100000	26.57817	223.3	619.2533
142100	26.16847	223.3	340.8148
184200	25.75907	223.3	219.193
226300	25.34513	223.3	154.6943
268400	24.92347	223.3	116.1517
310500	24.49493	223.2	91.16952
352600	24.05843	223.2	74.016
394700	23.6154	223.2	61.68663
436800	23.17242	223.2	52.51101
478900	22.72621	223.1	45.48175
521100	22.2789	223.2	39.96988
563200	21.83453	223.2	35.56902
605300	21.39383	223.2	31.98987
647400	20.95799	223.2	29.03698
689500	20.52641	223.2	26.57246
731600	20.10441	223.2	24.48581
773700	19.68982	223.2	22.70486
815800	19.28109	223.2	21.17218
857900	18.88235	223.2	19.83829
900000	18.49365	223.1	18.67377
1000000	17.51084	223.1	16.68321
1250000	15.64147	223.1	12.80852
1500000	13.98927	223.1	10.6986
1750000	12.60706	223.1	9.349484
2000000	11.43339	223.1	8.395893
