Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	303
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	32.75446	302.9	12272.63
239	32.93342	303	12258.41
278	32.7603	303	12249.91
317	32.76369	303	12215.41
356	32.70862	303	12214
394	32.69952	302.9	12181.28
433	32.74433	302.9	12184.32
472	32.69431	302.9	12166.6
511	32.71847	302.9	12136.13
550	32.62825	302.9	12145.07
589	32.61398	302.9	12119.6
628	32.61243	302.9	12107.58
667	32.6079	302.9	12094.05
706	32.56035	302.9	12089.88
744	32.58552	303	12078.02
783	32.54216	303	12029.55
822	32.55482	303	12021.9
861	32.53304	303	11995.95
1000	32.51814	303	11980.35
1421	32.45713	303	11833.86
1842	32.38823	303	11710.7
2263	32.34967	303	11577.36
2684	32.30974	303	11425.48
3105	32.28234	303	11281.79
3526	32.25502	303	11132.05
3947	32.23599	303	10995.61
4368	32.22232	303	10830.36
4789	32.20628	303	10678.27
5211	32.19185	303	10519.59
5632	32.17672	303	10374.28
6053	32.16332	303	10209.4
6474	32.1515	303.1	10055.13
6895	32.14138	303.1	9901.897
7316	32.1277	303.2	9733.463
7737	32.11801	303.2	9583.685
8158	32.10891	303.2	9419.548
8579	32.0983	303.3	9276.235
9000	32.0882	303.3	9126.812
10000	32.06841	303.3	8768.002
14210	32.00148	303.2	7331.102
18420	31.94805	303.2	6103.755
22630	31.90345	303.2	5088.143
26840	31.86265	303.2	4265.669
31050	31.82571	303.2	3604.922
35260	31.7911	303.2	3073.726
39470	31.75673	303.2	2643.413
43680	31.72408	303.2	2291.986
47890	31.6924	303.2	2003.397
52110	31.66111	303.1	1763.601
56320	31.62942	303.2	1563.611
60530	31.59889	303.2	1394.907
64740	31.5672	303.2	1252.019
68950	31.53665	303.2	1129.425
73160	31.50421	303.2	1024.035
77370	31.47217	303.2	932.5944
81580	31.44017	303.2	852.8851
85790	31.40817	303.2	783.1283
90000	31.37484	303.2	721.4708
100000	31.29843	303.2	601.6528
142100	30.95952	303.2	324.9926
184200	30.58962	303.2	205.39
226300	30.19424	303.2	142.8976
268400	29.77964	303.2	106.0384
310500	29.34504	303.1	82.413
352600	28.89781	303.1	66.32564
394700	28.4349	303.1	54.84731
436800	27.96415	303.1	46.35479
478900	27.48638	303.1	39.87803
521100	27.00041	303.1	34.81833
563200	26.51282	303.1	30.79541
605300	26.02294	303.1	27.53949
647400	25.53353	303	24.86106
689500	25.047	303	22.62724
731600	24.56227	303	20.74612
773700	24.08106	303	19.14483
815800	23.60509	303	17.77132
857900	23.1354	303	16.58346
900000	22.67105	303	15.54861
1000000	21.47135	303	13.78214
1250000	19.16415	303	10.3952
1500000	17.05513	303	8.587011
1750000	15.26133	302.9	7.459208
2000000	13.72666	302.9	6.68573
