Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	143
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	25.21281	143.2	283786.4
239	25.22395	143.2	270119.2
278	25.33987	143.2	271370.3
317	25.24875	143.1	254347.7
356	25.27812	143.1	266193.3
394	25.24752	143.1	246426.3
433	25.16032	143.1	244236
472	25.15331	143.1	239343.5
511	25.14942	143.1	236585.7
550	25.20101	143.1	220971
589	25.10669	143.1	219868.7
628	25.14785	143.1	208659
667	25.11156	143.1	208200.3
706	25.10738	143.1	200085.3
744	25.10728	143.1	187650.5
783	25.08564	143.1	189483.8
822	25.05462	143	186112.6
861	25.06562	143	172698.8
1000	25.04626	143	162331.8
1421	24.9617	143	119547.4
1842	24.90829	143	90058.94
2263	24.84951	143	70292.68
2684	24.79574	143	56603.3
3105	24.75238	143	46472.65
3526	24.69978	143	38739.59
3947	24.65302	143	32808.41
4368	24.61802	143	28174.59
4789	24.57382	143	24480.29
5211	24.52927	143	21427.11
5632	24.48355	143	18967.72
6053	24.44115	143	16924.12
6474	24.40166	143	15205.87
6895	24.36311	143	13768.1
7316	24.32568	143.1	12529.93
7737	24.29091	143.1	11469.5
8158	24.24936	143.1	10505.75
8579	24.20699	143.1	9657.332
9000	24.16447	143.1	8917.149
10000	24.06783	143.1	7491.8
14210	23.66283	143.1	4202.11
18420	23.24943	143.1	2757.148
22630	22.83423	143.1	1990.014
26840	22.41468	143.2	1530.16
31050	21.99142	143.2	1229.898
35260	21.57419	143.2	1023.721
39470	21.16347	143.2	875.167
43680	20.76622	143.2	764.5575
47890	20.38393	143.2	679.7808
52110	20.02094	143.2	613.0637
56320	19.67914	143.2	559.7486
60530	19.35233	143.2	516.2061
64740	19.04196	143.2	480.1683
68950	18.75274	143.2	449.846
73160	18.48387	143.2	424.0239
77370	18.23558	143.1	401.7722
81580	18.0061	143.1	382.3401
85790	17.79394	143.1	365.212
90000	17.60139	143.1	349.8692
100000	17.18705	143.1	319.5031
142100	15.96339	143.1	241.5558
184200	15.23281	143.1	197.4768
226300	14.73789	143	166.8709
268400	14.36673	143	143.5947
310500	14.06334	143	125.1937
352600	13.80295	143	110.2874
394700	13.57081	143	98.01669
436800	13.35857	143	87.81416
478900	13.15687	143.1	79.30891
521100	12.96159	143.1	72.14596
563200	12.77498	143.1	66.0471
605300	12.59598	143.1	60.78001
647400	12.42375	143.1	56.20235
689500	12.25755	143.1	52.19545
731600	12.09894	143.1	48.6524
773700	11.94591	143.1	45.51713
815800	11.79351	143.1	42.7489
857900	11.64179	143.1	40.2929
900000	11.49402	143.1	38.09917
1000000	11.13559	143.1	33.8426
1250000	10.39129	143.1	26.03855
1500000	9.708209	143.1	21.24405
1750000	9.092357	143.1	18.01064
2000000	8.527326	143.1	15.68006
