Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	203
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	27.35959	203.1	74741.77
239	27.17589	203.1	73617.96
278	27.26263	203.1	72945.1
317	27.09652	203.1	73265.16
356	27.18514	203.2	72957.11
394	27.09759	203.2	72772.58
433	27.09471	203.2	73152.44
472	27.04537	203.1	72693.62
511	27.11902	203.1	71710.02
550	27.0722	203.1	71752.77
589	27.08344	203.1	71684.36
628	27.03171	203.1	71646.66
667	27.04605	203.1	70854.99
706	27.04108	203.1	70597.05
744	27.02634	203.1	69750.92
783	27.05145	203.2	69766.01
822	27.03923	203.2	69734.92
861	27.01367	203.2	69115.52
1000	26.99004	203.2	68331.97
1421	26.96197	203.2	64601.79
1842	26.92502	203.1	61323.29
2263	26.89788	203.1	58307.21
2684	26.86787	203.2	54596.27
3105	26.84934	203.2	51465
3526	26.83319	203.2	48238.15
3947	26.81531	203.2	45219.67
4368	26.80474	203.2	42387.8
4789	26.79156	203.1	39851.34
5211	26.77658	203.1	37295.85
5632	26.76295	203.1	35139.18
6053	26.75111	203.1	33011.11
6474	26.73902	203.1	31091.58
6895	26.72672	203.1	29219.03
7316	26.7158	203.2	27575.9
7737	26.70714	203.2	26047.18
8158	26.69887	203.2	24612.48
8579	26.68818	203.2	23257.84
9000	26.67751	203.2	22051.05
10000	26.65492	203.1	19482.44
14210	26.56861	203.1	12340.66
18420	26.48923	203.1	8506.835
22630	26.41635	203.2	6241.012
26840	26.34602	203.2	4786.59
31050	26.28186	203.2	3796.561
35260	26.21681	203.1	3094.922
39470	26.15544	203.1	2577.274
43680	26.09551	203.1	2183.571
47890	26.03665	203.1	1876.973
52110	25.97915	203.1	1632.687
56320	25.92276	203.1	1435.295
60530	25.86727	203.1	1273.333
64740	25.8124	203.1	1138.446
68950	25.75768	203.2	1024.805
73160	25.70369	203.2	928.0316
77370	25.64864	203.2	844.8986
81580	25.595	203.2	772.9987
85790	25.5421	203.1	710.4395
90000	25.48912	203.1	655.5836
100000	25.36497	203.1	549.1937
142100	24.84887	203	304.4247
184200	24.33084	203	197.4531
226300	23.80637	203	140.6953
268400	23.27627	203	106.757
310500	22.74341	203	84.74776
352600	22.21242	203	69.60185
394700	21.68425	203	58.70472
436800	21.16654	203	50.56828
478900	20.65863	202.9	44.31387
521100	20.16197	202.9	39.39423
563200	19.68014	202.9	35.44699
605300	19.21259	203	32.22384
647400	18.76047	203.1	29.5481
689500	18.32204	203.1	27.30046
731600	17.90079	203.1	25.38949
773700	17.4949	203	23.74709
815800	17.10289	203	22.32382
857900	16.72622	203	21.08154
900000	16.36435	203	19.98934
1000000	15.50336	203	18.02959
1250000	13.8504	203.1	14.29815
1500000	12.47357	203	12.14056
1750000	11.34444	203	10.70606
2000000	10.38729	203	9.667222
