Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	293
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	32.19504	292.8	14685.18
239	32.18359	292.8	14671.93
278	32.16043	292.9	14620.02
317	32.0807	293	14581.97
356	32.11324	292.9	14676.15
394	32.06347	292.9	14596
433	32.04736	292.9	14598.04
472	32.014	292.9	14547.15
511	32.03124	292.9	14574.73
550	32.01045	292.9	14544.75
589	31.95807	292.9	14544.38
628	31.97545	292.9	14493.46
667	31.93441	292.8	14502.43
706	31.94214	292.8	14470.43
744	31.95906	292.8	14462.23
783	31.91381	292.9	14437.26
822	31.94611	292.9	14452.21
861	31.91939	292.9	14410.54
1000	31.8883	292.9	14374.96
1421	31.83278	292.9	14181.25
1842	31.77453	292.9	13993.15
2263	31.73233	292.9	13832.66
2684	31.70619	292.9	13625.93
3105	31.67636	292.8	13451.18
3526	31.65354	292.8	13265.85
3947	31.63399	292.8	13055.78
4368	31.6249	292.8	12850.46
4789	31.60912	292.9	12645.14
5211	31.59694	292.9	12435.53
5632	31.58455	292.9	12258.58
6053	31.56929	292.9	12041.37
6474	31.55775	292.9	11830.2
6895	31.54807	292.9	11620.59
7316	31.53988	292.9	11416.32
7737	31.52951	292.9	11198.09
8158	31.52411	292.9	10999.46
8579	31.5165	292.9	10803.09
9000	31.50758	292.9	10583.4
10000	31.49108	292.9	10106.88
14210	31.43194	293	8275.39
18420	31.38309	293.1	6760.532
22630	31.34161	293.1	5546.93
26840	31.30417	293.1	4592.231
31050	31.26798	293.1	3840.085
35260	31.23407	293	3247.877
39470	31.20074	293.1	2773.983
43680	31.17444	293.1	2392.866
47890	31.13796	293.1	2083.018
52110	31.10678	293.1	1827.506
56320	31.0755	293	1615.851
60530	31.04564	293	1438.171
64740	31.01457	292.9	1288.155
68950	30.98513	292.9	1160.284
73160	30.95455	293	1050.678
77370	30.92322	293.1	955.7278
81580	30.89163	293.1	873.2722
85790	30.86402	293.2	800.8686
90000	30.82714	293.1	737.6196
100000	30.75002	293.1	614.5125
142100	30.41	293.1	331.4893
184200	30.04305	293.1	209.5689
226300	29.65451	293.1	145.8961
268400	29.2485	293.1	108.323
310500	28.82516	293.1	84.225
352600	28.39054	293.1	67.80014
394700	27.94123	293.1	56.06888
436800	27.48379	293	47.38853
478900	27.0209	293	40.76436
521100	26.54855	293.1	35.58889
563200	26.07606	293.2	31.47267
605300	25.60018	293.2	28.13926
647400	25.12425	293.2	25.39738
689500	24.64973	293.2	23.11099
731600	24.17833	293.2	21.18445
773700	23.70991	293.2	19.54492
815800	23.24631	293.2	18.13795
857900	22.78869	293.2	16.92071
900000	22.3376	293.2	15.85889
1000000	21.22822	293.1	13.93854
1250000	18.91169	293.1	10.57689
1500000	16.84522	293.1	8.72138
1750000	15.08283	293.2	7.562101
2000000	13.57687	293.2	6.763726
