Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	243
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	28.98474	243.1	35182.13
239	29.11744	243.1	34951.13
278	28.79526	243.2	35205.95
317	29.09016	243.2	34746.79
356	29.06308	243.3	34928.48
394	28.90933	243.3	34467.33
433	28.92942	243.3	34637.67
472	28.98345	243.3	34684.31
511	28.95029	243.3	34531.26
550	28.9149	243.3	34487.5
589	28.92977	243.2	34457.68
628	28.92072	243.2	34517.99
667	28.90327	243.2	34282.35
706	28.89887	243.2	34070.73
744	28.90395	243.2	34205.29
783	28.87784	243.2	34029.3
822	28.88222	243.2	34169.73
861	28.88887	243.3	33905.47
1000	28.86429	243.3	33951.29
1421	28.81735	243.3	33062.95
1842	28.797	243.2	32450.98
2263	28.77314	243.2	31415.62
2684	28.74859	243.1	30651.46
3105	28.7277	243.1	29736.54
3526	28.71238	243.1	29035.95
3947	28.69171	243.1	28116.27
4368	28.68698	243.1	27162.87
4789	28.67545	243.1	26321.69
5211	28.66359	243	25443.52
5632	28.65282	243.1	24662.34
6053	28.64498	243.1	23817.18
6474	28.63378	243.1	23022.24
6895	28.62396	243.1	22255.9
7316	28.61689	243.2	21479.78
7737	28.60758	243.2	20770.16
8158	28.60087	243.2	20066.7
8579	28.59324	243.2	19354.94
9000	28.58646	243.1	18715.92
10000	28.56833	243.1	17228.96
14210	28.50915	243.1	12353.73
18420	28.45443	243.1	9141.395
22630	28.40467	243	6987.407
26840	28.35862	243	5494.386
31050	28.31522	243	4427.184
35260	28.27188	243	3643.174
39470	28.23046	243	3051.38
43680	28.18923	243.1	2594.435
47890	28.14938	243.1	2234.612
52110	28.10933	243.1	1945.547
56320	28.06911	243.1	1710.725
60530	28.02934	243.1	1516.945
64740	27.99	243.1	1355.375
68950	27.95183	243.1	1218.786
73160	27.91292	243.1	1102.708
77370	27.87476	243	1002.855
81580	27.83653	243	916.5305
85790	27.79915	243	841.2965
90000	27.76901	243	774.8813
100000	27.67236	243	647.3563
142100	27.30198	243	354.0432
184200	26.92849	242.9	226.6133
226300	26.55174	242.9	159.2482
268400	26.16631	242.9	119.0895
310500	25.77306	242.9	93.10204
352600	25.37132	243	75.2718
394700	24.96302	243	62.47053
436800	24.54924	243.1	52.95178
478900	24.13106	243.1	45.66613
521100	23.70749	243.1	39.95525
563200	23.28335	243.1	35.40717
605300	22.8595	243.1	31.71047
647400	22.43782	243.1	28.66321
689500	22.01727	243	26.11994
731600	21.60151	243	23.97526
773700	21.18983	243	22.14538
815800	20.78136	243	20.56691
857900	20.38081	243	19.20451
900000	19.98578	243.1	18.0141
1000000	18.95586	243.1	15.99306
1250000	16.9977	243.1	12.06942
1500000	15.20258	243.1	9.966636
1750000	13.67295	243	8.6416
2000000	12.35571	243	7.723782
